挨杵,ai'chu
巴巴意,ba'ba'yi
巴意,ba'yi
被条页子,bei'tiao'ye'zi
被页子,bei'ye'zi
壁溜四直,bi'liu'si'zhi
壁娄四直,bi'lou'si'zhi
不赶间,bu'gan'jian
不松凡,bu'song'fan
吃斋粑,chi'zhai'ba
出坦,chu'tan
大大,da'da
大头菜,da'tou'cai
逮猫,dai'mao
单被页子,dan'bei'ye'zi
淡不稽,dan'bu'ji
捣蛋,dao'dan
嗲摆,dia'bai
点巴点,dian'ba'dian
吊纸,diao'zhi
跌相,die'xiang
丢人,diu'ren
羔羔大,gao'gao'da
给婆家,gei'po'jia
给人,gei'ren
呱蛋,gua'dan
光趟,guang'tang
锅拍子,guo'pai'zi
喉咙管子,hou'long'guan'zi
滑趟,hua'tang
黄姑,huang'gu
黄狼子,huang'lang'zi
黄猫,huang'mao
活逗猴,huo'dou'hou
假二马,jia'er'ma
家伙收,jia'huo'shou
甲鱼,jia'yu
尖嘴子,jian'zui'zi
将打将,jiang'da'jiang
脚骨拐,jiao'gu'guai
脚螺拐子,jiao'luo'guai'zi
角鱼,jiao'yu
紧究,jin'jiu
紧腾,jin'teng
泾渭,jing'wei
靠抬人,kao'tai'ren
可照,ke'zhao
辣萝卜,la'luo'bo
邋杂,la'za
癞寨,lai'zhai
老鳖,lao'bie
老地,lao'di
老上人,lao'shang'ren
老这么,lao'zhe'me
老子,lao'zi
利朗,li'lang
亮沉,liang'chen
亮杆,liang'gan
拢共,long'gong
冒不通,mao'bu'tong
每先,mei'xian
末末了,mo'mo'liao
那高头,na'gao'tou
那幌子,na'huang'zi
孬不拉叽,nao'bu'la'ji
孬子,nao'zi
平和,ping'he
平平差,ping'ping'cha
齐茬,qi'cha
齐搭伙,qi'da'huo
齐斩,qi'zhan
强猫,qiang'mao
俏巴,qiao'ba
清干,qing'gan
清清,qing'qing
清丝,qing'si
日白扯,ri'bai'che
日弄,ri'nong
三不之,san'bu'zhi
嗓管系子,sang'guan'xi'zi
讪精,shan'jing
上来,shang'lai
失弄,shi'nong
收家伙,shou'jia'huo
顺气丸,shun'qi'wan
头上来,tou'shang'lai
王八,wang'ba
闲呱蛋,xian'gua'dan
闲拉呱,xian'la'gua
邪呼,xie'hu
也熊,ye'xiong
一搞,yi'gao
癔癞,yi'lai
一总,yi'zong
语语猫,yu'yu'mao
砸掉,za'diao
砸锅,za'guo
杂毛,za'mao
则个,ze'ge
诈呼,zha'hu
遮盖,zhe'gai
遮故,zhe'gu
遮溜,zhe'liu
遮娄子,zhe'lou'zi
整装,zheng'zhuang
知了,zhi'liao
壮朗,zhuang'lang
髭毛,zi'mao
走上来,zou'shang'lai
