艾莉森威汀顿,ai'li'sen'wei'ting'dun
闇绘,an'hui
安莉艾塔,an'li'ai'ta
安藤爱子,an'teng'ai'zi
八束,ba'shu
八云滨路,ba'yun'bin'lu
柏木胧,bai'mu'long
白雪霙,bai'xue'ying
板橋渉,ban'qiao'she
贝可,bei'ke
崩月法泉,beng'yue'fa'quan
崩月散鹤,beng'yue'san'he
崩月夕乃,beng'yue'xi'nai
兵部京介,bing'bu'jing'jie
曹操孟徳,cao'cao'meng'de
草野,cao'ye
常盘奈津子,chang'pan'nai'jin'zi
朝比奈茜,chao'bi'nai'qian
朝仓信长,chao'cang'xin'chang
朝倉音姫,chao'cang'yin'zhen
朝倉由夢,chao'cang'you'meng
橙条琉妃,cheng'tiao'liu'fei
赤沙印记,chi'sha'yin'ji
赤夜萌香,chi'ye'meng'xiang
川田知子,chuan'tian'zhi'zi
春华,chun'hua
村上银子,cun'shang'yin'zi
大佐,da'zuo
稻村圭子,dao'cun'gui'zi
钿女,dian'nv
典韦,dian'wei
町屋翔太,ding'wu'xiang'tai
东堂明,dong'tang'ming
董卓仲颖,dong'zhuo'zhong'ying
二见瑛理子,er'jian'ying'li'zi
二十面相,er'shi'mian'xiang
二十面相少女,er'shi'mian'xiang'shao'nv
法兰契斯卡,fa'lan'qi'si'ka
饭岛尚人,fan'dao'shang'ren
飞羽爱美,fei'yu'ai'mei
风花,feng'hua
风魔小太郎,feng'mo'xiao'tai'lang
服部柊十郎,fu'bu'zhong'shi'lang
钢森,gang'sen
高上美夜子,gao'shang'mei'ye'zi
高上升,gao'shang'sheng
高上透,gao'shang'tou
宫部红叶,gong'bu'hong'ye
谷崎一郎,gu'qi'yi'lang
古手川唯,gu'shou'chuan'wei
关羽云长,guan'yu'yun'chang
赫萝,he'luo
赫梦,he'meng
黑部朋与,hei'bu'peng'yu
黒巻节子,hei'juan'jie'zi
黑乃胡梦,hei'nai'hu'meng
弘濑琢磨,hong'lai'zuo'mo
红翼,hong'yi
红真九郎,hong'zhen'jiu'lang
花咲茜,hua'xiao'qian
华园光,hua'yuan'guang
怀兹,huai'zi
惠比寿,hui'bi'shou
灰翅,hui'chi
火下省吾,huo'xia'sheng'wu
基尔可,ji'er'ke
姬宫千子,ji'gong'qian'zi
鹡鸰,ji'ling
鹡鸰女神,ji'ling'nv'shen
甲斐荣二,jia'fei'rong'er
贾诩文和,jia'xu'wen'he
皆本光一,jie'ben'guang'yi
结城梨斗,jie'cheng'li'dou
结城美柑,jie'cheng'mei'gan
杰廉,jie'lian
结女,jie'nv
金色黑暗,jin'se'hei'an
津田沼修,jin'tian'zhao'xiu
九凤院苍树,jiu'feng'yuan'cang'shu
九凤院莲丈,jiu'feng'yuan'lian'zhang
九凤院龙士,jiu'feng'yuan'long'shi
九凤院紫,jiu'feng'yuan'zi
九鬼扬羽,jiu'gui'yang'yu
九具津隆,jiu'ju'jin'long
九门真纪,jiu'men'zhen'ji
久能,jiu'neng
久远寺梦,jiu'yuan'si'meng
久远寺森罗,jiu'yuan'si'sen'luo
久远寺未有,jiu'yuan'si'wei'you
绝对可怜,jue'dui'ke'lian
绝对可怜小孩,jue'dui'ke'lian'xiao'hai
君吻,jun'wen
卡尔班奈迪,ka'er'ban'nai'di
卡娜卡,ka'na'ka
库罗艾,ku'luo'ai
狂乱家族日记,kuang'luan'jia'zu'ri'ji
濑尾香,lai'wei'xiang
狼与香辛料,lang'yu'xiang'xin'liao
雷光,lei'guang
蕾见不二子,lei'jian'bu'er'zi
雷鸣,lei'ming
栗生恵,li'sheng'hui
里仲成美,li'zhong'cheng'mei
里仲军平,li'zhong'jun'ping
绫濑,ling'lai
绫瀬瑠子,ling'lai'liu'zi
绫濑明日奈,ling'lai'ming'ri'nai
绫濑裕人,ling'lai'yu'ren
零之使魔,ling'zhi'shi'mo
刘备玄徳,liu'bei'xuan'de
六瓢,liu'piao
六条壬晴,liu'tiao'ren'qing
泷岛彗,long'dao'hui
滝岛悟,long'dao'wu
陆逊伯言,lu'xun'bo'yan
露易斯,lu'yi'si
乱崎雹霞,luan'qi'bao'xia
乱崎凰火,luan'qi'huang'huo
乱崎凶华,luan'qi'xiong'hua
乱崎银夏,luan'qi'yin'xia
乱崎优歌,luan'qi'you'ge
乱崎月香,luan'qi'yue'xiang
罗伦斯,luo'lun'si
吕布奉先,lv'bu'feng'xian
吕蒙子明,lv'meng'zi'ming
猫目静,mao'mu'jing
美川文伽,mei'chuan'wen'jia
美哉,mei'zai
密羽,mi'yu
明石薫,ming'shi'xun
目黒俄雨,mu'hei'e'yu
乃木坂春香,nai'mu'ban'chun'xiang
乃木坂春香的秘密,nai'mu'ban'chun'xiang'de'mi'mi
乃木坂美夏,nai'mu'ban'mei'xia
南斗星,nan'dou'xing
籾冈理沙,ni'gang'li'sha
你是主人我是仆,ni'shi'zhu'ren'wo'shi'pu
诺拉,nuo'la
平贺才人,ping'he'cai'ren
七城那波,qi'cheng'na'bo
千代启二,qian'dai'qi'er
浅间美哉,qian'jian'mei'zai
千津子,qian'jin'zi
清水雷光,qing'shui'lei'guang
青野月音,qing'ye'yue'yin
清原千春,qing'yuan'qian'chun
秋津,qiu'jin
犬冢弥生,quan'zhong'mi'sheng
柔泽红香,rou'ze'hong'xiang
三代吉,san'dai'ji
三宫紫穂,san'gong'zi'sui
三宮紫穂,san'gong'zi'sui
三美姬的轮舞,san'mei'ji'de'lun'wu
森丘银影,sen'qiu'yin'ying
砂原几,sha'yuan'ji
山本纯,shan'ben'chun
山本芽,shan'ben'ya
杉並,shan'bing
上代由香里,shang'dai'you'xiang'li
上杉炼,shang'shan'lian
上杉美鸠,shang'shan'mei'jiu
上杉严,shang'shan'yan
神乐雛田,shen'le'chu'tian
神乐莹,shen'le'ying
石动纯,shi'dong'chun
石动乃绘,shi'dong'nai'hui
辻龙,shi'long
十字架与吸血鬼,shi'zi'jia'yu'xi'xue'gui
狩野宙,shou'ye'zhou
水泽摩央,shui'ze'mo'yang
死后文,si'hou'wen
司马懿仲达,si'ma'yi'zhong'da
孙策伯符,sun'ce'bo'fu
孙权仲谋,sun'quan'zhong'mou
塔巴莎,ta'ba'sha
汤浅比吕美,tang'qian'bi'lv'mei
桃太郎,tao'tai'lang
特优生,te'you'sheng
缇法尼艾,ti'fa'ni'ai
田端唯,tian'duan'wei
天宫椎菜,tian'gong'zhui'cai
天狐空幻,tian'hu'kong'huan
天狐玉耀,tian'hu'yu'yao
天条院沙姫,tian'tiao'yuan'sha'zhen
桐壶帝三,tong'hu'di'san
桐山臣,tong'shan'chen
维尔赫姆休尔兹,wei'er'he'mu'xiu'er'zi
我的狐仙女友,wo'de'hu'xian'nv'you
我家有个狐仙大人,wo'jia'you'ge'hu'xian'da'ren
吴荣,wu'rong
武藤环,wu'teng'huan
西连寺春菜,xi'lian'si'chun'cai
西连寺秋穂,xi'lian'si'qiu'sui
细女,xi'nv
夕月薰子,xi'yue'xun'zi
习志野,xi'zhi'ye
夏侯敦元让,xia'hou'dun'yuan'rang
夏侯渊妙才,xia'hou'yuan'miao'cai
夏日阳光,xia'ri'yang'guang
贤木修二,xian'mu'xiu'er
仙童紫,xian'tong'zi
相原菜菜,xiang'yuan'cai'cai
相原光一,xiang'yuan'guang'yi
相原一辉,xiang'yuan'yi'hui
相泽虹一,xiang'ze'hong'yi
宵风,xiao'feng
小日向早苗,xiao'ri'xiang'zao'miao
小山田耕太,xiao'shan'tian'geng'tai
小十郎,xiao'shi'lang
咲野明日夏,xiao'ye'ming'ri'xia
小早川美千,xiao'zao'chuan'mei'qian
谢丝塔,xie'si'ta
星乃结美,xing'nai'jie'mei
熊田流星,xiong'tian'liu'xing
雪村杏,xue'cun'xing
雪见和彦,xue'jian'he'yan
鸦羽,ya'yu
夜见,ye'jian
野上葵,ye'shang'kui
伊九号,yi'jiu'hao
一骑当千,yi'qi'dang'qian
音羽,yin'yu
隐之王,yin'zhi'wang
樱坂叶月,ying'ban'ye'yue
樱井俊介,ying'jing'jun'jie
桜内義之,ying'nei'yi'zhi
鹦鹉女神,ying'wu'nv'shen
于吉,yu'ji
御中广人,yu'zhong'guang'ren
源千鹤,yuan'qian'he
月島小恋,yue'dao'xiao'lian
月海,yue'hai
云平帷,yun'ping'wei
雑贺八寻,za'he'ba'xun
长长部澪,zhang'chang'bu'ling
张飞益徳,zhang'fei'yi'de
赵云子龙,zhao'yun'zi'long
真实之泪,zhen'shi'zhi'lei
真田光一,zhen'tian'guang'yi
只条深月,zhi'tiao'shen'yue
柊明良,zhong'ming'liang
仲上真一郎,zhong'shang'zhen'yi'lang
周瑜公瑾,zhou'yu'gong'jin
诸葛亮孔明,zhu'ge'liang'kong'ming
朱染心爱,zhu'ran'xin'ai
朱子,zhu'zi
椎菜,zhui'cai
佐仓美咲,zuo'cang'mei'xiao
佐仓美笑,zuo'cang'mei'xiao
左慈元放,zuo'ci'yuan'fang
佐桥高美,zuo'qiao'gao'mei
佐桥皆人,zuo'qiao'jie'ren
佐桥由佳利,zuo'qiao'you'jia'li
佐清,zuo'qing
