阿贝不变量,a'bei'bu'bian'liang
阿贝折射计,a'bei'zhe'she'ji
阿伏伽德罗常量,a'fu'jia'de'luo'chang'liang
阿伏伽德罗定律,a'fu'jia'de'luo'ding'lv
阿基米德原理,a'ji'mi'de'yuan'li
阿特伍德机,a'te'wu'de'ji
爱因斯坦等效原理,ai'yin'si'tan'deng'xiao'yuan'li
爱因斯坦关系,ai'yin'si'tan'guan'xi
爱因斯坦系数,ai'yin'si'tan'xi'shu
安培分子电流假说,an'pei'fen'zi'dian'liu'jia'shuo
安培计,an'pei'ji
安培力,an'pei'li
安培天平,an'pei'tian'ping
安培匝数,an'pei'za'shu
昂萨格倒易关系,ang'sa'ge'dao'yi'guan'xi
凹面光栅,ao'mian'guang'shan
凹面镜,ao'mian'jing
凹透镜,ao'tou'jing
巴比涅补偿器,ba'bi'nie'bu'chang'qi
摆,bai
白光,bai'guang
半波片,ban'bo'pian
半导体激光器,ban'dao'ti'ji'guang'qi
半衰期,ban'shuai'qi
傍轴近似,bang'zhou'jin'si
傍轴条件,bang'zhou'tiao'jian
饱和,bao'he
饱和磁化强度,bao'he'ci'hua'qiang'du
薄膜光学,bao'mo'guang'xue
保守力,bao'shou'li
保守系,bao'shou'xi
本底,ben'di
本体瞬心迹,ben'ti'shun'xin'ji
本影,ben'ying
本征函数,ben'zheng'han'shu
本征频率,ben'zheng'pin'lv
本征矢量,ben'zheng'shi'liang
本征振动,ben'zheng'zhen'dong
闭管,bi'guan
比荷,bi'he
比热容,bi're'rong
比色高温计,bi'se'gao'wen'ji
比体积,bi'ti'ji
比耶对切透镜,bi'ye'dui'qie'tou'jing
比重,bi'zhong
比重瓶,bi'zhong'ping
边界条件,bian'jie'tiao'jian
遍历假说,bian'li'jia'shuo
遍历性,bian'li'xing
变量,bian'liang
变质量系,bian'zhi'liang'xi
边值问题,bian'zhi'wen'ti
表观功率,biao'guan'gong'lv
标量,biao'liang
表面电阻,biao'mian'dian'zu
表面张力,biao'mian'zhang'li
表面张力系数,biao'mian'zhang'li'xi'shu
表示,biao'shi
表述,biao'shu
表象,biao'xiang
标准大气压,biao'zhun'da'qi'ya
标准偏差,biao'zhun'pian'cha
标准误差,biao'zhun'wu'cha
冰点,bing'dian
并联,bing'lian
波,bo
波包,bo'bao
波长,bo'chang
波带片,bo'dai'pian
波动力学,bo'dong'li'xue
波动性,bo'dong'xing
玻恩近似,bo'en'jin'si
玻尔磁子,bo'er'ci'zi
玻尔频率条件,bo'er'pin'lv'tiao'jian
玻尔原子模型,bo'er'yuan'zi'mo'xing
玻耳兹曼关系,bo'er'zi'man'guan'xi
玻耳兹曼积分微分方程,bo'er'zi'man'ji'fen'wei'fen'fang'cheng
波峰,bo'feng
波腹,bo'fu
波谷,bo'gu
波函数,bo'han'shu
波节,bo'jie
波面,bo'mian
波模,bo'mo
伯努利方程,bo'nu'li'fang'cheng
波前,bo'qian
玻色子,bo'shai'zi
波矢量,bo'shi'liang
波数,bo'shu
泊松比,bo'song'bi
泊松括号,bo'song'kuo'hao
泊肃叶定律,bo'su'ye'ding'lv
玻意耳定律,bo'yi'er'ding'lv
波阵面,bo'zhen'mian
补偿板,bu'chang'ban
部分相干性,bu'fen'xiang'gan'xing
不可对易性,bu'ke'dui'yi'xing
不可见光,bu'ke'jian'guang
不可逆过程,bu'ke'ni'guo'cheng
不可压缩性,bu'ke'ya'suo'xing
不可约张量算符,bu'ke'yue'zhang'liang'suan'fu
布拉格条件,bu'la'ge'tiao'jian
布朗运动,bu'lang'yun'dong
布里渊散射,bu'li'yuan'san'she
不确定度关系,bu'que'ding'du'guan'xi
布儒斯特窗,bu'ru'si'te'chuang
布儒斯特角,bu'ru'si'te'jiao
不稳定平衡,bu'wen'ding'ping'heng
不相干成象,bu'xiang'gan'cheng'xiang
步骤,bu'zhou
参考系,can'kao'xi
参考圆,can'kao'yuan
参量,can'liang
测高仪,ce'gao'yi
测节器,ce'jie'qi
测量,ce'liang
测微目镜,ce'wei'mu'jing
测温性质,ce'wen'xing'zhi
层流,ceng'liu
查理定律,cha'li'ding'lv
产生算符,chan'sheng'suan'fu
场点,chang'dian
长度,chang'du
常量,chang'liang
常数,chang'shu
场源,chang'yuan
超导电性,chao'dao'dian'xing
超静定问题,chao'jing'ding'wen'ti
超精细结构,chao'jing'xi'jie'gou
超距作用,chao'ju'zuo'yong
超声波,chao'sheng'bo
超声速,chao'sheng'su
超重,chao'zhong
彻体力,che'ti'li
衬比度,chen'bi'du
弛豫时间,chi'yu'shi'jian
冲击摆,chong'ji'bai
冲击波,chong'ji'bo
冲击波前,chong'ji'bo'qian
冲量,chong'liang
抽气机,chou'qi'ji
抽运,chou'yun
触发器,chu'fa'qi
初速度,chu'su'du
传播常量,chuan'bo'chang'liang
串联共振,chuan'lian'gong'zhen
传质,chuan'zhi
垂直轴定理,chui'zhi'zhou'ding'li
磁标势,ci'biao'shi
磁场强度,ci'chang'qiang'du
磁单极子,ci'dan'ji'zi
磁导计,ci'dao'ji
磁感应强度,ci'gan'ying'qiang'du
磁光效应,ci'guang'xiao'ying
磁荷,ci'he
磁化率,ci'hua'lv
磁化强度,ci'hua'qiang'du
磁极,ci'ji
次极大,ci'ji'da
次级子波,ci'ji'zi'bo
磁镜,ci'jing
磁壳,ci'ke
磁路,ci'lu
磁能,ci'neng
磁偶极矩,ci'ou'ji'ju
磁偏转,ci'pian'zhuan
磁倾计,ci'qing'ji
次声波,ci'sheng'bo
磁通量,ci'tong'liang
磁透镜,ci'tou'jing
磁性材料,ci'xing'cai'liao
磁旋比,ci'xuan'bi
磁压,ci'ya
磁滞回线,ci'zhi'hui'xian
磁阻,ci'zu
粗调,cu'diao
达朗贝尔惯性力,da'lang'bei'er'guan'xing'li
达朗贝尔原理,da'lang'bei'er'yuan'li
带电体,dai'dian'ti
带状谱,dai'zhuang'pu
单摆,dan'bai
单侧约束,dan'ce'yue'shu
弹道,dan'dao
单道分析器,dan'dao'fen'xi'qi
单缝衍射,dan'feng'yan'she
单粒子分布函数,dan'li'zi'fen'bu'han'shu
丹聂耳电池,dan'nie'er'dian'chi
单色光源,dan'se'guang'yuan
单色仪,dan'se'yi
单位,dan'wei
单位制,dan'wei'zhi
导电介质,dao'dian'jie'zhi
道尔顿分压定律,dao'er'dun'fen'ya'ding'lv
导纳,dao'na
导体,dao'ti
倒象棱镜,dao'xiang'leng'jing
德布罗意波长,de'bu'luo'yi'bo'chang
等电子序,deng'dian'zi'xu
等概率假设,deng'gai'lv'jia'she
等厚条纹,deng'hou'tiao'wen
等离子体频率,deng'li'zi'ti'pin'lv
等倾条纹,deng'qing'tiao'wen
等时摆,deng'shi'bai
等势面,deng'shi'mian
等势线,deng'shi'xian
等体积过程,deng'ti'ji'guo'cheng
等体积线,deng'ti'ji'xian
等温过程,deng'wen'guo'cheng
等温线,deng'wen'xian
等效力系,deng'xiao'li'xi
等压过程,deng'ya'guo'cheng
等压线,deng'ya'xian
第二类拉格朗日方程,di'er'lei'la'ge'lang'ri'fang'cheng
第二宇宙速度,di'er'yu'zhou'su'du
狄拉克方程,di'la'ke'fang'cheng
地球物理学,di'qiu'wu'li'xue
第三宇宙速度,di'san'yu'zhou'su'du
狄特里奇方程,di'te'li'qi'fang'cheng
低温恒温器,di'wen'heng'wen'qi
第一积分,di'yi'ji'fen
第一类拉格朗日方程,di'yi'lei'la'ge'lang'ri'fang'cheng
第一宇宙速度,di'yi'yu'zhou'su'du
电场线,dian'chang'xian
电磁场,dian'ci'chang
电磁场张量,dian'ci'chang'zhang'liang
电磁动量,dian'ci'dong'liang
电磁辐射,dian'ci'fu'she
电磁学,dian'ci'xue
电磁质量,dian'ci'zhi'liang
电导,dian'dao
电动力学,dian'dong'li'xue
电多极矩,dian'duo'ji'ju
电感器,dian'gan'qi
电功率,dian'gong'lv
电极,dian'ji
电极化强度,dian'ji'hua'qiang'du
电解,dian'jie
电解质,dian'jie'zhi
电介质,dian'jie'zhi
电抗,dian'kang
电离,dian'li
电离室,dian'li'shi
电离真空规,dian'li'zhen'kong'gui
电量,dian'liang
电流,dian'liu
电流密度,dian'liu'mi'du
电流线,dian'liu'xian
电流元,dian'liu'yuan
电路,dian'lu
电能,dian'neng
电偶层,dian'ou'ceng
电偶极辐射,dian'ou'ji'fu'she
电偶极子,dian'ou'ji'zi
电容率张量,dian'rong'lv'zhang'liang
电容器,dian'rong'qi
电势差,dian'shi'cha
电势差计,dian'shi'cha'ji
电四极矩,dian'si'ji'ju
电位移,dian'wei'yi
电学,dian'xue
电源,dian'yuan
电晕,dian'yun
电滞效应,dian'zhi'xiao'ying
电中性,dian'zhong'xing
电子云,dian'zi'yun
电阻,dian'zu
电阻器,dian'zu'qi
电阻箱,dian'zu'xiang
定标器,ding'biao'qi
定常流动,ding'chang'liu'dong
定常约束,ding'chang'yue'shu
定点转动,ding'dian'zhuan'dong
定理,ding'li
定律,ding'lv
定时器,ding'shi'qi
定体积比热,ding'ti'ji'bi're
定向发射体,ding'xiang'fa'she'ti
定压比热,ding'ya'bi're
定则,ding'ze
定轴转动,ding'zhou'zhuan'dong
动力粘度系数,dong'li'nian'du'xi'shu
动力学,dong'li'xue
动理学,dong'li'xue
动量,dong'liang
动量表象,dong'liang'biao'xiang
动量定理,dong'liang'ding'li
动量流密度,dong'liang'liu'mi'du
动量守恒定律,dong'liang'shou'heng'ding'lv
动能,dong'neng
动能定理,dong'neng'ding'li
动生电动势,dong'sheng'dian'dong'shi
动压,dong'ya
度规张量,du'gui'zhang'liang
短路,duan'lu
对称波函数,dui'chen'bo'han'shu
对称性群,dui'chen'xing'qun
对易,dui'yi
对易关系,dui'yi'guan'xi
对应态定律,dui'ying'tai'ding'lv
多方过程,duo'fang'guo'cheng
多方指数,duo'fang'zhi'shu
多光束干涉,duo'guang'shu'gan'she
多普勒频移,duo'pu'le'pin'yi
多普勒效应,duo'pu'le'xiao'ying
多体问题,duo'ti'wen'ti
扼流线圈,e'liu'xian'quan
厄米的,e'mi'de
厄米算符,e'mi'suan'fu
二端网络,er'duan'wang'luo
二级相变,er'ji'xiang'bian
二体问题,er'ti'wen'ti
二项分布,er'xiang'fen'bu
二向色性,er'xiang'se'xing
发电机,fa'dian'ji
发光,fa'guang
发光强度,fa'guang'qiang'du
法拉第电磁感应定律,fa'la'di'dian'ci'gan'ying'ding'lv
法拉第旋转,fa'la'di'xuan'zhuan
发散透镜,fa'san'tou'jing
法向加速度,fa'xiang'jia'su'du
法向应力,fa'xiang'ying'li
反常吸收,fan'chang'xi'shou
反冲,fan'chong
范德格拉夫起电机,fan'de'ge'la'fu'qi'dian'ji
范德瓦耳斯方程,fan'de'wa'er'si'fang'cheng
反对称性,fan'dui'chen'xing
反对易关系,fan'dui'yi'guan'xi
反符合电路,fan'fu'he'dian'lu
反馈,fan'kui
反射定律,fan'she'ding'lv
反射光栅,fan'she'guang'shan
反射角,fan'she'jiao
反射率,fan'she'lv
反射系数,fan'she'xi'shu
反弹,fan'tan
反转温度,fan'zhuan'wen'du
反作用力,fan'zuo'yong'li
放大率色差,fang'da'lv'se'cha
放大器,fang'da'qi
放电,fang'dian
方均根速率,fang'jun'gen'su'lv
方均位移,fang'jun'wei'yi
非单色波,fei'dan'se'bo
沸点,fei'dian
非定常约束,fei'ding'chang'yue'shu
非定域条纹,fei'ding'yu'tiao'wen
非惯性系,fei'guan'xing'xi
费马原理,fei'ma'yuan'li
费米动量,fei'mi'dong'liang
费米海,fei'mi'hai
费米球,fei'mi'qiu
菲涅耳双镜,fei'nie'er'shuang'jing
非平衡热力学,fei'ping'heng're'li'xue
非平衡态,fei'ping'heng'tai
非弹性散射,fei'tan'xing'san'she
沸腾,fei'teng
非完全弹性碰撞,fei'wan'quan'tan'xing'peng'zhuang
非完整系,fei'wan'zheng'xi
非完整约束,fei'wan'zheng'yue'shu
非相对论性极限,fei'xiang'dui'lun'xing'ji'xian
非谐振动,fei'xie'zhen'dong
非寻常光,fei'xun'chang'guang
非寻常折射率,fei'xun'chang'zhe'she'lv
非周期性,fei'zhou'qi'xing
分辨本领,fen'bian'ben'ling
分辨率,fen'bian'lv
分布,fen'bu
分布力,fen'bu'li
分光光度计,fen'guang'guang'du'ji
分力,fen'li
分流器,fen'liu'qi
分路,fen'lu
分速度,fen'su'du
分析天平,fen'xi'tian'ping
分子磁矩,fen'zi'ci'ju
分子光谱,fen'zi'guang'pu
分子混沌拟设,fen'zi'hun'dun'ni'she
分子物理学,fen'zi'wu'li'xue
伏安特性曲线,fu'an'te'xing'qu'xian
复摆,fu'bai
负电荷,fu'dian'he
福丁气压计,fu'ding'qi'ya'ji
浮环实验,fu'huan'shi'yan
负极板,fu'ji'ban
负晶体,fu'jing'ti
负绝对温度,fu'jue'dui'wen'du
傅科摆,fu'ke'bai
夫琅禾费谱线,fu'lang'he'fei'pu'xian
夫琅禾费衍射,fu'lang'he'fei'yan'she
浮力,fu'li
浮力秤,fu'li'cheng
傅里叶定律,fu'li'ye'ding'lv
傅里叶光学,fu'li'ye'guang'xue
负离子,fu'li'zi
辐射电阻,fu'she'dian'zu
辐射度量学,fu'she'du'liang'xue
辐射方向图,fu'she'fang'xiang'tu
辐射功率,fu'she'gong'lv
辐射能密度,fu'she'neng'mi'du
辐射频谱,fu'she'pin'pu
负载,fu'zai
辐照度,fu'zhao'du
复折射率,fu'zhe'she'lv
附着力,fu'zhuo'li
复阻抗,fu'zu'kang
概率,gai'lv
概率幅,gai'lv'fu
概然误差,gai'ran'wu'cha
干电池,gan'dian'chi
感抗,gan'kang
干涉级,gan'she'ji
干涉滤光片,gan'she'lv'guang'pian
干涉显微镜,gan'she'xian'wei'jing
干涉项,gan'she'xiang
感生电荷,gan'sheng'dian'he
感应电流,gan'ying'dian'liu
刚化原理,gang'hua'yuan'li
刚体,gang'ti
刚体自由运动,gang'ti'zi'you'yun'dong
刚性杆,gang'xing'gan
高斯定理,gao'si'ding'li
高斯分布,gao'si'fen'bu
高斯计,gao'si'ji
各向同性,ge'xiang'tong'xing
各向异性,ge'xiang'yi'xing
各向异性介质,ge'xiang'yi'xing'jie'zhi
功,gong
共点力,gong'dian'li
共点力系,gong'dian'li'xi
共轭光线,gong'e'guang'xian
共轭象,gong'e'xiang
功率,gong'lv
共面力,gong'mian'li
共面力系,gong'mian'li'xi
共鸣,gong'ming
共鸣管,gong'ming'guan
汞气灯,gong'qi'deng
共振,gong'zhen
共振波模,gong'zhen'bo'mo
共振频率,gong'zhen'pin'lv
共振器,gong'zhen'qi
固定指标,gu'ding'zhi'biao
估计,gu'ji
孤立系,gu'li'xi
固体,gu'ti
固体激光器,gu'ti'ji'guang'qi
固有长度,gu'you'chang'du
固有频率,gu'you'pin'lv
固有时间隔,gu'you'shi'jian'ge
固有质量,gu'you'zhi'liang
观察,guan'cha
关联能,guan'lian'neng
关联系数,guan'lian'xi'shu
惯量积,guan'liang'ji
惯量椭球,guan'liang'tuo'qiu
惯量张量,guan'liang'zhang'liang
惯量主轴,guan'liang'zhu'zhou
惯性,guan'xing
惯性参考系,guan'xing'can'kao'xi
惯性力,guan'xing'li
惯性离心力,guan'xing'li'xin'li
惯性质量,guan'xing'zhi'liang
光,guang
光程,guang'cheng
光电导效应,guang'dian'dao'xiao'ying
光电管,guang'dian'guan
光电流,guang'dian'liu
光度学,guang'du'xue
光杠杆,guang'gang'gan
光具组,guang'ju'zu
光阑,guang'lan
光密介质,guang'mi'jie'zhi
光谱,guang'pu
光谱分析,guang'pu'fen'xi
光谱仪,guang'pu'yi
光强,guang'qiang
光栅,guang'shan
光视效率,guang'shi'xiao'lv
光速,guang'su
光速不变原理,guang'su'bu'bian'yuan'li
光通量,guang'tong'liang
光行差,guang'xing'cha
光学,guang'xue
光学测角计,guang'xue'ce'jiao'ji
光学仪器,guang'xue'yi'qi
广延量,guang'yan'liang
广义动量,guang'yi'dong'liang
广义动量积分,guang'yi'dong'liang'ji'fen
广义力,guang'yi'li
广义能量积分,guang'yi'neng'liang'ji'fen
广义速度,guang'yi'su'du
光以太,guang'yi'tai
广义协变性原理,guang'yi'xie'bian'xing'yuan'li
广义坐标,guang'yi'zuo'biao
光致发光,guang'zhi'fa'guang
光锥,guang'zhui
光子,guang'zi
轨道,gui'dao
轨道角动量,gui'dao'jiao'dong'liang
规范变换,gui'fan'bian'huan
鬼线,gui'xian
归一化,gui'yi'hua
归一化因子,gui'yi'hua'yin'zi
规则旋进,gui'ze'xuan'jin
滚动摩擦,gun'dong'mo'ca
过饱和,guo'bao'he
国际实用温标,guo'ji'shi'yong'wen'biao
过冷蒸气,guo'leng'zheng'qi
过去,guo'qu
过热液体,guo're'ye'ti
过阻尼,guo'zu'ni
哈密顿函数,ha'mi'dun'han'shu
哈密顿量,ha'mi'dun'liang
哈密顿算符,ha'mi'dun'suan'fu
哈密顿原理,ha'mi'dun'yuan'li
亥姆霍兹方程,hai'mu'huo'zi'fang'cheng
亥姆霍兹线圈,hai'mu'huo'zi'xian'quan
氦氖激光器,hai'nai'ji'guang'qi
海森伯绘景,hai'sen'bo'hui'jing
海氏电桥,hai'shi'dian'qiao
焓,han
含时微扰,han'shi'wei'rao
含时薛定谔方程,han'shi'xue'ding'e'fang'cheng
行波,hang'bo
耗散力,hao'san'li
合力,he'li
核力,he'li
合力偶,he'li'ou
合速度,he'su'du
赫兹振子,he'zi'zhen'zi
合作现象,he'zuo'xian'xiang
黑体,hei'ti
横波,heng'bo
横电波,heng'dian'bo
恒定电流,heng'ding'dian'liu
恒力,heng'li
横模,heng'mo
横向放大率,heng'xiang'fang'da'lv
横向加速度,heng'xiang'jia'su'du
横向速度,heng'xiang'su'du
恒压源,heng'ya'yuan
宏观态,hong'guan'tai
红外线,hong'wai'xian
虹吸,hong'xi
厚透镜,hou'tou'jing
互补原理,hu'bu'yuan'li
互感器,hu'gan'qi
互感系数,hu'gan'xi'shu
胡克定律,hu'ke'ding'lv
弧矢焦线,hu'shi'jiao'xian
滑动摩擦,hua'dong'mo'ca
滑动摩擦系数,hua'dong'mo'ca'xi'shu
滑轮,hua'lun
滑轮组,hua'lun'zu
华氏温标,hua'shi'wen'biao
化学平衡常量,hua'xue'ping'heng'chang'liang
化学势,hua'xue'shi
化学物理学,hua'xue'wu'li'xue
滑移矢量,hua'yi'shi'liang
环流,huan'liu
回波,hui'bo
恢复冲量,hui'fu'chong'liang
恢复系数,hui'fu'xi'shu
惠更斯目镜,hui'geng'si'mu'jing
惠更斯原理,hui'geng'si'yuan'li
会聚波,hui'ju'bo
回声,hui'sheng
彗形象差,hui'xing'xiang'cha
回旋半径,hui'xuan'ban'jing
混沌,hun'dun
混合气体,hun'he'qi'ti
混合态,hun'he'tai
霍耳效应,huo'er'xiao'ying
火花计时器,huo'hua'ji'shi'qi
火花室,huo'hua'shi
火箭,huo'jian
迹,ji
基本物理常量,ji'ben'wu'li'chang'liang
级别,ji'bie
吉布斯相律,ji'bu'si'xiang'lv
吉布斯佯谬,ji'bu'si'yang'miu
击穿场强,ji'chuan'chang'qiang
基点,ji'dian
集电极,ji'dian'ji
基尔霍夫方程组,ji'er'huo'fu'fang'cheng'zu
基尔霍夫公式,ji'er'huo'fu'gong'shi
激光器,ji'guang'qi
激光散斑,ji'guang'san'ban
极化电荷,ji'hua'dian'he
极矢量,ji'shi'liang
计时器,ji'shi'qi
基态,ji'tai
集团积分,ji'tuan'ji'fen
迹线,ji'xian
极限速度,ji'xian'su'du
机械波,ji'xie'bo
机械功,ji'xie'gong
机械能,ji'xie'neng
机械能守恒定律,ji'xie'neng'shou'heng'ding'lv
机械运动,ji'xie'yun'dong
机械振动,ji'xie'zhen'dong
基右矢,ji'you'shi
基元电荷,ji'yuan'dian'he
集中力,ji'zhong'li
伽利略变换,jia'li'lue'bian'huan
伽利略不变性,jia'li'lue'bu'bian'xing
伽利略相对性原理,jia'li'lue'xiang'dui'xing'yuan'li
假设,jia'she
加速度,jia'su'du
加速度计,jia'su'du'ji
加速运动,jia'su'yun'dong
鉴别,jian'bie
简并度,jian'bing'du
检测,jian'ce
减反射膜,jian'fan'she'mo
间接测量,jian'jie'ce'liang
碱金属原子,jian'jin'shu'yuan'zi
检偏器,jian'pian'qi
剪切,jian'qie
剪切角,jian'qie'jiao
剪切模量,jian'qie'mo'liang
简谐波,jian'xie'bo
简谐运动,jian'xie'yun'dong
剪应变,jian'ying'bian
剪应力,jian'ying'li
简正模式,jian'zheng'mo'shi
简正频率,jian'zheng'pin'lv
简正振动,jian'zheng'zhen'dong
简正坐标,jian'zheng'zuo'biao
焦点,jiao'dian
角动量,jiao'dong'liang
