安刘村,an'liu'cun
安西村,an'xi'cun
八里店,ba'li'dian
巴邑村,ba'yi'cun
白杨集团,bai'yang'ji'tuan
北人印机,bei'ren'yin'ji
北塘口,bei'tang'kou
滨河大道,bin'he'da'dao
殡仪馆,bin'yi'guan
部队招待所,bu'dui'zhao'dai'suo
财局家属院,cai'ju'jia'shu'yuan
菜市场,cai'shi'chang
仓程路,cang'cheng'lu
仓程路十字,cang'cheng'lu'shi'zi
产业园区,chan'ye'yuan'qu
产业园西口,chan'ye'yuan'xi'kou
长途汽车站,chang'tu'qi'che'zhan
朝阳街解放路十字,chao'yang'jie'jie'fang'lu'shi'zi
朝阳街十字,chao'yang'jie'shi'zi
朝阳路大街十字,chao'yang'lu'da'jie'shi'zi
城关职中,cheng'guan'zhi'zhong
程家,cheng'jia
城乡建设局,cheng'xiang'jian'she'ju
赤高路口,chi'gao'lu'kou
春光村,chun'guang'cun
大闵村,da'min'cun
地区医院南门,di'qu'yi'yuan'nan'men
电池厂,dian'chi'chang
刁张村,diao'zhang'cun
东刘村,dong'liu'cun
东王小学,dong'wang'xiao'xue
杜化路,du'hua'lu
杜化路十字,du'hua'lu'shi'zi
杜化路朝阳十字,du'hua'lu'zhao'yang'shi'zi
杜桥派出所,du'qiao'pai'chu'suo
二号信箱,er'hao'xin'xiang
二十局技校,er'shi'ju'ji'xiao
法苑小区,fa'yuan'xiao'qu
方圆商厦,fang'yuan'shang'sha
丰庆路口,feng'qing'lu'kou
丰塬路口,feng'yuan'lu'kou
福德泉,fu'de'quan
钢材市场,gang'cai'shi'chang
高管局,gao'guan'ju
高速路西入口,gao'su'lu'xi'ru'kou
高新公安分局,gao'xin'gong'an'fen'ju
高新区十字,gao'xin'qu'shi'zi
高新中学,gao'xin'zhong'xue
公安高新分局,gong'an'gao'xin'fen'ju
公安临渭分局,gong'an'lin'wei'fen'ju
工材汽修厂,gong'cai'qi'xiu'chang
供电局,gong'dian'ju
供电局家属院,gong'dian'ju'jia'shu'yuan
供电所,gong'dian'suo
工行家属院,gong'hang'jia'shu'yuan
公交公司,gong'jiao'gong'si
公交总公司,gong'jiao'zong'gong'si
沟里村,gou'li'cun
故市镇,gu'shi'zhen
官道路口,guan'dao'lu'kou
广通南路,guang'tong'nan'lu
国道,guo'dao
国贸大厦,guo'mao'da'sha
豪华影院,hao'hua'ying'yuan
豪润御城,hao'run'yu'cheng
恒昌大厦,heng'chang'da'sha
红化家属区,hong'hua'jia'shu'qu
红化家属院,hong'hua'jia'shu'yuan
红化总厂,hong'hua'zong'chang
红星村,hong'xing'cun
候家村,hou'jia'cun
化工厂家属院,hua'gong'chang'jia'shu'yuan
华山,hua'shan
华山大街十字,hua'shan'da'jie'shi'zi
华山造纸厂,hua'shan'zao'zhi'chang
黄家村,huang'jia'cun
火车站,huo'che'zhan
火车站十字,huo'che'zhan'shi'zi
集才高中,ji'cai'gao'zhong
技术学院新区,ji'shu'xue'yuan'xin'qu
