阿勒颇城之战,a'le'po'cheng'zhi'zhan
安军攻占东都之战,an'jun'gong'zhan'dong'du'zhi'zhan
安庆江州之战,an'qing'jiang'zhou'zhi'zhan
安邑之战,an'yi'zhi'zhan
鞍之战,an'zhi'zhan
巴格达之战,ba'ge'da'zhi'zhan
巴里坤之战,ba'li'kun'zhi'zhan
八王之乱,ba'wang'zhi'luan
八字军抗金起义,ba'zi'jun'kang'jin'qi'yi
柏壁之战,bai'bi'zhi'zhan
白登之战,bai'deng'zhi'zhan
白沟河之战,bai'gou'he'zhi'zhan
柏举之战,bai'ju'zhi'zhan
白狼山之战,bai'lang'shan'zhi'zhan
白莲教起义,bai'lian'jiao'qi'yi
白马之战,bai'ma'zhi'zhan
白土岗之战,bai'tu'gang'zhi'zhan
柏乡之战,bai'xiang'zhi'zhan
阪泉之战,ban'quan'zhi'zhan
帮源洞之战,bang'yuan'dong'zhi'zhan
北京之战,bei'jing'zhi'zhan
北平之战,bei'ping'zhi'zhan
北齐攻梁之战,bei'qi'gong'liang'zhi'zhan
北宋统一战争,bei'song'tong'yi'zhan'zheng
北魏分裂之战,bei'wei'fen'lie'zhi'zhan
北魏攻北燕之战,bei'wei'gong'bei'yan'zhi'zhan
北魏攻后燕之战,bei'wei'gong'hou'yan'zhi'zhan
北魏攻柔然之战,bei'wei'gong'rou'ran'zhi'zhan
北魏攻宋河南之战,bei'wei'gong'song'he'nan'zhi'zhan
北魏攻统万之战,bei'wei'gong'tong'wan'zhi'zhan
贝州之战,bei'zhou'zhi'zhan
邲之战,bi'zhi'zhan
边堡寨之战,bian'bao'zhai'zhi'zhan
邠州之战,bin'zhou'zhi'zhan
不花剌之战,bu'hua'la'zhi'zhan
采石之战,cai'shi'zhi'zhan
蔡州之战,cai'zhou'zhi'zhan
参合陂之战,can'he'bei'zhi'zhan
曹操统一北方的战争,cao'cao'tong'yi'bei'fang'de'zhan'zheng
澶州之战,chan'zhou'zhi'zhan
长安之战,chang'an'zhi'zhan
长平之战,chang'ping'zhi'zhan
长沙之战,chang'sha'zhi'zhan
常山之战,chang'shan'zhi'zhan
长勺之战,chang'shao'zhi'zhan
长社之战,chang'she'zhi'zhan
常州之战,chang'zhou'zhi'zhan
陈仓之战,chen'cang'zhi'zhan
陈家岛海战,chen'jia'dao'hai'zhan
陈敏反晋之战,chen'min'fan'jin'zhi'zhan
陈庆之攻北魏之战,chen'qing'zhi'gong'bei'wei'zhi'zhan
陈汤灭郅支单于之战,chen'tang'mie'zhi'zhi'dan'yu'zhi'zhan
陈涛斜之战,chen'tao'xie'zhi'zhan
成昌之战,cheng'chang'zhi'zhan
