阿鼻元珠,a'bi'yuan'zhu
阿难剑,a'nan'jian
阿童,a'tong
阿修罗宫,a'xiu'luo'gong
矮叟朱梅,ai'sou'zhu'mei
艾真子,ai'zhen'zi
八卦,ba'gua
八手观音,ba'shou'guan'yin
百宝如意转金锁,bai'bao'ru'yi'zhuan'jin'suo
百草夺命丹,bai'cao'duo'ming'dan
百草九转仙丹,bai'cao'jiu'zhuan'xian'dan
百草阳灵膏,bai'cao'yang'ling'gao
百毒丹,bai'du'dan
百毒金蚕蛊,bai'du'jin'can'gu
百毒烟岚连珠飞弩,bai'du'yan'lan'lian'zhu'fei'nu
白发龙女,bai'fa'long'nv
白发龙女崔五姑,bai'fa'long'nv'cui'wu'gu
白骨飞叉,bai'gu'fei'cha
白骨丧门箭,bai'gu'sang'men'jian
白骨神君,bai'gu'shen'jun
白骨锁心锤,bai'gu'suo'xin'chui
白谷逸,bai'gu'yi
白骨真君,bai'gu'zhen'jun
百灵斩仙剑,bai'ling'zhan'xian'jian
白眉禅师,bai'mei'chan'shi
白眉针,bai'mei'zhen
白水真人刘泉,bai'shui'zhen'ren'liu'quan
白侠孙南,bai'xia'sun'nan
白信还阳丹,bai'xin'huan'yang'dan
白阳真人,bai'yang'zhen'ren
白幽女,bai'you'nv
白云大师,bai'yun'da'shi
白云大师元敬,bai'yun'da'shi'yuan'jing
白竹涧,bai'zhu'jian
半边老尼,ban'bian'lao'ni
宝相夫人,bao'xiang'fu'ren
北海绛云宫,bei'hai'jiang'yun'gong
北极陷空岛,bei'ji'xian'kong'dao
贝叶灵符,bei'ye'ling'fu
避毒真言,bi'du'zhen'yan
辟谷丹,bi'gu'dan
辟谷法,bi'gu'fa
避火诀,bi'huo'jue
碧筠庵醉道人,bi'jun'an'zui'dao'ren
碧磷冲,bi'lin'chong
碧磷砂,bi'lin'sha
碧目天罗,bi'mu'tian'luo
碧雯仙子,bi'wen'xian'zi
碧犀球,bi'xi'qiu
辟邪玉斧,bi'xie'yu'fu
毕修,bi'xiu
碧血灭魂梭,bi'xue'mie'hun'suo
碧血神焰,bi'xue'shen'yan
碧血针,bi'xue'zhen
碧眼神佛,bi'yan'shen'fo
毕真真,bi'zhen'zhen
丙灵梭,bing'ling'suo
冰魄神光,bing'po'shen'guang
冰魄神光剑,bing'po'shen'guang'jian
丙融,bing'rong
病维摩朱洪,bing'wei'mo'zhu'hong
波罗刀,bo'luo'dao
般若刀,bo're'dao
波丝慝迷神邪火,bo'si'te'mi'shen'xie'huo
不坏金光护身法,bu'huai'jin'guang'hu'shen'fa
布鲁音加,bu'lu'yin'jia
补髓益元神丹,bu'sui'yi'yuan'shen'dan
补天石,bu'tian'shi
步虚仙子,bu'xu'xian'zi
彩霓练,cai'ni'lian
菜头陀,cai'tou'tuo
采薇僧朱由穆,cai'wei'seng'zhu'you'mu
彩霞红云瘴,cai'xia'hong'yun'zhang
彩云链,cai'yun'lian
餐霞大师,can'xia'da'shi
沧浪羽士随心一,cang'lang'yu'shi'sui'xin'yi
藏灵子,cang'ling'zi
苍莽山,cang'mang'shan
苍虚老人,cang'xu'lao'ren
曹飞,cao'fei
草上飞林成祖,cao'shang'fei'lin'cheng'zu
曾宁,ceng'ning
姹女旗,cha'nv'qi
查山五鬼,cha'shan'wu'gui
长臂天魔,chang'bi'tian'mo
长春岩无忧洞,chang'chun'yan'wu'you'dong
长地之法,chang'de'zhi'fa
长狄洞,chang'di'dong
长眉真人,chang'mei'zhen'ren
长眉真人任寿,chang'mei'zhen'ren'ren'shou
朝天观,chao'tian'guan
彻地神针,che'di'shen'zhen
陈文玑,chen'wen'ji
赤城子,chi'cheng'zi
赤癸球,chi'gui'qiu
池鲁,chi'lu
赤身教,chi'shen'jiao
赤尸遁法,chi'shi'dun'fa
赤尸神君,chi'shi'shen'jun
赤苏,chi'su
赤乌球,chi'wu'qiu
赤霞神君,chi'xia'shen'jun
赤焰道人,chi'yan'dao'ren
赤阴剑,chi'yin'jian
赤玉杖,chi'yu'zhang
赤杖仙姥,chi'zhang'xian'lao
