保费收入保险专用,bao'fei'shou'ru'bao'xian'zhuan'yong
保户储金保险专用,bao'hu'chu'jin'bao'xian'zhuan'yong
保户红利支出保险专用,bao'hu'hong'li'zhi'chu'bao'xian'zhuan'yong
保险责任准备金保险专用,bao'xian'ze'ren'zhun'bei'jin'bao'xian'zhuan'yong
保险专用,bao'xian'zhuan'yong
包装物及低值易耗品,bao'zhuang'wu'ji'di'zhi'yi'hao'pin
被套期项目,bei'tao'qi'xiang'mu
本年利润,ben'nian'li'run
材料采购,cai'liao'cai'gou
材料成本差异,cai'liao'cheng'ben'cha'yi
财务费用,cai'wu'fei'yong
拆出资金,chai'chu'zi'jin
拆入资金金融共用,chai'ru'zi'jin'jin'rong'gong'yong
长期待摊费用,chang'qi'dai'tan'fei'yong
长期股权投资,chang'qi'gu'quan'tou'zi
长期股权投资减值准备,chang'qi'gu'quan'tou'zi'jian'zhi'zhun'bei
长期借款,chang'qi'jie'kuan
长期应付款,chang'qi'ying'fu'kuan
长期应收款,chang'qi'ying'shou'kuan
长期债券,chang'qi'zhai'quan
持有至到期投资,chi'you'zhi'dao'qi'tou'zi
持有至到期投资减值准备,chi'you'zhi'dao'qi'tou'zi'jian'zhi'zhun'bei
存出保证金,cun'chu'bao'zheng'jin
存出资本保证金保险专用,cun'chu'zi'ben'bao'zheng'jin'bao'xian'zhuan'yong
存放同业,cun'fang'tong'ye
存放中央银行款项,cun'fang'zhong'yang'yin'hang'kuan'xiang
存货跌价准备,cun'huo'die'jia'zhun'bei
存入保证金金融共用,cun'ru'bao'zheng'jin'jin'rong'gong'yong
待处理财产损溢,dai'chu'li'cai'chan'sun'yi
贷款,dai'kuan
贷款损失准备,dai'kuan'sun'shi'zhun'bei
代理承销证券款证券和银行共用,dai'li'cheng'xiao'zheng'quan'kuan'zheng'quan'he'yin'hang'gong'yong
代理兑付证券,dai'li'dui'fu'zheng'quan
代理兑付证券款证券和银行共用,dai'li'dui'fu'zheng'quan'kuan'zheng'quan'he'yin'hang'gong'yong
代理买卖证券款证券专用,dai'li'mai'mai'zheng'quan'kuan'zheng'quan'zhuan'yong
代理业务负债,dai'li'ye'wu'fu'zhai
代理业务资产,dai'li'ye'wu'zi'chan
待摊费用,dai'tan'fei'yong
递延收益,di'yan'shou'yi
递延所得税负债,di'yan'suo'de'shui'fu'zhai
递延所得税资产,di'yan'suo'de'shui'zi'chan
抵债资产金融共用,di'zhai'zi'chan'jin'rong'gong'yong
独立账户负债保险专用,du'li'zhang'hu'fu'zhai'bao'xian'zhuan'yong
独立账户资产保险专用,du'li'zhang'hu'zi'chan'bao'xian'zhuan'yong
短期借款,duan'qi'jie'kuan
发出商品,fa'chu'shang'pin
分保费收入保险专用,fen'bao'fei'shou'ru'bao'xian'zhuan'yong
分保费用保险专用,fen'bao'fei'yong'bao'xian'zhuan'yong
分出保费保险专用,fen'chu'bao'fei'bao'xian'zhuan'yong
工程结算建造承包商专用,gong'cheng'jie'suan'jian'zao'cheng'bao'shang'zhuan'yong
工程施工建造承包商专用,gong'cheng'shi'gong'jian'zao'cheng'bao'shang'zhuan'yong
工程物资,gong'cheng'wu'zi
公益性生物资产农业专用,gong'yi'xing'sheng'wu'zi'chan'nong'ye'zhuan'yong
公允价值变动损益,gong'yun'jia'zhi'bian'dong'sun'yi
固定资产,gu'ding'zi'chan
固定资产减值准备,gu'ding'zi'chan'jian'zhi'zhun'bei
固定资产清理,gu'ding'zi'chan'qing'li
管理费用,guan'li'fei'yong
贵金属银行专用,gui'jin'shu'yin'hang'zhuan'yong
坏账准备,huai'zhang'zhun'bei
汇兑损益金融专用,hui'dui'sun'yi'jin'rong'zhuan'yong
机械作业建造承包商专用,ji'xie'zuo'ye'jian'zao'cheng'bao'shang'zhuan'yong
交易性金融负债,jiao'yi'xing'jin'rong'fu'zhai
交易性金融资产,jiao'yi'xing'jin'rong'zi'chan
结算备付金,jie'suan'bei'fu'jin
勘探费用,kan'tan'fei'yong
可供出售金融资产,ke'gong'chu'shou'jin'rong'zi'chan
库存股,ku'cun'gu
库存商品,ku'cun'shang'pin
劳务成本,lao'wu'cheng'ben
累计折耗石油天然气开采专用,lei'ji'she'hao'shi'you'tian'ran'qi'kai'cai'zhuan'yong
累计摊销,lei'ji'tan'xiao
累计折旧,lei'ji'zhe'jiu
利润分配,li'run'fen'pei
利息收入金融共用,li'xi'shou'ru'jin'rong'gong'yong
利息支出金融共用,li'xi'zhi'chu'jin'rong'gong'yong
卖出回购金融资产款金融共用,mai'chu'hui'gou'jin'rong'zi'chan'kuan'jin'rong'gong'yong
买入返售金融资产,mai'ru'fan'shou'jin'rong'zi'chan
赔付支出保险专用,pei'fu'zhi'chu'bao'xian'zhuan'yong
其他货币资金,qi'ta'huo'bi'zi'jin
其他业务收入,qi'ta'ye'wu'shou'ru
其他业务支出,qi'ta'ye'wu'zhi'chu
其他应付款,qi'ta'ying'fu'kuan
其他应收款,qi'ta'ying'shou'kuan
清算资金往来银行专用,qing'suan'zi'jin'wang'lai'yin'hang'zhuan'yong
融资租赁资产租赁专用,rong'zi'zu'lin'zi'chan'zu'lin'zhuan'yong
商品进销差价,shang'pin'jin'xiao'cha'jia
商誉,shang'yu
生产成本,sheng'chan'cheng'ben
生产性生物资产累计折旧农业专用,sheng'chan'xing'sheng'wu'zi'chan'lei'ji'zhe'jiu'nong'ye'zhuan'yong
生产性生物资产农业专用,sheng'chan'xing'sheng'wu'zi'chan'nong'ye'zhuan'yong
实收资本,shi'shou'zi'ben
手续费收入金融共用,shou'xu'fei'shou'ru'jin'rong'gong'yong
手续费支出金融共用,shou'xu'fei'zhi'chu'jin'rong'gong'yong
损余物资保险专用,sun'yu'wu'zi'bao'xian'zhuan'yong
所得税,suo'de'shui
摊回保险责任准备金保险专用,tan'hui'bao'xian'ze'ren'zhun'bei'jin'bao'xian'zhuan'yong
摊回分保费用保险专用,tan'hui'fen'bao'fei'yong'bao'xian'zhuan'yong
摊回赔付支出保险专用,tan'hui'pei'fu'zhi'chu'bao'xian'zhuan'yong
套期工具,tao'qi'gong'ju
提取保险责任准备金保险专用,ti'qu'bao'xian'ze'ren'zhun'bei'jin'bao'xian'zhuan'yong
提取未到期责任准备金保险专用,ti'qu'wei'dao'qi'ze'ren'zhun'bei'jin'bao'xian'zhuan'yong
贴现负债银行专用,tie'xian'fu'zhai'yin'hang'zhuan'yong
贴现资产,tie'xian'zi'chan
同业存放银行专用,tong'ye'cun'fang'yin'hang'zhuan'yong
投资收益,tou'zi'shou'yi
投资性房地产,tou'zi'xing'fang'di'chan
退保金保险专用,tui'bao'jin'bao'xian'zhuan'yong
外汇买卖金融共用,wai'hui'mai'mai'jin'rong'gong'yong
未担保余值租赁专用,wei'dan'bao'yu'zhi'zu'lin'zhuan'yong
未到期责任准备金保险专用,wei'dao'qi'ze'ren'zhun'bei'jin'bao'xian'zhuan'yong
未确认融资费用,wei'que'ren'rong'zi'fei'yong
未实现融资收益,wei'shi'xian'rong'zi'shou'yi
委托加工物资,wei'tuo'jia'gong'wu'zi
无形资产,wu'xing'zi'chan
无形资产减值准备,wu'xing'zi'chan'jian'zhi'zhun'bei
吸收存款银行专用,xi'shou'cun'kuan'yin'hang'zhuan'yong
现金,xian'jin
向中央银行借款银行专用,xiang'zhong'yang'yin'hang'jie'kuan'yin'hang'zhuan'yong
消耗性生物资产农业专用,xiao'hao'xing'sheng'wu'zi'chan'nong'ye'zhuan'yong
销售费用,xiao'shou'fei'yong
研发支出,yan'fa'zhi'chu
衍生工具,yan'sheng'gong'ju
一般风险准备金融共用,yi'ban'feng'xian'zhun'bei'jin'rong'gong'yong
以前年度损益调整,yi'qian'nian'du'sun'yi'tiao'zheng
银行存款,yin'hang'cun'kuan
应付保户红利保险专用,ying'fu'bao'hu'hong'li'bao'xian'zhuan'yong
应付分保账款保险专用,ying'fu'fen'bao'zhang'kuan'bao'xian'zhuan'yong
应付股利,ying'fu'gu'li
应付利息,ying'fu'li'xi
应付票据,ying'fu'piao'ju
应付账款,ying'fu'zhang'kuan
