保单红利支出,bao'dan'hong'li'zhi'chu
保费收入,bao'fei'shou'ru
保户储金,bao'hu'chu'jin
保险责任准备金,bao'xian'ze'ren'zhun'bei'jin
被套期项目,bei'tao'qi'xiang'mu
本年利润,ben'nian'li'run
材料采购,cai'liao'cai'gou
材料成本差异,cai'liao'cheng'ben'cha'yi
财务费用,cai'wu'fei'yong
拆出资金,chai'chu'zi'jin
拆入资金,chai'ru'zi'jin
长期待摊费用,chang'qi'dai'tan'fei'yong
长期股权投资,chang'qi'gu'quan'tou'zi
长期股权投资减值准备,chang'qi'gu'quan'tou'zi'jian'zhi'zhun'bei
长期借款,chang'qi'jie'kuan
长期应付款,chang'qi'ying'fu'kuan
长期应收款,chang'qi'ying'shou'kuan
持有至到期投资,chi'you'zhi'dao'qi'tou'zi
持有至到期投资减值准备,chi'you'zhi'dao'qi'tou'zi'jian'zhi'zhun'bei
存出保证金,cun'chu'bao'zheng'jin
存出资本保证金,cun'chu'zi'ben'bao'zheng'jin
存放同业,cun'fang'tong'ye
存放中央银行款项,cun'fang'zhong'yang'yin'hang'kuan'xiang
存货跌价准备,cun'huo'die'jia'zhun'bei
存入保证金,cun'ru'bao'zheng'jin
待处理财产损溢,dai'chu'li'cai'chan'sun'yi
贷款,dai'kuan
贷款损失准备,dai'kuan'sun'shi'zhun'bei
代理承销证券款,dai'li'cheng'xiao'zheng'quan'kuan
代理兑付证券,dai'li'dui'fu'zheng'quan
代理兑付证券款,dai'li'dui'fu'zheng'quan'kuan
代理买卖证券款,dai'li'mai'mai'zheng'quan'kuan
代理业务负债,dai'li'ye'wu'fu'zhai
代理业务资产,dai'li'ye'wu'zi'chan
递延收益,di'yan'shou'yi
递延所得税负债,di'yan'suo'de'shui'fu'zhai
递延所得税资产,di'yan'suo'de'shui'zi'chan
抵债资产,di'zhai'zi'chan
独立账户负债,du'li'zhang'hu'fu'zhai
独立账户资产,du'li'zhang'hu'zi'chan
短期借款,duan'qi'jie'kuan
发出商品,fa'chu'shang'pin
分保费用,fen'bao'fei'yong
分出保费,fen'chu'bao'fei
工程结算,gong'cheng'jie'suan
工程施工用,gong'cheng'shi'gong'yong
工程物资,gong'cheng'wu'zi
公益性生物资产,gong'yi'xing'sheng'wu'zi'chan
公允价值变动损益,gong'yun'jia'zhi'bian'dong'sun'yi
固定资产,gu'ding'zi'chan
固定资产减值准备,gu'ding'zi'chan'jian'zhi'zhun'bei
固定资产清理,gu'ding'zi'chan'qing'li
