阿散井恋次,a'san'jing'lian'ci
爱川罗武,ai'chuan'luo'wu
拜勒岗,bai'le'gang
斑目一角,ban'mu'yi'jiao
狛村左阵,bo'cun'zuo'zhen
草鹿八千流,cao'lu'ba'qian'liu
茶渡泰虎,cha'du'tai'hu
紬屋雨,chou'wu'yu
雏森桃,chu'sen'tao
大前田希千代,da'qian'tian'xi'qian'dai
东仙要,dong'xian'yao
凤桥楼十郎,feng'qiao'lou'shi'lang
浮竹十四郎,fu'zhu'shi'si'lang
葛力姆乔,ge'li'mu'qiao
更木剑八,geng'mu'jian'ba
桧佐木修兵,gui'zuo'mu'xiu'bing
赫丽贝尔,he'li'bei'er
黑崎夏梨,hei'qi'xia'li
黑崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎游子,hei'qi'you'zi
黑崎真咲,hei'qi'zhen'xiao
虎彻清音,hu'che'qing'yin
虎彻勇音,hu'che'yong'yin
花刈甚太,hua'yi'shen'tai
荒卷真木造,huang'juan'zhen'mu'zao
吉良伊鹤,ji'liang'yi'he
京乐春水,jing'le'chun'shui
井上织姬,jing'shang'zhi'ji
久保带人,jiu'bao'dai'ren
久南白,jiu'nan'bai
蓝染惣右介,lan'ran'zong'you'jie
绫濑川弓亲,ling'lai'chuan'gong'qin
六车拳西,liu'che'quan'xi
卯之花烈,mao'zhi'hua'lie
妮露,ni'lu
涅茧利,nie'jian'li
涅音梦,nie'yin'meng
诺伊特拉,nuo'yi'te'la
平子真子,ping'zi'zhen'zi
浦原喜助,pu'yuan'xi'zhu
浅野启吾,qian'ye'qi'wu
雀部长次郎,que'bu'zhang'ci'lang
日番谷冬狮郎,ri'fan'gu'dong'shi'lang
萨尔阿波罗,sa'er'a'bo'luo
山本元柳斋重国,shan'ben'yuan'liu'zhai'zhong'guo
山田花太郎,shan'tian'hua'tai'lang
射场铁左卫门,she'chang'tie'zuo'wei'men
矢胴丸莉莎,shi'dong'wan'li'sha
史塔克,shi'ta'ke
石田雨龙,shi'tian'yu'long
市丸银,shi'wan'yin
四枫院夜一,si'feng'yuan'ye'yi
松本乱菊,song'ben'luan'ju
碎蜂,sui'feng
握菱铁斋,wo'ling'tie'zhai
乌尔奇奥拉,wu'er'qi'ao'la
小岛水色,xiao'dao'shui'se
朽木白哉,xiu'mu'bai'zai
朽木露琪亚,xiu'mu'lu'qi'ya
亚罗尼洛,ya'luo'ni'luo
牙密,ya'mi
伊势七绪,yi'shi'qi'xu
有泽龙贵,you'ze'long'gui
猿柿日世里,yuan'shi'ri'shi'li
斩月,zhan'yue
志波海燕,zhi'bo'hai'yan
佐马利,zuo'ma'li
