报文段,bao'wen'duan
报文段偏移量,bao'wen'duan'pian'yi'liang
边界网关协议,bian'jie'wang'guan'xie'yi
标签交换路由器,biao'qian'jiao'huan'lu'you'qi
不同,bu'tong
持久性,chi'jiu'xing
冲突或碰撞,chong'tu'huo'peng'zhuang
冲突域,chong'tu'yu
传播延迟,chuan'bo'yan'chi
传输层,chuan'shu'ceng
传输控制协议,chuan'shu'kong'zhi'xie'yi
传输速率,chuan'shu'su'lv
传输延迟或发送延迟,chuan'shu'yan'chi'huo'fa'song'yan'chi
穿越,chuan'yue
存储转发,cun'chu'zhuan'fa
带冲突避免的载波侦听多路访问,dai'chong'tu'bi'mian'de'zai'bo'zhen'ting'duo'lu'fang'wen
带冲突检测的载波侦听多路访问,dai'chong'tu'jian'ce'de'zai'bo'zhen'ting'duo'lu'fang'wen
带宽敏感应用,dai'kuan'min'gan'ying'yong
带内的,dai'nei'de
单播,dan'bo
单向数据传送,dan'xiang'shu'ju'chuan'song
倒数计时器,dao'shu'ji'shi'qi
地址解析协议,di'zhi'jie'xi'xie'yi
电路转换,dian'lu'zhuan'huan
调度,diao'du
迭代查询,die'dai'cha'xun
顶级域名服务器,ding'ji'yu'ming'fu'wu'qi
定时器超时,ding'shi'qi'chao'shi
丢包,diu'bao
端到端延迟,duan'dao'duan'yan'chi
端系统,duan'xi'tong
对等实体,dui'deng'shi'ti
对等网络,dui'deng'wang'luo
队头,dui'tou
多路接入,duo'lu'jie'ru
多项式码即,duo'xiang'shi'ma'ji
非持久,fei'chi'jiu
分层路由,fen'ceng'lu'you
分片或分段,fen'pian'huo'fen'duan
分组交换,fen'zu'jiao'huan
分组交换网络,fen'zu'jiao'huan'wang'luo
封装成帧,feng'zhuang'cheng'zhen
否定确认,fou'ding'que'ren
覆盖网,fu'gai'wang
服务器集群,fu'wu'qi'ji'qun
复用与分用,fu'yong'yu'fen'yong
负载分配,fu'zai'fen'pei
骨干网,gu'gan'wang
广播风暴,guang'bo'feng'bao
广播信道,guang'bo'xin'dao
光纤,guang'xian
规范主机名,gui'fan'zhu'ji'ming
汇聚点,hui'ju'dian
回退,hui'tui
或非坚持,huo'fei'jian'chi
或坚持的,huo'jian'chi'de
基本,ji'ben
即插即用,ji'cha'ji'yong
基础设施或基础架构,ji'chu'she'shi'huo'ji'chu'jia'gou
奇偶校验,ji'ou'jiao'yan
集线器,ji'xian'qi
基站,ji'zhan
加性增乘性减,jia'xing'zeng'cheng'xing'jian
校验和,jiao'yan'he
节点处理延迟,jie'dian'chu'li'yan'chi
接入网,jie'ru'wang
接收缓冲区或接收缓存,jie'shou'huan'chong'qu'huo'jie'shou'huan'cun
距离向量路由算法,ju'li'xiang'liang'lu'you'suan'fa
开放最短路径优先,kai'fang'zui'duan'lu'jing'you'xian
肯定确认,ken'ding'que'ren
快速重传,kuai'su'chong'chuan
快速恢复,kuai'su'hui'fu
拉式协议,la'shi'xie'yi
累积确认,lei'ji'que'ren
链路层交换机,lian'lu'ceng'jiao'huan'ji
链路接入或链路访问,lian'lu'jie'ru'huo'lian'lu'fang'wen
链路状态路由算法,lian'lu'zhuang'tai'lu'you'suan'fa
令牌传递协议,ling'pai'chuan'di'xie'yi
令牌环,ling'pai'huan
流量控制,liu'liang'kong'zhi
流水线型协议,liu'shui'xian'xing'xie'yi
路径,lu'jing
路由器,lu'you'qi
路由信息协议,lu'you'xin'xi'xie'yi
轮流式,lun'liu'shi
慢启动,man'qi'dong
面向连接的服务,mian'xiang'lian'jie'de'fu'wu
目的端口号,mu'di'duan'kou'hao
目录服务,mu'lu'fu'wu
内部网关协议,nei'bu'wang'guan'xie'yi
内容可寻址存储器,nei'rong'ke'xun'zhi'cun'chu'qi
内网,nei'wang
逆向路径转发,ni'xiang'lu'jing'zhuan'fa
排队延迟,pai'dui'yan'chi
频带外的,pin'dai'wai'de
频分多路复用,pin'fen'duo'lu'fu'yong
前导字段,qian'dao'zi'duan
前向纠错,qian'xiang'jiu'cuo
区域边界路由器,qu'yu'bian'jie'lu'you'qi
权威域名服务器,quan'wei'yu'ming'fu'wu'qi
确认号简写为,que'ren'hao'jian'xie'wei
任播,ren'bo
冗余,rong'yu
冗余数据包,rong'yu'shu'ju'bao
三次握手,san'ci'wo'shou
射频频谱,she'pin'pin'pu
生成树,sheng'cheng'shu
时分多路复用,shi'fen'duo'lu'fu'yong
实时性,shi'shi'xing
时隙,shi'xi
数据报,shu'ju'bao
数据包或分组,shu'ju'bao'huo'fen'zu
数据包监听器,shu'ju'bao'jian'ting'qi
数据报网络,shu'ju'bao'wang'luo
数据链路层或链路层,shu'ju'lian'lu'ceng'huo'lian'lu'ceng
瞬时吞吐量,shun'shi'tun'tu'liang
隧道技术,sui'dao'ji'shu
随机接入协议,sui'ji'jie'ru'xie'yi
随机早期检测,sui'ji'zao'qi'jian'ce
套接字编程,tao'jie'zi'bian'cheng
调制解调器俗称猫,tiao'zhi'jie'tiao'qi'su'cheng'mao
统计复用,tong'ji'fu'yong
通信链路,tong'xin'lian'lu
同轴电缆,tong'zhou'dian'lan
推式协议,tui'shi'xie'yi
吞吐量,tun'tu'liang
往返时间,wang'fan'shi'jian
网际协议,wang'ji'xie'yi
网络边缘,wang'luo'bian'yuan
网络层,wang'luo'ceng
网络地址转换,wang'luo'di'zhi'zhuan'huan
网络服务提供商,wang'luo'fu'wu'ti'gong'shang
网络核心,wang'luo'he'xin
网络接口卡即网卡,wang'luo'jie'kou'ka'ji'wang'ka
网内复制,wang'nei'fu'zhi
网桥,wang'qiao
网页代理缓存,wang'ye'dai'li'huan'cun
尾部字段,wei'bu'zi'duan
文件,wen'jian
误差检测或检错,wu'cha'jian'ce'huo'jian'cuo
无类域间路由,wu'lei'yu'jian'lu'you
物理介质,wu'li'jie'zhi
无穷计数问题,wu'qiong'ji'shu'wen'ti
无时隙,wu'shi'xi
无线局域网,wu'xian'ju'yu'wang
无状态协议,wu'zhuang'tai'xie'yi
消息或报文,xiao'xi'huo'bao'wen
协议,xie'yi
协议栈,xie'yi'zhan
信道分割式,xin'dao'fen'ge'shi
信令报文,xin'ling'bao'wen
信元丢失优先权,xin'yuan'diu'shi'you'xian'quan
虚电路网络,xu'dian'lu'wang'luo
序列号简写为,xu'lie'hao'jian'xie'wei
虚拟信道标识,xu'ni'xin'dao'biao'zhi
选择重传,xuan'ze'chong'chuan
循环冗余校验,xun'huan'rong'yu'jiao'yan
延迟或时延,yan'chi'huo'shi'yan
以太网,yi'tai'wang
应用层,ying'yong'ceng
应用程序编程接口,ying'yong'cheng'xu'bian'cheng'jie'kou
用户代理,yong'hu'dai'li
拥塞避免,yong'se'bi'mian
拥塞控制,yong'se'kong'zhi
邮件服务器,you'jian'fu'wu'qi
邮件服务器别名,you'jian'fu'wu'qi'bie'ming
有限状态机,you'xian'zhuang'tai'ji
源端口号,yuan'duan'kou'hao
指数回退或指数退避,zhi'shu'hui'tui'huo'zhi'shu'tui'bi
中继器,zhong'ji'qi
主动队列管理,zhu'dong'dui'lie'guan'li
主机别名,zhu'ji'bie'ming
注意与大小的,zhu'yi'yu'da'xiao'de
转发表,zhuan'fa'biao
状态行,zhuang'tai'xing
自扩展性,zi'kuo'zhan'xing
资源管理单元,zi'yuan'guan'li'dan'yuan
资源记录,zi'yuan'ji'lu
自治系统,zi'zhi'xi'tong
纵横开关,zong'heng'kai'guan
组播或多播,zu'bo'huo'duo'bo
最长前缀匹配,zui'chang'qian'zhui'pi'pei
