爱民路,ai'min'lu
爱乡路,ai'xiang'lu
百盛家园,bai'sheng'jia'yuan
白湾,bai'wan
白云石矿,bai'yun'shi'kuang
宝盖路,bao'gai'lu
宝华花园,bao'hua'hua'yuan
宝华开发区,bao'hua'kai'fa'qu
宝华山,bao'hua'shan
鲍家巷,bao'jia'xiang
宝塔路,bao'ta'lu
宝塔山公园,bao'ta'shan'gong'yuan
北府路,bei'fu'lu
北固山公园,bei'gu'shan'gong'yuan
北门,bei'men
伯先公园,bo'xian'gong'yuan
彩虹城,cai'hong'cheng
蚕种场,can'zhong'chang
沧浪桥,cang'lang'qiao
岔龙路,cha'long'lu
茶砚山,cha'yan'shan
长岗,chang'gang
长江村,chang'jiang'cun
长江路,chang'jiang'lu
长龙山,chang'long'shan
长山灌区,chang'shan'guan'qu
长山巷,chang'shan'xiang
车辆管理所,che'liang'guan'li'suo
陈家村,chen'jia'cun
陈家门,chen'jia'men
陈家窑,chen'jia'yao
城隍庙,cheng'huang'miao
赤岗,chi'gang
出口加工区,chu'kou'jia'gong'qu
圌村,chuan'cun
船山村,chuan'shan'cun
船艇学院,chuan'ting'xue'yuan
创业园区,chuang'ye'yuan'qu
大港港区,da'gang'gang'qu
大港汽渡,da'gang'qi'du
大港镇,da'gang'zhen
大港中学,da'gang'zhong'xue
大桥村,da'qiao'cun
大市口北站,da'shi'kou'bei'zhan
大市口东站,da'shi'kou'dong'zhan
大市口南站,da'shi'kou'nan'zhan
大市口西站,da'shi'kou'xi'zhan
岱向桥,dai'xiang'qiao
丹徒化肥厂,dan'tu'hua'fei'chang
丹徒区法院,dan'tu'qu'fa'yuan
丹徒区人民医院,dan'tu'qu'ren'min'yi'yuan
丹徒新城区医院,dan'tu'xin'cheng'qu'yi'yuan
丹徒镇,dan'tu'zhen
党校,dang'xiao
登云路,deng'yun'lu
电力路,dian'li'lu
甸上,dian'shang
丁卯开发区,ding'mao'kai'fa'qu
丁卯美林湾,ding'mao'mei'lin'wan
丁卯桥,ding'mao'qiao
丁卯医院,ding'mao'yi'yuan
鼎胜铝业,ding'sheng'lv'ye
东茶场,dong'cha'chang
东城绿洲,dong'cheng'lv'zhou
东城绿洲翰霖苑,dong'cheng'lv'zhou'han'lin'yuan
东方村,dong'fang'cun
东方花苑,dong'fang'hua'yuan
东吴路,dong'wu'lu
东吴新村,dong'wu'xin'cun
东紫园,dong'zi'yuan
渡口,du'kou
锻压机床厂,duan'ya'ji'chuang'chang
二道巷,er'dao'xiang
二人医,er'ren'yi
方家湾,fang'jia'wan
方泉村,fang'quan'cun
丰岗加油站,feng'gang'jia'you'zhan
凤凰山路,feng'huang'shan'lu
丰家村北,feng'jia'cun'bei
丰家村南,feng'jia'cun'nan
驸马山庄,fu'ma'shan'zhuang
驸马庄,fu'ma'zhuang
附马庄茶场,fu'ma'zhuang'cha'chang
甘露寺,gan'lu'si
干休所,gan'xiu'suo
港口路南站,gang'kou'lu'nan'zhan
港中新村,gang'zhong'xin'cun
港中新村二区,gang'zhong'xin'cun'er'qu
高鹏药业,gao'peng'yao'ye
高王庙,gao'wang'miao
高新园区,gao'xin'yuan'qu
高资,gao'zi
高资菜场,gao'zi'cai'chang
高资茶场,gao'zi'cha'chang
高资小区,gao'zi'xiao'qu
高资中学,gao'zi'zhong'xue
葛村,ge'cun
公交拥军站,gong'jiao'yong'jun'zhan
公交总公司,gong'jiao'zong'gong'si
沟西村,gou'xi'cun
古城路,gu'cheng'lu
谷阳镇,gu'yang'zhen
官塘桥,guan'tang'qiao
光明村,guang'ming'cun
国际工业品城,guo'ji'gong'ye'pin'cheng
国检局,guo'jian'ju
孩溪村,hai'xi'cun
好美家装饰城,hao'mei'jia'zhuang'shi'cheng
何家门,he'jia'men
和平村,he'ping'cun
和平路,he'ping'lu
恒美嘉园,heng'mei'jia'yuan
横山村,heng'shan'cun
恒顺翠谷,heng'shun'cui'gu
恒顺酱醋厂,heng'shun'jiang'cu'chang
红豆购物广场,hong'dou'gou'wu'guang'chang
鸿奉钢铁,hong'feng'gang'tie
红旗村,hong'qi'cun
红太阳装饰城,hong'tai'yang'zhuang'shi'cheng
华城新村,hua'cheng'xin'cun
化工开发区,hua'gong'kai'fa'qu
花山东路,hua'shan'dong'lu
花山路,hua'shan'lu
花山湾,hua'shan'wan
华子桥,hua'zi'qiao
槐荫村,huai'yin'cun
皇都寺,huang'du'si
黄鹤山,huang'he'shan
黄梅桥,huang'mei'qiao
黄埝岗,huang'nian'gang
黄山,huang'shan
黄山北路,huang'shan'bei'lu
黄山南路,huang'shan'nan'lu
火车站,huo'che'zhan
吉贝尔药业,ji'bei'er'yao'ye
纪庄,ji'zhuang
夹山,jia'shan
谏壁,jian'bi
谏壁石油总公司,jian'bi'shi'you'zong'gong'si
谏壁油库,jian'bi'you'ku
谏壁镇,jian'bi'zhen
检察院,jian'cha'yuan
健康路,jian'kang'lu
谏辛公路,jian'xin'gong'lu
江滨大道,jiang'bin'da'dao
江滨公园,jiang'bin'gong'yuan
江滨路,jiang'bin'lu
江滨新村,jiang'bin'xin'cun
江滨新村中学,jiang'bin'xin'cun'zhong'xue
江滨医院,jiang'bin'yi'yuan
江大公交枢纽站,jiang'da'gong'jiao'shu'niu'zhan
江南桥,jiang'nan'qiao
江南新村,jiang'nan'xin'cun
江南幼儿园,jiang'nan'you'er'yuan
蒋乔工业园区,jiang'qiao'gong'ye'yuan'qu
江苏大学东门,jiang'su'da'xue'dong'men
江苏大学中门,jiang'su'da'xue'zhong'men
江苏科大南校区,jiang'su'ke'da'nan'xiao'qu
江苏科大南校区西门,jiang'su'ke'da'nan'xiao'qu'xi'men
江苏科大西校区,jiang'su'ke'da'xi'xiao'qu
江苏科技大学,jiang'su'ke'ji'da'xue
江心汽渡,jiang'xin'qi'du
焦汾村,jiao'fen'cun
焦山公园,jiao'shan'gong'yuan
解放路南站,jie'fang'lu'nan'zhan
解放桥,jie'fang'qiao
金东纸业,jin'dong'zhi'ye
金港花园,jin'gang'hua'yuan
金谷东路,jin'gu'dong'lu
金广路,jin'guang'lu
金江乡,jin'jiang'xiang
金桥大道,jin'qiao'da'dao
金山公园,jin'shan'gong'yuan
金山桥,jin'shan'qiao
金太阳装饰城,jin'tai'yang'zhuang'shi'cheng
金田花园,jin'tian'hua'yuan
京谷大厦,jing'gu'da'sha
京几路,jing'ji'lu
京口路,jing'kou'lu
京口区政府,jing'kou'qu'zheng'fu
京口闸,jing'kou'zha
句容客运站,ju'rong'ke'yun'zhan
老山路,lao'shan'lu
李华村北,li'hua'cun'bei
李华村南,li'hua'cun'nan
李家山新村,li'jia'shan'xin'cun
粮山,liang'shan
粮山村,liang'shan'cun
林隐路,lin'yin'lu
林隐路停车场,lin'yin'lu'ting'che'chang
凌家湾,ling'jia'wan
六摆渡,liu'bai'du
柳工集团,liu'gong'ji'tuan
刘家湾,liu'jia'wan
六九,liu'jiu
六九零四,liu'jiu'ling'si
隆昌寺,long'chang'si
龙门村,long'men'cun
龙门港区,long'men'gang'qu
龙泉村,long'quan'cun
龙山路,long'shan'lu
吕家湾,lv'jia'wan
美林湾,mei'lin'wan
美林湾南站,mei'lin'wan'nan'zhan
美林湾西站,mei'lin'wan'xi'zhan
梦溪广场,meng'xi'guang'chang
梦溪广场北站,meng'xi'guang'chang'bei'zhan
梦溪广场东站,meng'xi'guang'chang'dong'zhan
梦溪广场南站,meng'xi'guang'chang'nan'zhan
梦溪广场西站,meng'xi'guang'chang'xi'zhan
梦溪嘉苑,meng'xi'jia'yuan
梦溪路,meng'xi'lu
米芾广场,mi'fu'guang'chang
米山人家,mi'shan'ren'jia
民营开发区,min'ying'kai'fa'qu
铭基商贸城,ming'ji'shang'mao'cheng
缪家甸,miu'jia'dian
磨笄山,mo'ji'shan
南山,nan'shan
南山风景区,nan'shan'feng'jing'qu
南纬四路,nan'wei'si'lu
南谢村,nan'xie'cun
南徐大道,nan'xu'da'dao
南徐路,nan'xu'lu
南徐新城指挥部,nan'xu'xin'cheng'zhi'hui'bu
倪家庄,ni'jia'zhuang
鲇鱼套,nian'yu'tao
农副产品批发市场,nong'fu'chan'pin'pi'fa'shi'chang
农机公司,nong'ji'gong'si
农贸市场,nong'mao'shi'chang
农业示范园,nong'ye'shi'fan'yuan
排岗,pai'gang
牌湾,pai'wan
潘宗村,pan'zong'cun
跑马山路,pao'ma'shan'lu
坡岗村,po'gang'cun
七里甸,qi'li'dian
千禧路,qian'xi'lu
千禧路西站,qian'xi'lu'xi'zhan
乔家门,qiao'jia'men
青年广场,qing'nian'guang'chang
青云门,qing'yun'men
人民广场,ren'min'guang'chang
人民街,ren'min'jie
汝山,ru'shan
瑞丹花苑,rui'dan'hua'yuan
瑞泰花园,rui'tai'hua'yuan
润旺路,run'wang'lu
润州法院,run'zhou'fa'yuan
润州路,run'zhou'lu
润州区政府,run'zhou'qu'zheng'fu
润州山路,run'zhou'shan'lu
润州中学,run'zhou'zhong'xue
三里岗,san'li'gang
三茅宫,san'mao'gong
三茅宫市场,san'mao'gong'shi'chang
三人医,san'ren'yi
三职高,san'zhi'gao
森普公司,sen'pu'gong'si
山门口街,shan'men'kou'jie
上党,shang'dang
盛丹路,sheng'dan'lu
世纪花苑,shi'ji'hua'yuan
石马,shi'ma
石马修理厂,shi'ma'xiu'li'chang
石头岗,shi'tou'gang
市图书馆,shi'tu'shu'guan
市政府,shi'zheng'fu
狮子山,shi'zi'shan
蔬菜基地,shu'cai'ji'di
双堡里,shuang'bao'li
四摆渡,si'bai'du
四季经典,si'ji'jing'dian
四牌楼,si'pai'lou
松盛花苑,song'sheng'hua'yuan
松盛园,song'sheng'yuan
苏源电力,su'yuan'dian'li
索普集团,suo'pu'ji'tuan
太平圩,tai'ping'wei
太平支路,tai'ping'zhi'lu
台商工业园区,tai'shang'gong'ye'yuan'qu
檀山路,tan'shan'lu
唐家村,tang'jia'cun
唐家湾,tang'jia'wan
汤龙路立交,tang'long'lu'li'jiao
陶瓷城,tao'ci'cheng
桃花山庄,tao'hua'shan'zhuang
桃花坞路,tao'hua'wu'lu
桃花坞路八区,tao'hua'wu'lu'ba'qu
桃西路,tao'xi'lu
天桥,tian'qiao
天桥路,tian'qiao'lu
投资服务中心,tou'zi'fu'wu'zhong'xin
万城总部园,wan'cheng'zong'bu'yuan
万科魅力之城,wan'ke'mei'li'zhi'cheng
万科魅力之城润园,wan'ke'mei'li'zhi'cheng'run'yuan
王龙桥,wang'long'qiao
王院村,wang'yuan'cun
韦岗,wei'gang
韦岗温泉,wei'gang'wen'quan
魏玛假日,wei'ma'jia'ri
纬七路,wei'qi'lu
纬一路,wei'yi'lu
我家山水,wo'jia'shan'shui
五摆渡,wu'bai'du
五凤口,wu'feng'kou
武将村,wu'jiang'cun
西大圩,xi'da'xu
西葛村,xi'ge'cun
西环路,xi'huan'lu
西津渡,xi'jin'du
西严村,xi'yan'cun
西站,xi'zhan
下黄山,xia'huang'shan
夏家门,xia'jia'men
项家窑,xiang'jia'yao
香江花城,xiang'jiang'hua'cheng
象山大道,xiang'shan'da'dao
象山桥,xiang'shan'qiao
象山油库,xiang'shan'you'ku
消防支队,xiao'fang'zhi'dui
小刘北村,xiao'liu'bei'cun
小刘南村,xiao'liu'nan'cun
小牛村,xiao'niu'cun
小桥,xiao'qiao
斜桥街,xie'qiao'jie
新甸,xin'dian
新河路,xin'he'lu
新湖仙林翠谷,xin'hu'xian'lin'cui'gu
新马路,xin'ma'lu
新区管委会,xin'qu'guan'wei'hui
新区广场,xin'qu'guang'chang
新区广电中心,xin'qu'guang'dian'zhong'xin
新区科技园,xin'qu'ke'ji'yuan
新区小学,xin'qu'xiao'xue
新区医院,xin'qu'yi'yuan
新塘,xin'tang
信息中专,xin'xi'zhong'zhuan
徐家村,xu'jia'cun
学林雅君,xue'lin'ya'jun
学林雅郡,xue'lin'ya'jun
严岗村,yan'gang'cun
燕舞桥,yan'wu'qiao
秧坝村,yang'ba'cun
杨柳泉,yang'liu'quan
杨溪村,yang'xi'cun
药科学校,yao'ke'xue'xiao
姚庄,yao'zhuang
颐和家园,yi'he'jia'yuan
一泉村,yi'quan'cun
一泉路,yi'quan'lu
一泉小学,yi'quan'xiao'xue
一人医,yi'ren'yi
银环路,yin'huan'lu
银山路,yin'shan'lu
营房街,ying'fang'jie
莺歌桥,ying'ge'qiao
迎江路,ying'jiang'lu
迎江桥,ying'jiang'qiao
永隆城市广场,yong'long'cheng'shi'guang'chang
喻家湾,yu'jia'wan
玉清广场,yu'qing'guang'chang
禹山北路,yu'shan'bei'lu
袁家村,yuan'jia'cun
袁家门,yuan'jia'men
袁家湾,yuan'jia'wan
月湖街,yue'hu'jie
跃进桥,yue'jin'qiao
运河路公用站,yun'he'lu'gong'yong'zhan
枣林村,zao'lin'cun
诈输村,zha'shu'cun
樟山果园,zhang'shan'guo'yuan
张许村,zhang'xu'cun
张尹徐,zhang'yin'xu
赵家窑,zhao'jia'yao
赵声路北站,zhao'sheng'lu'bei'zhan
赵声路南站,zhao'sheng'lu'nan'zhan
镇江高专,zhen'jiang'gao'zhuan
镇江机电高职,zhen'jiang'ji'dian'gao'zhi
镇江佳峰,zhen'jiang'jia'feng
镇江新区,zhen'jiang'xin'qu
镇江中学,zhen'jiang'zhong'xue
纸浆厂,zhi'jiang'chang
中华路,zhong'hua'lu
钟家圩,zhong'jia'xu
中南世纪城,zhong'nan'shi'ji'cheng
中山桥,zhong'shan'qiao
中山西路,zhong'shan'xi'lu
中医院,zhong'yi'yuan
朱方路,zhu'fang'lu
朱家湾,zhu'jia'wan
竹林路,zhu'lin'lu
竹轩宾馆,zhu'xuan'bin'guan
祝赵村,zhu'zhao'cun
庄泉村,zhuang'quan'cun
宗泽路,zong'ze'lu
宗泽路停车场,zong'ze'lu'ting'che'chang
