百惠园,bai'hui'yuan
百景园,bai'jing'yuan
百盛园,bai'sheng'yuan
保研,bao'yan
北区,bei'qu
北一路,bei'yi'lu
材料科学与工程学院,cai'liao'ke'xue'yu'gong'cheng'xue'yuan
城建学院,cheng'jian'xue'yuan
出国,chu'guo
船舶与海洋工程学院,chuan'bo'yu'hai'yang'gong'cheng'xue'yuan
大学生艺术团,da'xue'sheng'yi'shu'tuan
电气与电子工程学院,dian'qi'yu'dian'zi'gong'cheng'xue'yuan
电子科学与技术系,dian'zi'ke'xue'yu'ji'shu'xi
电子与信息工程系,dian'zi'yu'xin'xi'gong'cheng'xi
东八楼,dong'ba'lou
东边体育馆,dong'bian'ti'yu'guan
东大门,dong'da'men
东二楼,dong'er'lou
东湖,dong'hu
东九,dong'jiu
东九教学楼,dong'jiu'jiao'xue'lou
东九楼,dong'jiu'lou
东六楼,dong'liu'lou
东七楼,dong'qi'lou
东区,dong'qu
东区图书馆,dong'qu'tu'shu'guan
东三楼,dong'san'lou
东十二,dong'shi'er
东十二教学楼,dong'shi'er'jiao'xue'lou
东十二楼,dong'shi'er'lou
东十楼,dong'shi'lou
东十一楼,dong'shi'yi'lou
东四楼,dong'si'lou
东五楼,dong'wu'lou
东小门,dong'xiao'men
东校区,dong'xiao'qu
东校区体育馆,dong'xiao'qu'ti'yu'guan
东一楼,dong'yi'lou
公共管理学院,gong'gong'guan'li'xue'yuan
管理学院,guan'li'xue'yuan
光电子科学与工程学院,guang'dian'zi'ke'xue'yu'gong'cheng'xue'yuan
光谷体育馆,guang'gu'ti'yu'guan
化成天下,hua'cheng'tian'xia
华工,hua'gong
华科,hua'ke
华科大,hua'ke'da
化学与化工学院,hua'xue'yu'hua'gong'xue'yuan
华中大,hua'zhong'da
华中工学院,hua'zhong'gong'xue'yuan
华中科大,hua'zhong'ke'da
华中科技大学,hua'zhong'ke'ji'da'xue
华中理工大学,hua'zhong'li'gong'da'xue
环境科学与工程学院,huan'jing'ke'xue'yu'gong'cheng'xue'yuan
计算机房,ji'suan'ji'fang
计算机科学与技术学院,ji'suan'ji'ke'xue'yu'ji'shu'xue'yuan
机械科学与工程学院,ji'xie'ke'xue'yu'gong'cheng'xue'yuan
建筑与城市规划学院,jian'zhu'yu'cheng'shi'gui'hua'xue'yuan
教工,jiao'gong
教工食堂,jiao'gong'shi'tang
金龙卡,jin'long'ka
经济学院,jing'ji'xue'yuan
军训,jun'xun
开水卡,kai'shui'ka
考研,kao'yan
控制科学与工程系,kong'zhi'ke'xue'yu'gong'cheng'xi
老馆,lao'guan
李培根,li'pei'gen
罗俊,luo'jun
珞瑜路,luo'yu'lu
珞瑜路号,luo'yu'lu'hao
南大门,nan'da'men
南二楼,nan'er'lou
南二路,nan'er'lu
南二门,nan'er'men
南六楼,nan'liu'lou
南区,nan'qu
南三楼,nan'san'lou
南三路,nan'san'lu
南三门,nan'san'men
南一楼,nan'yi'lou
南一路,nan'yi'lu
能源与动力工程学院,neng'yuan'yu'dong'li'gong'cheng'xue'yuan
欧阳康,ou'yang'kang
沁苑,qin'yuan
沁苑研究生公寓,qin'yuan'yan'jiu'sheng'gong'yu
人文讲座,ren'wen'jiang'zuo
软件学院,ruan'jian'xue'yuan
森林公园,sen'lin'gong'yuan
社团,she'tuan
生命科学与技术学院,sheng'ming'ke'xue'yu'ji'shu'xue'yuan
数学与统计学院,shu'xue'yu'tong'ji'xue'yuan
水电与数字化工程学院,shui'dian'yu'shu'zi'hua'gong'cheng'xue'yuan
土木工程与力学学院,tu'mu'gong'cheng'yu'li'xue'xue'yuan
图书馆,tu'shu'guan
图书证,tu'shu'zheng
外国语学院,wai'guo'yu'xue'yuan
网络中心,wang'luo'zhong'xin
武汉洪山区珞瑜路号,wu'han'hong'shan'qu'luo'yu'lu'hao
物理实验,wu'li'shi'yan
物理实验卡,wu'li'shi'yan'ka
物理学院,wu'li'xue'yuan
西边体育馆,xi'bian'ti'yu'guan
西区,xi'qu
西十二,xi'shi'er
西五,xi'wu
消防演习,xiao'fang'yan'xi
新馆,xin'guan
新闻与信息传播学院,xin'wen'yu'xin'xi'chuan'bo'xue'yuan
新屋熊,xin'wu'xiong
学二食堂,xue'er'shi'tang
学一食堂,xue'yi'shi'tang
义工,yi'gong
喻家湖,yu'jia'hu
喻家山,yu'jia'shan
喻园,yu'yuan
喻园小区,yu'yuan'xiao'qu
阅览室,yue'lan'shi
韵苑,yun'yuan
韵苑学生公寓,yun'yuan'xue'sheng'gong'yu
主校区,zhu'xiao'qu
主校区体育馆,zhu'xiao'qu'ti'yu'guan
紫菘,zi'song
紫菘学生公寓,zi'song'xue'sheng'gong'yu
