暴力,bao'li
暴力匹配,bao'li'pi'pei
背包动规,bei'bao'dong'gui
边割集,bian'ge'ji
遍历,bian'li
边权,bian'quan
并查集,bing'cha'ji
补图,bu'tu
差分,cha'fen
出度,chu'du
初始化,chu'shi'hua
次短路,ci'duan'lu
次小生成树,ci'xiao'sheng'cheng'shu
单点查询,dan'dian'cha'xun
单调,dan'diao
递归,di'gui
点割集,dian'ge'ji
点权,dian'quan
动态规划,dong'tai'gui'hua
度数,du'shu
堆优,dui'you
二分,er'fen
二维树状数组,er'wei'shu'zhuang'shu'zu
二项式定理,er'xiang'shi'ding'li
斐波拉契数列,fei'bo'la'qi'shu'lie
非递归,fei'di'gui
分块,fen'kuai
概率动规,gai'lv'dong'gui
高精,gao'jing
割集,ge'ji
公共子序列,gong'gong'zi'xu'lie
哈希表,ha'xi'biao
后序,hou'xu
积性,ji'xing
积性函数,ji'xing'han'shu
基准值,ji'zhun'zhi
剪枝,jian'zhi
精度,jing'du
局部最优,ju'bu'zui'you
矩形面积并,ju'xing'mian'ji'bing
矩形周长并,ju'xing'zhou'chang'bing
矩阵快速幂,ju'zhen'kuai'su'mi
卷积,juan'ji
卡空间,ka'kong'jian
卡时间,ka'shi'jian
可行性剪枝,ke'xing'xing'jian'zhi
快速傅里叶变换,kuai'su'fu'li'ye'bian'huan
懒惰标记,lan'duo'biao'ji
离散化,li'san'hua
连通块,lian'tong'kuai
鲁棒性,lu'bang'xing
卢卡斯定理,lu'ka'si'ding'li
曼哈顿距离,man'ha'dun'ju'li
莫比乌斯反演,mo'bi'wu'si'fan'yan
莫比乌斯函数,mo'bi'wu'si'han'shu
模拟退火,mo'ni'tui'huo
模板,mu'ban
欧几里得距离,ou'ji'li'de'ju'li
欧拉函数,ou'la'han'shu
爬山算法,pa'shan'suan'fa
排列与组合,pai'lie'yu'zu'he
判环,pan'huan
启发式合并,qi'fa'shi'he'bing
启发式修补,qi'fa'shi'xiu'bu
前序,qian'xu
前缀和,qian'zhui'he
秦九韶算法,qin'jiu'shao'suan'fa
区间查询,qu'jian'cha'xun
区间动规,qu'jian'dong'gui
区间可加性,qu'jian'ke'jia'xing
区间修改,qu'jian'xiu'gai
全局最优,quan'ju'zui'you
权值,quan'zhi
群论,qun'lun
容斥原理,rong'chi'yuan'li
入度,ru'du
三元环,san'yuan'huan
数据范围,shu'ju'fan'wei
数据结构,shu'ju'jie'gou
树链剖分,shu'lian'pou'fen
树剖,shu'pou
数位动规,shu'wei'dong'gui
树形动规,shu'xing'dong'gui
树状数组,shu'zhuang'shu'zu
双向边,shuang'xiang'bian
缩点,suo'dian
贪心,tan'xin
特判,te'pan
图论,tu'lun
拓扑排序,tuo'pu'pai'xu
网格图,wang'ge'tu
无根树,wu'gen'shu
无后效性,wu'hou'xiao'xing
线段覆盖,xian'duan'fu'gai
线段树,xian'duan'shu
线性动规,xian'xing'dong'gui
线性筛,xian'xing'shai
杨辉三角,yang'hui'san'jiao
遗传算法,yi'chuan'suan'fa
有根树,you'gen'shu
有向无环图,you'xiang'wu'huan'tu
圆反演,yuan'fan'yan
中国剩余定理,zhong'guo'sheng'yu'ding'li
重心,zhong'xin
中序,zhong'xu
状压动规,zhuang'ya'dong'gui
字典树,zi'dian'shu
子矩阵,zi'ju'zhen
子区间,zi'qu'jian
子树,zi'shu
最长链,zui'chang'lian
最长路,zui'chang'lu
最长上升子序列,zui'chang'shang'sheng'zi'xu'lie
最大连续和,zui'da'lian'xu'he
最短路,zui'duan'lu
最近公共祖先,zui'jin'gong'gong'zu'xian
最小生成树,zui'xiao'sheng'cheng'shu
最优化剪枝,zui'you'hua'jian'zhi
最优子结构,zui'you'zi'jie'gou
左偏树,zuo'pian'shu
