奥长石,ao'chang'shi
澳洲玉,ao'zhou'yu
白玉,bai'yu
白云石,bai'yun'shi
搬砖头,ban'zhuan'tou
棒槌,bang'chui
邦提克,bang'ti'ke
包袱斋,bao'fu'zhai
包浆,bao'jiang
包上,bao'shang
贝壳,bei'ke
绷价,beng'jia
碧玺,bi'xi
碧玉,bi'yu
变彩,bian'cai
变石,bian'shi
变石猫眼,bian'shi'mao'yan
表面扩散处理,biao'mian'kuo'san'chu'li
玻璃,bo'li
玻璃陨石,bo'li'yun'shi
材料名,cai'liao'ming
藏品,cang'pin
查罗石,cha'luo'shi
铲地皮,chan'di'pi
缠丝玛瑙,chan'si'ma'nao
朝珠,chao'zhu
成三破二,cheng'san'po'er
赤铁矿,chi'tie'kuang
吃仙丹,chi'xian'dan
虫儿,chong'er
充填处理,chong'tian'chu'li
处理,chu'li
纯正,chun'zheng
瓷片,ci'pian
瓷器,ci'qi
翠榴石,cui'liu'shi
大理岩,da'li'yan
打眼,da'yan
打眼货,da'yan'huo
打一,da'yi
玳瑁,dai'mao
蛋白石,dan'bai'shi
淡水养殖珍珠,dan'shui'yang'zhi'zhen'zhu
淡水珍珠,dan'shui'zhen'zhu
地埋,di'mai
电气石,dian'qi'shi
店堂,dian'tang
东陵石,dong'ling'shi
独山石,du'shan'shi
多晶石英珠,duo'jing'shi'ying'zhu
仿宝石,fang'bao'shi
方解石,fang'jie'shi
仿旧,fang'jiu
方钠石,fang'na'shi
方柱石,fang'zhu'shi
翡翠,fei'cui
覆膜处理,fu'mo'chu'li
芙蓉石,fu'rong'shi
符山石,fu'shan'shi
斧石,fu'shi
辐照处理,fu'zhao'chu'li
复制品,fu'zhi'pin
钆镓榴石,ga'jia'liu'shi
钙铬榴石,gai'ge'liu'shi
钙铝榴石,gai'lv'liu'shi
改善净度,gai'shan'jing'du
改善外观,gai'shan'wai'guan
改善颜色,gai'shan'yan'se
钙铁榴石,gai'tie'liu'shi
橄榄石,gan'lan'shi
刚玉,gang'yu
缟玛瑙,gao'ma'nao
锆石,gao'shi
古玩,gu'wan
古珠,gu'zhu
观音瓶,guan'yin'ping
管珠,guan'zhu
硅化木,gui'hua'mu
龟甲,gui'jia
硅孔雀石,gui'kong'que'shi
硅硼钙石,gui'peng'gai'shi
硅铍石,gui'pi'shi
海蓝宝石,hai'lan'bao'shi
海水养殖珍珠,hai'shui'yang'zhi'zhen'zhu
海水珍珠,hai'shui'zhen'zhu
行价,hang'jia
合成宝石,he'cheng'bao'shi
合成变石,he'cheng'bian'shi
合成蛋白石,he'cheng'dan'bai'shi
合成刚玉,he'cheng'gang'yu
合成红宝石,he'cheng'hong'bao'shi
合成黄晶,he'cheng'huang'jing
合成尖晶石,he'cheng'jian'jing'shi
合成金刚石,he'cheng'jin'gang'shi
合成金红石,he'cheng'jin'hong'shi
合成金绿宝石,he'cheng'jin'lv'bao'shi
合成蓝宝石,he'cheng'lan'bao'shi
合成蓝水晶,he'cheng'lan'shui'jing
合成立方氧化锆,he'cheng'li'fang'yang'hua'gao
合成绿水晶,he'cheng'lv'shui'jing
合成绿松石,he'cheng'lv'song'shi
合成绿柱石,he'cheng'lv'zhu'shi
合成欧泊,he'cheng'ou'bo
合成石英,he'cheng'shi'ying
合成水晶,he'cheng'shui'jing
合成烟晶,he'cheng'yan'jing
合成紫晶,he'cheng'zi'jing
合成祖母绿,he'cheng'zu'mu'lv
合成钻石,he'cheng'zuan'shi
黑榴石,hei'liu'shi
黑欧泊,hei'ou'bo
黑欧珀,hei'ou'po
黑心,hei'xin
黑曜岩,hei'yao'yan
红宝石,hong'bao'shi
红柱石,hong'zhu'shi
虎睛石,hu'jing'shi
琥珀,hu'po
化石,hua'shi
滑石,hua'shi
黄晶,huang'jing
黄玉,huang'yu
火供,huo'gong
伙货,huo'huo
火玛瑙,huo'ma'nao
火欧泊,huo'ou'bo
激光钻孔,ji'guang'zuan'kong
假货,jia'huo
尖晶石,jian'jing'shi
拣漏,jian'lou
交行,jiao'hang
搅胎,jiao'tai
交学费,jiao'xue'fei
金刚石,jin'gang'shi
浸蜡,jin'la
金绿宝石,jin'lv'bao'shi
堇青石,jin'qing'shi
浸无色油,jin'wu'se'you
浸有色油,jin'you'se'you
旧仿,jiu'fang
聚合物充填,ju'he'wu'chong'tian
开门,kai'men
看不好,kan'bu'hao
看新,kan'xin
空晶石,kong'jing'shi
