半膜肌,ban'mo'ji
背阔肌,bei'kuo'ji
鼻骨,bi'gu
鼻脊柱,bi'ji'zhu
比目鱼肌,bi'mu'yu'ji
髌骨,bin'gu
耻骨,chi'gu
尺骨,chi'gu
耻骨联合,chi'gu'lian'he
大收肌,da'shou'ji
骶骨,di'gu
蝶骨,die'gu
顶骨,ding'gu
额骨,e'gu
肪肌,fang'ji
腓肠肌,fei'chang'ji
腓骨,fei'gu
腓骨长肌,fei'gu'chang'ji
缝匠肌,feng'jiang'ji
跗骨,fu'gu
浮肋,fu'lei
腹外斜肌,fu'wai'xie'ji
腹直肌,fu'zhi'ji
冈下肌,gang'xia'ji
跟骨,gen'gu
肱二头肌,gong'er'tou'ji
肱骨,gong'gu
肱骨外上髁,gong'gu'wai'shang'ke
肱骨中髁,gong'gu'zhong'ke
肱桡肌,gong'rao'ji
肱三头肌,gong'san'tou'ji
股薄肌,gu'bao'ji
股二头肌,gu'er'tou'ji
股骨,gu'gu
股骨外上髁,gu'gu'wai'shang'ke
股骨中髁,gu'gu'zhong'ke
股内肌,gu'nei'ji
股四头肌,gu'si'tou'ji
股外肌,gu'wai'ji
肩关节,jian'guan'jie
肩胛骨,jian'jia'gu
胫骨,jing'gu
胫骨前肌,jing'gu'qian'ji
颈阔肌,jing'kuo'ji
颈椎,jing'zhui
距骨,ju'gu
颏空,ke'kong
髋骨,kuan'gu
眶上嵴,kuang'shang'ji
眶下孔,kuang'xia'kong
肋骨,lei'gu
泪骨,lei'gu
肋软骨,lei'ruan'gu
梨骨,li'gu
菱形肌,ling'xing'ji
内踝,nei'huai
颞骨,nie'gu
髂骨,qia'gu
前臂屈肌肌群,qian'bi'qu'ji'ji'qun
前臂伸肌肌群,qian'bi'shen'ji'ji'qun
前锯肌,qian'ju'ji
颧骨,quan'gu
桡骨,rao'gu
三角肌,san'jiao'ji
上颌骨,shang'he'gu
上肢,shang'zhi
上肢外侧,shang'zhi'wai'ce
收肌,shou'ji
锁骨,suo'gu
头背面,tou'bei'mian
头侧面,tou'ce'mian
头正面,tou'zheng'mian
臀大肌,tun'da'ji
臀中肌,tun'zhong'ji
外踝,wai'huai
尾骨,wei'gu
膝盖骨,xi'gai'gu
膝关节,xi'guan'jie
下颌骨,xia'he'gu
下肢,xia'zhi
下肢内侧,xia'zhi'nei'ce
下肢外侧,xia'zhi'wai'ce
斜方肌,xie'fang'ji
胸大肌,xiong'da'ji
胸腹部,xiong'fu'bu
胸骨蔽心突,xiong'gu'bi'xin'tu
胸骨柄,xiong'gu'bing
胸骨体,xiong'gu'ti
胸锁乳突肌,xiong'suo'ru'tu'ji
胸椎,xiong'zhui
眼眶,yan'kuang
腰背部,yao'bei'bu
腰椎,yao'zhui
趾长伸肌,zhi'chang'shen'ji
趾骨,zhi'gu
跖骨,zhi'gu
肢内侧,zhi'nei'ce
肘关节,zhou'guan'jie
舟状骨,zhou'zhuang'gu
椎间盘,zhui'jian'pan
足部,zu'bu
坐骨,zuo'gu
