案板上捏,an'ban'shang'nie
俺孩儿,an'hai'er
安居苑,an'ju'yuan
安宁街,an'ning'jie
俺也想你呢,an'ye'xiang'ni'ne
昂么,ang'me
昂呀,ang'ya
熬米汤,ao'mi'tang
巴公,ba'gong
八甲口,ba'jia'kou
吧么,ba'me
八一饭店,ba'yi'fan'dian
白公,bai'gong
白鹿温泉,bai'lu'wen'quan
败兴了,bai'xing'le
百姓渔村,bai'xing'yu'cun
白云社区,bai'yun'she'qu
扳机,ban'ji
班级嘴,ban'ji'zui
半中间,ban'zhong'jian
保不见,bao'bu'jian
保和堂,bao'he'tang
北诗,bei'shi
北坛,bei'tan
北坛小学,bei'tan'xiao'xue
背写,bei'xie
北辛武,bei'xin'wu
北盐场,bei'yan'chang
北寨,bei'zhai
逼败,bi'bai
别告,bie'gao
别这的,bie'zhe'de
并州路,bing'zhou'lu
不带吃,bu'dai'chi
不带出去,bu'dai'chu'qu
不待的,bu'dai'de
不带理你,bu'dai'li'ni
不带理我,bu'dai'li'wo
不带起,bu'dai'qi
不带去,bu'dai'qu
不带去了,bu'dai'qu'le
不带睡,bu'dai'shui
不带说,bu'dai'shuo
不带听,bu'dai'ting
不带玩,bu'dai'wan
不带写,bu'dai'xie
不带呀,bu'dai'ya
不带做,bu'dai'zuo
不对的了,bu'dui'de'le
不干甚,bu'gan'shen
不告,bu'gao
不告你,bu'gao'ni
不告你了,bu'gao'ni'le
不告我,bu'gao'wo
不好活,bu'hao'huo
不计划,bu'ji'hua
不烂子,bu'lan'zi
不拿的,bu'na'de
不撇了,bu'pie'le
不起三,bu'qi'san
不是笑你了,bu'shi'xiao'ni'le
不行买新的吧,bu'xing'mai'xin'de'ba
不行行,bu'xing'xing
不要告我,bu'yao'gao'wo
不杂技,bu'za'ji
不在太原,bu'zai'tai'yuan
不怎么吧,bu'zen'me'ba
不知道的了,bu'zhi'dao'de'le
不知道了还,bu'zhi'dao'le'hai
不知道了么,bu'zhi'dao'le'me
不知道们,bu'zhi'dao'men
擦擦的,ca'ca'de
擦擦地,ca'ca'di
猜不见,cai'bu'jian
猜见,cai'jian
藏山,cang'shan
草沟,cao'gou
草灰,cao'hui
查不见,cha'bu'jian
常村矿,chang'cun'kuang
长风街,chang'feng'jie
常家庄园,chang'jia'zhuang'yuan
长治,chang'zhi
长治吧,chang'zhi'ba
长治的,chang'zhi'de
长治了,chang'zhi'le
长治呢,chang'zhi'ne
长治人,chang'zhi'ren
长治市,chang'zhi'shi
长治县,chang'zhi'xian
长治学院,chang'zhi'xue'yuan
炒大米,chao'da'mi
炒面皮,chao'mian'pi
朝阳镇,chao'yang'zhen
成庄,cheng'zhuang
吃大米,chi'da'mi
吃饭来没,chi'fan'lai'mei
吃饭去来,chi'fan'qu'lai
吃好吃吃,chi'hao'chi'chi
吃老饭,chi'lao'fan
吃了饭啦,chi'le'fan'la
吃了饭了,chi'le'fan'le
吃了饭了没,chi'le'fan'le'mei
吃啥来,chi'sha'lai
吃什么饭了,chi'shen'me'fan'le
吃什么来,chi'shen'me'lai
崇实,chong'shi
出矸,chu'gan
串串叔叔,chuan'chuan'shu'shu
次营,ci'ying
从太原,cong'tai'yuan
从榆次,cong'yu'ci
翠峰,cui'feng
翠峰山,cui'feng'shan
翠峰镇,cui'feng'zhen
崔家沟,cui'jia'gou
存电,cun'dian
村里了,cun'li'le
存山,cun'shan
打帮,da'bang
打蛋蛋,da'dan'dan
大东关,da'dong'guan
大佛山,da'fo'shan
打扫家,da'sao'jia
大山西,da'shan'xi
打完就没了,da'wan'jiu'mei'le
答应你什么饿了,da'ying'ni'shen'me'e'le
大寨,da'zhai
蛋蛋车,dan'dan'che
蛋蛋面,dan'dan'mian
丹河路,dan'he'lu
到长治,dao'chang'zhi
道虎壁,dao'hu'bi
到介休,dao'jie'xiu
到晋城,dao'jin'cheng
到山西,dao'shan'xi
到睡了,dao'shui'le
到太原,dao'tai'yuan
到太原了,dao'tai'yuan'le
道谢,dao'xie
到谢谢,dao'xie'xie
到榆次,dao'yu'ci
等不行,deng'bu'xing
等的啊,deng'de'a
等的吧,deng'de'ba
等的搬迁了,deng'de'ban'qian'le
等的了,deng'de'le
灯房,deng'fang
等你了么,deng'ni'le'me
等我的吧,deng'wo'de'ba
第二客厅,di'er'ke'ting
町店,ding'dian
东湖井,dong'hu'jing
动科院,dong'ke'yuan
冻死呀,dong'si'ya
东太堡,dong'tai'bao
东云阁,dong'yun'ge
都不告我,dou'bu'gao'wo
都告你,dou'gao'ni
逗你了,dou'ni'le
豆庄,dou'zhuang
杜家庄,du'jia'zhuang
肚疼了,du'teng'le
独自家,du'zi'jia
段纯,duan'chun
段村,duan'cun
对的了,dui'de'le
多会回来了,duo'hui'hui'lai'le
多会了,duo'hui'le
多钱来,duo'qian'lai
嗯是了,en'shi'le
烦气人,fan'qi'ren
放的了,fang'de'le
方山,fang'shan
纺校,fang'xiao
废话不是,fei'hua'bu'shi
汾河,fen'he
汾矿,fen'kuang
汾西矿业,fen'xi'kuang'ye
汾阳,fen'yang
汾阳的,fen'yang'de
汾阳市,fen'yang'shi
汾阳王,fen'yang'wang
凤展,feng'zhan
富家滩,fu'jia'tan
附明细,fu'ming'xi
妇幼院,fu'you'yuan
该是么,gai'shi'me
赶会,gan'hui
擀开,gan'kai
干嘛了你,gan'ma'le'ni
干嘛去来,gan'ma'qu'lai
干甚来,gan'shen'lai
干甚了,gan'shen'le
刚回来家,gang'hui'lai'jia
刚回了家,gang'hui'le'jia
刚买下,gang'mai'xia
刚完了,gang'wan'le
刚洗了头发,gang'xi'le'tou'fa
刚洗漱了,gang'xi'shu'le
告不告,gao'bu'gao
告的,gao'de
高都,gao'du
告告,gao'gao
告告你,gao'gao'ni
告告我,gao'gao'wo
告给,gao'gei
告过,gao'guo
告过你,gao'guo'ni
告过我,gao'guo'wo
告假,gao'jia
高家坡,gao'jia'po
告了你,gao'le'ni
告了我,gao'le'wo
告你,gao'ni
告你吧,gao'ni'ba
告你的,gao'ni'de
告你干嘛,gao'ni'gan'ma
