待审,dai'shen
单位,dan'wei
档案管理,dang'an'guan'li
辅导员,fu'dao'yuan
工作简历,gong'zuo'jian'li
技术人员,ji'shu'ren'yuan
教师,jiao'shi
派遣人员,pai'qian'ren'yuan
缺部分工作材料,que'bu'fen'gong'zuo'cai'liao
缺材料,que'cai'liao
缺档有袋子,que'dang'you'dai'zi
缺党员材料,que'dang'yuan'cai'liao
缺国外博士后证明,que'guo'wai'bo'shi'hou'zheng'ming
缺考核表及工资表有转正定级表,que'kao'he'biao'ji'gong'zi'biao'you'zhuan'zheng'ding'ji'biao
缺入党申请书,que'ru'dang'shen'qing'shu
缺硕士博士报考材料,que'shuo'shi'bo'shi'bao'kao'cai'liao
缺硕士博士录取审批表,que'shuo'shi'bo'shi'lu'qu'shen'pi'biao
缺硕士博士学籍总表,que'shuo'shi'bo'shi'xue'ji'zong'biao
缺硕士博士学历学位认证,que'shuo'shi'bo'shi'xue'li'xue'wei'ren'zheng
缺优博计划证明材料,que'you'bo'ji'hua'zheng'ming'cai'liao
缺支教材料,que'zhi'jiao'cai'liao
缺专家推荐书两份,que'zhuan'jia'tui'jian'shu'liang'fen
缺转正申请书,que'zhuan'zheng'shen'qing'shu
入职未办理人事手续,ru'zhi'wei'ban'li'ren'shi'shou'xu
社保缴费时间为,she'bao'jiao'fei'shi'jian'wei
审核情况,shen'he'qing'kuang
双学位,shuang'xue'wei
硕博连读,shuo'bo'lian'du
提前攻博,ti'qian'gong'bo
无单位,wu'dan'wei
厦门大学材料学院,xia'men'da'xue'cai'liao'xue'yuan
厦门大学财务处,xia'men'da'xue'cai'wu'chu
厦门大学财务管理与会计研究院,xia'men'da'xue'cai'wu'guan'li'yu'kuai'ji'yan'jiu'yuan
厦门大学法学院,xia'men'da'xue'fa'xue'yuan
厦门大学公共事务学院,xia'men'da'xue'gong'gong'shi'wu'xue'yuan
厦门大学公共卫生学院,xia'men'da'xue'gong'gong'wei'sheng'xue'yuan
厦门大学管理学院,xia'men'da'xue'guan'li'xue'yuan
厦门大学海洋与地球学院,xia'men'da'xue'hai'yang'yu'di'qiu'xue'yuan
厦门大学化学化工学院,xia'men'da'xue'hua'xue'hua'gong'xue'yuan
厦门大学环境与生态学院,xia'men'da'xue'huan'jing'yu'sheng'tai'xue'yuan
厦门大学建筑与土木工程学院,xia'men'da'xue'jian'zhu'yu'tu'mu'gong'cheng'xue'yuan
厦门大学教务处,xia'men'da'xue'jiao'wu'chu
厦门大学教育研究院,xia'men'da'xue'jiao'yu'yan'jiu'yuan
厦门大学经济学院,xia'men'da'xue'jing'ji'xue'yuan
厦门大学科学技术处,xia'men'da'xue'ke'xue'ji'shu'chu
厦门大学离退休工作部处,xia'men'da'xue'li'tui'xiu'gong'zuo'bu'chu
厦门大学马克思主义学院,xia'men'da'xue'ma'ke'si'zhu'yi'xue'yuan
厦门大学南海研究院,xia'men'da'xue'nan'hai'yan'jiu'yuan
厦门大学南洋研究院,xia'men'da'xue'nan'yang'yan'jiu'yuan
厦门大学人文学院,xia'men'da'xue'ren'wen'xue'yuan
厦门大学软件学院,xia'men'da'xue'ruan'jian'xue'yuan
厦门大学生命科学学院,xia'men'da'xue'sheng'ming'ke'xue'xue'yuan
厦门大学数学科学学院,xia'men'da'xue'shu'xue'ke'xue'xue'yuan
厦门大学王亚南经济研究院,xia'men'da'xue'wang'ya'nan'jing'ji'yan'jiu'yuan
厦门大学物理与机电工程学院,xia'men'da'xue'wu'li'yu'ji'dian'gong'cheng'xue'yuan
厦门大学新闻传播学院,xia'men'da'xue'xin'wen'chuan'bo'xue'yuan
厦门大学信息科学技术学院,xia'men'da'xue'xin'xi'ke'xue'ji'shu'xue'yuan
厦门大学宣传部,xia'men'da'xue'xuan'chuan'bu
厦门大学学生工作部处,xia'men'da'xue'xue'sheng'gong'zuo'bu'chu
厦门大学学校办公室,xia'men'da'xue'xue'xiao'ban'gong'shi
厦门大学药学院,xia'men'da'xue'yao'xue'yuan
厦门大学艺术学院,xia'men'da'xue'yi'shu'xue'yuan
厦门大学医学院,xia'men'da'xue'yi'xue'yuan
厦门大学资产与后勤事务管理处,xia'men'da'xue'zi'chan'yu'hou'qin'shi'wu'guan'li'chu
厦门市人才服务中心档案管理部,xia'men'shi'ren'cai'fu'wu'zhong'xin'dang'an'guan'li'bu
行政人员,xing'zheng'ren'yuan
学历,xue'li
研究人员,yan'jiu'ren'yuan
在职博士后,zai'zhi'bo'shi'hou
