办公锁,ban'gong'suo
扳手,ban'shou
板弹簧,ban'tan'huang
板牙,ban'ya
刨刀,bao'dao
抱箍,bao'gu
杯架,bei'jia
闭门器,bi'men'qi
扁嘴钳,bian'zui'qian
玻璃刀,bo'li'dao
剥线钳,bo'xian'qian
布轮,bu'lun
裁缝剪,cai'feng'jian
插齿刀,cha'chi'dao
插销,cha'xiao
铲子,chan'zi
车刀,che'dao
成型模,cheng'xing'mo
齿轮刀具,chi'lun'dao'ju
齿轮加工,chi'lun'jia'gong
冲击钻,chong'ji'zuan
冲头,chong'tou
冲洗阀,chong'xi'fa
冲压模,chong'ya'mo
触点,chu'dian
触片,chu'pian
锄头,chu'tou
厨用刀,chu'yong'dao
船用五金配件,chuan'yong'wu'jin'pei'jian
窗轨,chuang'gui
窗帘杆,chuang'lian'gan
窗锁,chuang'suo
锤子,chui'zi
伺服阀,ci'fu'fa
磁卡锁,ci'ka'suo
打孔钳,da'kong'qian
大力钳,da'li'qian
打气筒,da'qi'tong
单头呆扳手,dan'tou'dai'ban'shou
挡圈,dang'quan
刀柄,dao'bing
刀带,dao'dai
刀杆,dao'gan
刀具,dao'ju
导套,dao'tao
导柱,dao'zhu
地漏,di'lou
地弹簧,di'tan'huang
电刨,dian'bao
电池钳,dian'chi'qian
电锤,dian'chui
电动扳手,dian'dong'ban'shou
电动雕刻机,dian'dong'diao'ke'ji
电动工具,dian'dong'gong'ju
电动螺丝刀,dian'dong'luo'si'dao
电动坡口机,dian'dong'po'kou'ji
电动砂轮机,dian'dong'sha'lun'ji
电动套丝机,dian'dong'tao'si'ji
电工刀,dian'gong'dao
电工钳,dian'gong'qian
电焊钳,dian'han'qian
电剪刀,dian'jian'dao
电锯,dian'ju
电缆钳,dian'lan'qian
电烙铁,dian'lao'tie
电磨,dian'mo
垫圈,dian'quan
电子五金件,dian'zi'wu'jin'jian
电钻,dian'zuan
吊钩,diao'gou
雕刻刀,diao'ke'dao
碟形弹簧,die'xing'tan'huang
顶尖,ding'jian
顶针,ding'zhen
斗齿,dou'chi
断线钳,duan'xian'qian
锻造模,duan'zao'mo
多功能刀钳,duo'gong'neng'dao'qian
多用扳手,duo'yong'ban'shou
多用螺丝刀,duo'yong'luo'si'dao
二手电动工具,er'shou'dian'dong'gong'ju
法兰,fa'lan
法兰盘,fa'lan'pan
阀片,fa'pian
阀芯,fa'xin
防爆工具,fang'bao'gong'ju
非标零件加工,fei'biao'ling'jian'jia'gong
肥皂架,fei'zao'jia
分度盘,fen'du'pan
分度头,fen'du'tou
粉末冶金模,fen'mo'ye'jin'mo
分水器,fen'shui'qi
斧子,fu'zi
钢锉,gang'cuo
钢镐,gang'gao
钢号码,gang'hao'ma
钢锯架,gang'ju'jia
钢丝轮,gang'si'lun
钢丝钳,gang'si'qian
钢丝刷,gang'si'shua
钢珠,gang'zhu
割炬,ge'ju
工具,gong'ju
工具包,gong'ju'bao
工具箱,gong'ju'xiang
工装夹具,gong'zhuang'jia'ju
