阿耨达龙王,a'nou'da'long'wang
阿湿波,a'shi'bo
阿修罗,a'xiu'luo
阿诣罗,a'yi'luo
爱染明王,ai'ran'ming'wang
八大童子,ba'da'tong'zi
八幡大菩萨,ba'fan'da'pu'sa
辩才天,bian'cai'tian
冰揭罗天,bing'jie'luo'tian
不动明王,bu'dong'ming'wang
持国天,chi'guo'tian
大梵天,da'fan'tian
大黑天,da'hei'tian
大圣欢喜天,da'sheng'huan'xi'tian
大树紧那罗王,da'shu'jin'na'luo'wang
大威德明王,da'wei'de'ming'wang
大自在天,da'zi'zai'tian
帝释天,di'shi'tian
地天,di'tian
兜跋毗沙门,dou'ba'pi'sha'men
二十八部众,er'shi'ba'bu'zhong
二十天,er'shi'tian
二十五神,er'shi'wu'shen
二守护,er'shou'hu
梵天,fan'tian
飞天,fei'tian
风天,feng'tian
甘尼沙,gan'ni'sha
干闼婆,gan'ta'po
广目天,guang'mu'tian
鬼子母神,gui'zi'mu'shen
赫鲁葛,he'lu'ge
护法,hu'fa
火天,huo'tian
吉祥天,ji'xiang'tian
伎艺天,ji'yi'tian
迦楼罗,jia'lou'luo
迦摩,jia'mo
迦叶仙,jia'ye'xian
降三世明王,jiang'san'shi'ming'wang
金刚夜叉明王,jin'gang'ye'cha'ming'wang
紧那罗,jin'na'luo
金毗罗,jin'pi'luo
鸠摩罗天,jiu'mo'luo'tian
鸠槃荼,jiu'pan'tu
俱利迦罗,ju'li'jia'luo
俱生神,ju'sheng'shen
军荼利明王,jun'tu'li'ming'wang
卡达拉迦马,ka'da'la'jia'ma
克利须那,ke'li'xu'na
孔雀明王,kong'que'ming'wang
旷野神,kuang'ye'shen
罗剎,luo'cha
密迹力士,mi'ji'li'shi
明妃,ming'fei
明王,ming'wang
摩侯罗伽,mo'hou'luo'ga
摩利支天,mo'li'zhi'tian
那罗延天,na'luo'yan'tian
难陀龙王,nan'tuo'long'wang
诺健那,nuo'jian'na
毗沙门天,pi'sha'men'tian
毗舍闍,pi'she'du
毗湿奴天,pi'shi'nu'tian
毗首羯摩天,pi'shou'jie'mo'tian
七福神,qi'fu'shen
七母天,qi'mu'tian
伽蓝神,qie'lan'shen
瞿波罗龙王,qu'bo'luo'long'wang
佉卢虱咤,qu'lu'shi'zha
瞿昙仙,qu'tan'xian
日天,ri'tian
三光天子,san'guang'tian'zi
三十六部神王,san'shi'liu'bu'shen'wang
山王权现,shan'wang'quan'xian
深沙大将,shen'sha'da'jiang
十二神将,shi'er'shen'jiang
十二兽,shi'er'shou
十二天,shi'er'tian
十九执金刚,shi'jiu'zhi'jin'gang
十六执金刚,shi'liu'zhi'jin'gang
十罗剎女,shi'luo'cha'nv
湿婆,shi'po
尸弃大梵,shi'qi'da'fan
十王,shi'wang
水天,shui'tian
四天王,si'tian'wang
松杜罗,song'du'luo
娑伽罗龙王,suo'ga'luo'long'wang
他化自在天,ta'hua'zi'zai'tian
太元帅明王,tai'yuan'shuai'ming'wang
天龙八部,tian'long'ba'bu
天人,tian'ren
荼吉尼,tu'ji'ni
韦驮天,wei'tuo'tian
五净居天,wu'jing'ju'tian
乌枢沙摩明王,wu'shu'sha'mo'ming'wang
戏忘天,xi'wang'tian
阎魔王,yan'mo'wang
夜叉,ye'cha
一角仙,yi'jiao'xian
伊罗钵多罗龙王,yi'luo'bo'duo'luo'long'wang
伊罗婆那龙象王,yi'luo'po'na'long'xiang'wang
伊舍那天,yi'she'na'tian
因陀罗,yin'tuo'luo
优波难陀龙王,you'bo'nan'tuo'long'wang
月天,yue'tian
增长天,zeng'zhang'tian
制咤迦童子,zhi'zha'jia'tong'zi
