阿速吉八,a'su'ji'ba
爱新觉罗福临,ai'xin'jue'luo'fu'lin
爱新觉罗弘历,ai'xin'jue'luo'hong'li
爱新觉罗皇太极,ai'xin'jue'luo'huang'tai'ji
爱新觉罗旻宁,ai'xin'jue'luo'min'ning
爱新觉罗努尔哈赤,ai'xin'jue'luo'nu'er'ha'chi
爱新觉罗溥仪,ai'xin'jue'luo'pu'yi
爱新觉罗玄烨,ai'xin'jue'luo'xuan'ye
爱新觉罗奕詝,ai'xin'jue'luo'yi'zhu
爱新觉罗胤禛,ai'xin'jue'luo'yin'zhen
爱新觉罗颙琰,ai'xin'jue'luo'yong'yan
爱新觉罗载淳,ai'xin'jue'luo'zai'chun
爱新觉罗载湉,ai'xin'jue'luo'zai'tian
爱育黎拔力八达,ai'yu'li'ba'li'ba'da
不降,bu'xiang
曹操,cao'cao
曹芳,cao'fang
曹奂,cao'huan
曹髦,cao'mao
曹丕,cao'pi
曹睿,cao'rui
柴荣,chai'rong
柴宗训,chai'zong'xun
陈霸先,chen'ba'xian
陈伯宗,chen'bo'zong
陈蒨,chen'qian
陈叔宝,chen'shu'bao
陈顼,chen'xu
重华,chong'hua
大华兴,da'hua'xing
大明忠,da'ming'zhong
大虔晃,da'qian'huang
大钦茂,da'qin'mao
大仁秀,da'ren'xiu
大嵩璘,da'song'lin
大玮瑎,da'wei'jie
大武艺,da'wu'yi
大玄锡,da'xuan'xi
大言义,da'yan'yi
大彝震,da'yi'zhen
大諲撰,da'yin'zhuan
大元义,da'yuan'yi
大元瑜,da'yuan'yu
大祚荣,da'zuo'rong
帝喾,di'ku
帝辛,di'xin
帝乙,di'yi
帝挚,di'zhi
段随,duan'sui
段业,duan'ye
放勋,fang'xun
冯跋,feng'ba
冯弘,feng'hong
苻崇,fu'chong
苻登,fu'deng
苻宏,fu'hong
苻洪,fu'hong
苻健,fu'jian
苻坚,fu'jian
苻丕,fu'pi
苻生,fu'sheng
高宝融,gao'bao'rong
高保勖,gao'bao'xu
高从诲,gao'cong'hui
高恒,gao'heng
高继冲,gao'ji'chong
高季兴,gao'ji'xing
高绍义,gao'shao'yi
高纬,gao'wei
高辛氏,gao'xin'shi
高演,gao'yan
高延宗,gao'yan'zong
高洋,gao'yang
高阳氏,gao'yang'shi
高殷,gao'yin
高云,gao'yun
高湛,gao'zhan
贵由,gui'you
郭威,guo'wei
海迷失后,hai'mi'shi'hou
海山,hai'shan
河亶甲,he'dan'jia
赫连勃勃,he'lian'bo'bo
赫连昌,he'lian'chang
赫连定,he'lian'ding
和世剌,he'shi'la
忽必烈,hu'bi'lie
胡亥,hu'hai
黄帝,huang'di
姬班,ji'ban
姬扁,ji'bian
姬昌,ji'chang
姬定,ji'ding
姬发,ji'fa
姬匄,ji'gai
姬宫湦,ji'gong'sheng
姬贵,ji'gui
姬胡,ji'hu
姬胡齐,ji'hu'qi
姬囏,ji'jian
姬骄,ji'jiao
姬介,ji'jie
姬静,ji'jing
姬阆,ji'lang
姬林,ji'lin
姬满,ji'man
姬猛,ji'meng
姬辟方,ji'pi'fang
姬去疾,ji'qu'ji
姬仁,ji'ren
姬壬臣,ji'ren'chen
姬叔,ji'shu
姬诵,ji'song
姬佗,ji'tuo
姬嵬,ji'wei
姬午,ji'wu
姬喜,ji'xi
姬瑕,ji'xia
姬燮,ji'xie
姬泄心,ji'xie'xin
姬延,ji'yan
姬夷,ji'yi
姬繄扈,ji'yi'hu
姬宜臼,ji'yi'jiu
姬瑜,ji'yu
姬钊,ji'zhao
姬郑,ji'zheng
金天氏,jin'tian'shi
沮渠蒙逊,ju'qu'meng'xun
沮渠牧犍,ju'qu'mu'jian
康丁,kang'ding
孔甲,kong'jia
李安全,li'an'quan
李昂,li'ang
李班,li'ban
李秉常,li'bing'chang
李忱,li'chen
李拀,li'chu
李纯,li'chun
李纯佑,li'chun'you
李从厚,li'cong'hou
李从珂,li'cong'ke
李漼,li'cui
李存勖,li'cun'xu
李亶,li'dan
李旦,li'dan
李德明,li'de'ming
李德旺,li'de'wang
李暠,li'gao
李亨,li'heng
李恒,li'heng
李继迁,li'ji'qian
李璟,li'jing
李谅祚,li'liang'zuo
李隆基,li'long'ji
李期,li'qi
李乾顺,li'qian'shun
李仁孝,li'ren'xiao
李升,li'sheng
李适,li'shi
李势,li'shi
李世民,li'shi'min
李寿,li'shou
李诵,li'song
李特,li'te
李显,li'xian
李睍,li'xian
李歆,li'xin
李雄,li'xiong
李儇,li'xuan
李恂,li'xun
李炎,li'yan
李晔,li'ye
李豫,li'yu
李煜,li'yu
李渊,li'yuan
李元昊,li'yuan'hao
李湛,li'zhan
李治,li'zhi
李重茂,li'zhong'mao
李自成,li'zi'cheng
李遵顼,li'zun'xu
廪辛,lin'xin
刘骜,liu'ao
刘邦,liu'bang
刘保,liu'bao
刘备,liu'bei
刘辩,liu'bian
刘炳,liu'bing
刘粲,liu'can
刘禅,liu'chan
刘鋹,liu'chang
刘彻,liu'che
刘承佑,liu'cheng'you
刘聪,liu'cong
刘炟,liu'da
刘玢,liu'fen
刘弗陵,liu'fu'ling
刘恭,liu'gong
刘贺,liu'he
刘恒,liu'heng
刘宏,liu'hong
刘弘,liu'hong
刘祜,liu'hu
刘淮,liu'huai
刘继恩,liu'ji'en
刘继元,liu'ji'yuan
刘钧,liu'jun
刘骏,liu'jun
刘隆,liu'long
刘旻,liu'min
刘启,liu'qi
刘劭,liu'shao
刘晟,liu'sheng
刘奭,liu'shi
刘协,liu'xie
刘欣,liu'xin
刘秀,liu'xiu
刘玄,liu'xuan
刘询,liu'xun
刘衍,liu'yan
刘岩,liu'yan
刘曜,liu'yao
刘懿,liu'yi
刘义符,liu'yi'fu
刘义隆,liu'yi'long
刘婴,liu'ying
刘盈,liu'ying
刘裕,liu'yu
刘彧,liu'yu
刘昱,liu'yu
刘渊,liu'yuan
刘肇,liu'zhao
刘志,liu'zhi
刘知远,liu'zhi'yuan
刘庄,liu'zhuang
刘子业,liu'zi'ye
刘缵,liu'zuan
吕光,lv'guang
吕隆,lv'long
吕绍,lv'shao
吕稚,lv'zhi
吕纂,lv'zuan
马乃真后,ma'nai'zhen'hou
马希崇,ma'xi'chong
马希萼,ma'xi'e
马希范,ma'xi'fan
马希广,ma'xi'guang
马希声,ma'xi'sheng
马殷,ma'yin
孟昶,meng'chang
蒙哥,meng'ge
孟知祥,meng'zhi'xiang
慕容宝,mu'rong'bao
慕容超,mu'rong'chao
慕容冲,mu'rong'chong
慕容垂,mu'rong'chui
慕容德,mu'rong'de
慕容泓,mu'rong'hong
