阿保之功,a'bao'zhi'gong
阿鼻地狱,a'bi'di'yu
阿姑阿翁,a'gu'a'weng
阿娇金屋,a'jiao'jin'wu
阿猫阿狗,a'mao'a'gou
阿平绝倒,a'ping'jue'dao
哀哀父母,ai'ai'fu'mu
矮矮胖胖,ai'ai'pang'pang
哀哀欲绝,ai'ai'yu'jue
爱别离苦,ai'bie'li'ku
哀兵必胜,ai'bing'bi'sheng
爱不忍释,ai'bu'ren'shi
爱不释手,ai'bu'shi'shou
爱才如渴,ai'cai'ru'ke
爱才如命,ai'cai'ru'ming
爱财如命,ai'cai'ru'ming
爱才若渴,ai'cai'ruo'ke
挨打受骂,ai'da'shou'ma
挨冻受饿,ai'dong'shou'e
挨饿受冻,ai'e'shou'dong
哀而不伤,ai'er'bu'shang
挨风缉缝,ai'feng'ji'feng
爱富嫌贫,ai'fu'xian'pin
哀感天地,ai'gan'tian'di
哀感顽艳,ai'gan'wan'yan
哀感中年,ai'gan'zhong'nian
哀告宾服,ai'gao'bin'fu
爱国如家,ai'guo'ru'jia
爱鹤失众,ai'he'shi'zhong
哀鸿遍地,ai'hong'bian'di
哀鸿遍野,ai'hong'bian'ye
哀毁骨立,ai'hui'gu'li
哀毁瘠立,ai'hui'ji'li
挨家挨户,ai'jia'ai'hu
挨肩并足,ai'jian'bing'zu
挨肩擦膀,ai'jian'ca'bang
挨肩擦背,ai'jian'ca'bei
挨肩擦脸,ai'jian'ca'lian
挨肩搭背,ai'jian'da'bei
挨肩叠背,ai'jian'die'bei
挨肩迭背,ai'jian'die'bei
哀矜勿喜,ai'jin'wu'xi
碍口识羞,ai'kou'shi'xiu
爱理不理,ai'li'bu'li
爱礼存羊,ai'li'cun'yang
哀梨蒸食,ai'li'zheng'shi
爱毛反裘,ai'mao'fan'qiu
暧昧不明,ai'mei'bu'ming
暧昧之情,ai'mei'zhi'qing
挨门挨户,ai'men'ai'hu
挨门逐户,ai'men'zhu'hu
爱民如子,ai'min'ru'zi
哀莫大于心死,ai'mo'da'yu'xin'si
爱莫能助,ai'mo'neng'zhu
爱莫之助,ai'mo'zhi'zhu
碍难从命,ai'nan'cong'ming
爱钱如命,ai'qian'ru'ming
蔼然可亲,ai'ran'ke'qin
蔼然仁者,ai'ran'ren'zhe
矮人观场,ai'ren'guan'chang
爱人好士,ai'ren'hao'shi
