挨黑打,ai'hei'da
挨球,ai'qiu
挨球了,ai'qiu'le
挨头子,ai'tou'zi
俺到,an'dao
安得儿逸,an'de'er'yi
按起,an'qi
暗起,an'qi
安逸,an'yi
安逸得,an'yi'de
安逸得板,an'yi'de'ban
安逸嘎,an'yi'ga
安逸唆,an'yi'suo
傲起,ao'qi
坝坝,ba'ba
粑粑,ba'ba
巴巴掌,ba'ba'zhang
巴不得,ba'bu'de
吧到,ba'dao
霸道,ba'dao
霸道惨老,ba'dao'can'lao
粑倒烫,ba'dao'tang
爸儿,ba'er
粑耳朵,ba'er'duo
耙红苕,ba'hong'shao
粑活,ba'huo
耙活,ba'huo
巴结,ba'jie
巴结狗儿,ba'jie'gou'er
巴连不得,ba'lian'bu'de
巴起了,ba'qi'le
巴实,ba'shi
巴式,ba'shi
巴适,ba'shi
巴信不得,ba'xin'bu'de
巴性不得,ba'xing'bu'de
粑伊儿,ba'yi'er
耙伊儿,ba'yi'er
把住,ba'zhu
掰掰儿,bai'bai'er
摆别,bai'bie
白儿白子,bai'er'bai'zi
白逛逛,bai'guang'guang
摆过龙门阵,bai'guo'long'men'zhen
白伙食,bai'huo'shi
白火石,bai'huo'shi
白卡卡,bai'ka'ka
摆龙门阵,bai'long'men'zhen
摆牌子,bai'pai'zi
白眼油,bai'yan'you
拜子,bai'zi
掰子,bai'zi
白嘴儿,bai'zui'er
板板,ban'ban
拌壳儿,ban'ke'er
板棱,ban'leng
板命,ban'ming
拌桶,ban'tong
板旋儿,ban'xuan'er
半中断腰,ban'zhong'duan'yao
梆梆车,bang'bang'che
棒棒军,bang'bang'jun
帮臭,bang'chou
邦臭,bang'chou
帮干忙,bang'gan'mang
帮紧,bang'jin
邦紧,bang'jin
棒客,bang'ke
棒老二,bang'lao'er
帮硬,bang'ying
棒硬,bang'ying
绑硬,bang'ying
帮重,bang'zhong
磅重,bang'zhong
邦重,bang'zhong
宝宝器器,bao'bao'qi'qi
爆肚子,bao'du'zi
宝儿,bao'er
宝儿宝儿,bao'er'bao'er
包谷,bao'gu
苞谷,bao'gu
包谷子,bao'gu'zi
抱鸡婆,bao'ji'po
宝器,bao'qi
宝气,bao'qi
宝塞塞,bao'sai'sai
宝筛筛,bao'shai'shai
保险,bao'xian
暴眼,bao'yan
暴眼子,bao'yan'zi
爆眼子,bao'yan'zi
杯话,bei'hua
背时,bei'shi
背油,bei'you
绷起,beng'qi
边花儿,bian'hua'er
标得,biao'de
标跟我,biao'gen'wo
标喊,biao'han
标喊我,biao'han'wo
表喊我,biao'han'wo
标来,biao'lai
标了,biao'le
标切,biao'qie
标耍,biao'shua
标走,biao'zou
憋憋,bie'bie
憋慌了,bie'huang'le
憋遭,bie'zao
冰粉儿,bing'fen'er
冰纠,bing'jiu
冰欠,bing'qian
钵钵鸡,bo'bo'ji
钵钵肉,bo'bo'rou
薄铺盖,bo'pu'gai
不摆了,bu'bai'le
不存在,bu'cun'zai
不得吃你,bu'de'chi'ni
不得道理,bu'de'dao'li
不得行号,bu'de'hang'hao
不得晃,bu'de'huang
不得系那个,bu'de'xi'na'ge
不得信你,bu'de'xin'ni
不得虚你,bu'de'xu'ni
不经事,bu'jing'shi
不开腔,bu'kai'qiang
不罗教,bu'luo'jiao
不落教,bu'luo'jiao
不孃,bu'niang
不球懂,bu'qiu'dong
不然浪个,bu'ran'lang'ge
不认黄,bu'ren'huang
不识疼,bu'shi'teng
不甩识,bu'shuai'shi
不胎害,bu'tai'hai
不想回且,bu'xiang'hui'qie
不想朗格,bu'xiang'lang'ge
不虚你,bu'xu'ni
