闇翅,an'chi
白讯,bai'xun
白银祭司,bai'yin'ji'si
半刃巨剑,ban'ren'ju'jian
北之森,bei'zhi'sen
藏河,cang'he
苍雪之牙,cang'xue'zhi'ya
赐印,ci'yin
大天使,da'tian'shi
帝都,di'du
第二使徒,di'er'shi'tu
第二王爵,di'er'wang'jue
第六王爵,di'liu'wang'jue
第七王爵,di'qi'wang'jue
第三使徒,di'san'shi'tu
第三王爵,di'san'wang'jue
地使,di'shi
第四王爵,di'si'wang'jue
第五王爵,di'wu'wang'jue
第一使徒,di'yi'shi'tu
第一王爵,di'yi'wang'jue
地狱使者,di'yu'shi'zhe
地之使徒,di'zhi'shi'tu
东赫,dong'he
二度王爵,er'du'wang'jue
费雷尔,fei'lei'er
格兰尔特,ge'lan'er'te
格兰仕,ge'lan'shi
鬼山缝魂,gui'shan'feng'hun
鬼山莲泉,gui'shan'lian'quan
海银,hai'yin
海之使徒,hai'zhi'shi'tu
黑闇形态,hei'an'xing'tai
红绸浆果,hong'chou'jiang'guo
红讯,hong'xun
回生锁链,hui'sheng'suo'lian
魂力,hun'li
魂器,hun'qi
魂器同调,hun'qi'tong'diao
魂兽,hun'shou
魂塚,hun'zhong
吉尔伽美什,ji'er'jia'mei'shen
雷恩海域,lei'en'hai'yu
灵魂回路,ling'hun'hui'lu
六度王爵,liu'du'wang'jue
鹿觉,lu'jue
路西法,lu'xi'fa
绿讯,lv'xun
米迦勒,mi'jia'le
七度王爵,qi'du'wang'jue
漆拉,qi'la
麒零,qi'ling
侵蚀者,qin'shi'zhe
三度王爵,san'du'wang'jue
杀戮使徒,sha'lu'shi'tu
杀戮王爵,sha'lu'wang'jue
神音,shen'yin
深渊回廊,shen'yuan'hui'lang
使徒,shi'tu
束海,shu'hai
四度王爵,si'du'wang'jue
死灵镜面,si'ling'jing'mian
四象极限,si'xiang'ji'xian
特蕾娅,te'lei'ya
天赋,tian'fu
天格,tian'ge
天束幽花,tian'shu'you'hua
天之使徒,tian'zhi'shi'tu
王爵,wang'jue
五度王爵,wu'du'wang'jue
雾涅尔,wu'nie'er
无限魂器同调,wu'xian'hun'qi'tong'diao
雾隐绿岛,wu'yin'lv'dao
西流尔,xi'liu'er
希斯雅果实,xi'si'ya'guo'shi
西之亚斯蓝帝国,xi'zhi'ya'si'lan'di'guo
心脏,xin'zang
修川地藏,xiu'chuan'di'cang
一度王爵,yi'du'wang'jue
伊莲娜,yi'lian'na
银尘,yin'chen
幽冥,you'ming
尤图尔遗迹,you'tu'er'yi'ji
织梦者,zhi'meng'zhe
诸神黄昏,zhu'shen'huang'hun
