暗部,an'bu
鞍马一族,an'ma'yi'zu
八尾牛鬼,ba'wei'niu'gui
爆遁,bao'dun
冰遁,bing'dun
并足雷同,bing'zu'lei'tong
并足一族,bing'zu'yi'zu
波风奏,bo'feng'zou
波之国,bo'zhi'guo
不忍,bu'ren
菜之国,cai'zhi'guo
草忍者村,cao'ren'zhe'cun
草之国,cao'zhi'guo
查克拉,cha'ke'la
茶之国,cha'zhi'guo
尘遁,chen'dun
川之国,chuan'zhi'guo
春野樱,chun'ye'ying
磁遁,ci'dun
大碗味增叉烧拉面,da'wan'wei'zeng'cha'shao'la'mian
呆子,dai'zi
胆小鬼,dan'xiao'gui
多重影分身之术,duo'chong'ying'fen'shen'zhi'shu
二尾猫又,er'wei'mao'you
沸遁,fei'dun
风遁,feng'dun
风马一族,feng'ma'yi'zu
风之国,feng'zhi'guo
甘栗甘,gan'li'gan
怪力,guai'li
鬼之国,gui'zhi'guo
蛤蟆吉,ha'ma'ji
蛤蟆力,ha'ma'li
蛤蟆龙,ha'ma'long
蛤蟆忠,ha'ma'zhong
海鲜拉面,hai'xian'la'mian
海野一族,hai'ye'yi'zu
海之国,hai'zhi'guo
河之国,he'zhi'guo
红豆之国,hong'dou'zhi'guo
琥珀一族,hu'po'yi'zu
幻之地底遗迹,huan'zhi'di'di'yi'ji
辉夜一族,hui'ye'yi'zu
火遁,huo'dun
火影忍者,huo'ying'ren'zhe
火影忍者少年篇,huo'ying'ren'zhe'shao'nian'pian
活蝓,huo'yu
火之国,huo'zhi'guo
羁绊,ji'ban
疾风传,ji'feng'zhuan
寄坏虫,ji'huai'chong
匠忍者村,jiang'ren'zhe'cun
酒酒屋,jiu'jiu'wu
九尾九喇嘛,jiu'wei'jiu'la'ma
开什么玩笑,kai'shen'me'wan'xiao
勘九郎,kan'jiu'lang
癞蛤蟆文太,lai'ha'ma'wen'tai
岚遁,lan'dun
雷遁,lei'dun
雷之国,lei'zhi'guo
李洛克,li'luo'ke
李洛克的青春全力忍传,li'luo'ke'de'qing'chun'quan'li'ren'chuan
料忍,liao'ren
零尾虚无,ling'wei'xu'wu
六尾雷兽,liu'wei'lei'shou
泷忍者村,long'ren'zhe'cun
泷之国,long'zhi'guo
满点堂,man'dian'tang
蜜之国,mi'zhi'guo
鸣人之死,ming'ren'zhi'si
木遁,mu'dun
木叶忍者村,mu'ye'ren'zhe'cun
木叶丸,mu'ye'wan
木叶运动会,mu'ye'yun'dong'hui
奈良一族,nai'liang'yi'zu
男男术,nan'nan'shu
泥地之国,ni'di'zhi'guo
鸟之国,niao'zhi'guo
女女术,nv'nv'shu
旗木一族,qi'mu'yi'zu
七尾重明,qi'wei'zhong'ming
千手一族,qian'shou'yi'zu
亲热暴力,qin're'bao'li
亲热攻略,qin're'gong'lue
亲热天堂,qin're'tian'tang
秋道丁次,qiu'dao'ding'ci
秋道一族,qiu'dao'yi'zu
犬冢牙,quan'zhong'ya
犬冢一族,quan'zhong'yi'zu
忍僧,ren'seng
忍寺,ren'si
忍者五大国,ren'zhe'wu'da'guo
日向雏田,ri'xiang'chu'tian
日向宁次,ri'xiang'ning'ci
日向一族,ri'xiang'yi'zu
熔遁,rong'dun
三惧,san'ju
三日月岛的动物骚动,san'ri'yue'dao'de'dong'wu'sao'dong
三尾矶怃,san'wei'ji'wu
色诱术,se'you'shu
沙隐忍者村,sha'yin'ren'zhe'cun
山城一族,shan'cheng'yi'zu
山中一族,shan'zhong'yi'zu
上忍,shang'ren
上水流一族,shang'shui'liu'yi'zu
神鹤一族,shen'he'yi'zu
神月一族,shen'yue'yi'zu
十尾瞳兽,shi'wei'tong'shou
石之国,shi'zhi'guo
水遁,shui'dun
水无月一族,shui'wu'yue'yi'zu
水之国,shui'zhi'guo
四尾鼠鲛,si'wei'shu'jiao
榻榻米伊瓦西,ta'ta'mi'yi'wa'xi
特别上忍,te'bie'shang'ren
天天,tian'tian
田之国,tian'zhi'guo
土遁,tu'dun
土之国,tu'zhi'guo
土蜘蛛一族,tu'zhi'zhu'yi'zu
涡之国,wo'zhi'guo
五尾彭侯,wu'wei'peng'hou
雾隐忍者村,wu'yin'ren'zhe'cun
下忍,xia'ren
小樹樹,xiao'shu'shu
邪忍,xie'ren
星忍者村,xing'ren'zhe'cun
熊之国,xiong'zhi'guo
漩涡九品,xuan'wo'jiu'pin
漩涡鸣人,xuan'wo'ming'ren
漩涡一族,xuan'wo'yi'zu
雪姬忍法帖,xue'ji'ren'fa'tie
血继淘汰,xue'ji'tao'tai
血继限界,xue'ji'xian'jie
雪忍者村,xue'ren'zhe'cun
雪之国,xue'zhi'guo
寻找红色四叶草,xun'zhao'hong'se'si'ye'cao
牙之国,ya'zhi'guo
炎遁,yan'dun
烟忍者村,yan'ren'zhe'cun
岩隐忍者村,yan'yin'ren'zhe'cun
耀夜一族,yao'ye'yi'zu
夜月一族,ye'yue'yi'zu
一乐拉面馆,yi'le'la'mian'guan
医疗班,yi'liao'ban
医疗忍者,yi'liao'ren'zhe
一尾守鹤,yi'wei'shou'he
