按规定,an'gui'ding
安全间距,an'quan'jian'ju
安全教育,an'quan'jiao'yu
安全生产,an'quan'sheng'chan
安全生产规律,an'quan'sheng'chan'gui'lv
安设,an'she
扳向,ban'xiang
保持,bao'chi
保养,bao'yang
保证,bao'zheng
避免,bi'mian
闭塞,bi'se
边坡清筛机,bian'po'qing'shai'ji
标记,biao'ji
标志,biao'zhi
标准图,biao'zhun'tu
拨道,bo'dao
拨道量,bo'dao'liang
不畅,bu'chang
部分,bu'fen
不良,bu'liang
操作人员,cao'zuo'ren'yuan
测量,ce'liang
侧向,ce'xiang
拆换,chai'huan
拆开,chai'kai
拆下,chai'xia
超高,chao'gao
超过,chao'guo
车顶,che'ding
车间主任,che'jian'zhu'ren
车辆,che'liang
车门,che'men
车务部门,che'wu'bu'men
车站,che'zhan
车站值班员,che'zhan'zhi'ban'yuan
车站作业,che'zhan'zuo'ye
车组,che'zu
成段更换,cheng'duan'geng'huan
乘务员,cheng'wu'yuan
成组更换,cheng'zu'geng'huan
尺寸,chi'cun
打磨机,da'mo'ji
大型,da'xing
大型养路机械,da'xing'yang'lu'ji'xie
带电,dai'dian
单机,dan'ji
单开道岔,dan'kai'dao'cha
单线,dan'xian
道岔,dao'cha
道岔后端,dao'cha'hou'duan
道岔前端,dao'cha'qian'duan
道岔辙叉,dao'cha'zhe'cha
道岔转辙,dao'cha'zhuan'zhe
道尺,dao'chi
道床,dao'chuang
道机联控,dao'ji'lian'kong
道口,dao'kou
道口看守,dao'kou'kan'shou
道口设备,dao'kou'she'bei
导曲轨,dao'qu'gui
导曲线,dao'qu'xian
导线,dao'xian
道砟,dao'zha
地点,di'dian
地段,di'duan
递减,di'jian
递减率,di'jian'lv
电焊机,dian'han'ji
电路,dian'lu
电气化,dian'qi'hua
电务,dian'wu
调查,diao'cha
调换,diao'huan
定期检查,ding'qi'jian'cha
动车组列车,dong'che'zu'lie'che
冻结接头,dong'jie'jie'tou
独自运行,du'zi'yun'xing
断缝,duan'feng
断缝值,duan'feng'zhi
断开,duan'kai
对称道岔,dui'chen'dao'cha
堆高,dui'gao
反方向,fan'fang'xiang
范围,fan'wei
防范措施,fang'fan'cuo'shi
防护,fang'hu
防护设备,fang'hu'she'bei
防护员,fang'hu'yuan
防患于未然,fang'huan'yu'wei'ran
方可,fang'ke
防溜措施,fang'liu'cuo'shi
防溜器具,fang'liu'qi'ju
方向,fang'xiang
放行,fang'xing
方针,fang'zhen
放置,fang'zhi
非工作边,fei'gong'zuo'bian
非自动闭塞,fei'zi'dong'bi'se
分解,fen'jie
封锁,feng'suo
封锁线路,feng'suo'xian'lu
符合,fu'he
负责人,fu'ze'ren
钢轨,gang'gui
钢轨高度,gang'gui'gao'du
岗位,gang'wei
高低,gao'di
高度,gao'du
各自,ge'zi
跟端,gen'duan
更换,geng'huan
供电,gong'dian
供电部门,gong'dian'bu'men
工电配合,gong'dian'pei'he
供电人员,gong'dian'ren'yuan
工机具,gong'ji'ju
工务,gong'wu
工务安全,gong'wu'an'quan
工务部门,gong'wu'bu'men
工务轨道车,gong'wu'gui'dao'che
工务机械车,gong'wu'ji'xie'che
工务人员,gong'wu'ren'yuan
工务设备,gong'wu'she'bei
工长,gong'zhang
工作边,gong'zuo'bian
固定型,gu'ding'xing
故障,gu'zhang
刮碰,gua'peng
贯彻执行,guan'che'zhi'xing
关好,guan'hao
管理值,guan'li'zhi
贯通地线,guan'tong'di'xian
轨道,gui'dao
轨道车,gui'dao'che
轨道电路,gui'dao'dian'lu
轨道检查仪,gui'dao'jian'cha'yi
轨道结构,gui'dao'jie'gou
规定,gui'ding
轨端连接线,gui'duan'lian'jie'xian
轨缝,gui'feng
轨距,gui'ju
轨头,gui'tou
轨温,gui'wen
轨向,gui'xiang
轨枕,gui'zhen
国家铁路,guo'jia'tie'lu
焊缝,han'feng
焊复,han'fu
焊接,han'jie
焊接修复,han'jie'xiu'fu
夯拍,hang'pai
合格证书,he'ge'zheng'shu
红色信,hong'se'xin
后防护,hou'fang'hu
护轨,hu'gui
护轨轮缘槽,hu'gui'lun'yuan'cao
恢复,hui'fu
回流线,hui'liu'xian
基本轨,ji'ben'gui
基本职责,ji'ben'zhi'ze
基长,ji'chang
机车,ji'che
几何,ji'he
几何尺寸,ji'he'chi'cun
机具,ji'ju
级维修,ji'wei'xiu
机械车,ji'xie'che
夹板,jia'ban
加宽,jia'kuan
加强,jia'qiang
驾驶室,jia'shi'shi
加锁固定,jia'suo'gu'ding
检查,jian'cha
监督检查,jian'du'jian'cha
间隔,jian'ge
间隔铁式,jian'ge'tie'shi
尖轨,jian'gui
尖轨跟端,jian'gui'gen'duan
尖轨尖端,jian'gui'jian'duan
监护,jian'hu
减速,jian'su
检修,jian'xiu
建筑限界,jian'zhu'xian'jie
降温,jiang'wen
交叉渡线,jiao'cha'du'xian
交分道岔,jiao'fen'dao'cha
胶接,jiao'jie
胶接绝缘,jiao'jie'jue'yuan
接触,jie'chu
接触网,jie'chu'wang
接地线,jie'di'xian
截面积,jie'mian'ji
结束作业,jie'shu'zuo'ye
解体作业,jie'ti'zuo'ye
接头,jie'tou
紧急,jin'ji
金属结构物,jin'shu'jie'gou'wu
进行,jin'xing
进站,jin'zhan
经常,jing'chang
警冲标,jing'chong'biao
静态,jing'tai
锯轨机,ju'gui'ji
锯口,ju'kou
距离,ju'li
绝缘,jue'yuan
可动心,ke'dong'xin
跨区间,kua'qu'jian
宽度,kuan'du
来车,lai'che
累计,lei'ji
犁板,li'ban
离缝,li'feng
连挂,lian'gua
连接,lian'jie
连接方法,lian'jie'fang'fa
联控,lian'kong
联系,lian'xi
连续碎弯,lian'xu'sui'wan
两端,liang'duan
两端节间,liang'duan'jie'jian
两股,liang'gu
良好,liang'hao
瞭望,liao'wang
列车,lie'che
列车调度,lie'che'diao'du
邻近,lin'jin
临时,lin'shi
邻线,lin'xian
菱形交叉,ling'xing'jiao'cha
轮缘槽,lun'yuan'cao
落实,luo'shi
螺栓,luo'shuan
慢行,man'xing
满足,man'zu
灭火器具,mie'huo'qi'ju
内股,nei'gu
年度,nian'du
拧紧,ning'jin
排列顺序,pai'lie'shun'xu
跑道,pao'dao
配合作业,pei'he'zuo'ye
培训,pei'xun
配砟车,pei'zha'che
配砟整形车,pei'zha'zheng'xing'che
偏差,pian'cha
平整稳固,ping'zheng'wen'gu
普速铁路,pu'su'tie'lu
起道,qi'dao
起钉器,qi'ding'qi
起复设备,qi'fu'she'bei
气温,qi'wen
起重,qi'zhong
前顺坡终点,qian'shun'po'zhong'dian
抢修,qiang'xiu
桥隧,qiao'sui
切除,qie'chu
切割,qie'ge
切轨机,qie'gui'ji
侵入,qin'ru
清筛,qing'shai
清筛机,qing'shai'ji
取得,qu'de
区段,qu'duan
曲股,qu'gu
曲股接头,qu'gu'jie'tou
区间,qu'jian
曲线,qu'xian
确认,que'ren
人身安全,ren'shen'an'quan
人员,ren'yuan
日常检修,ri'chang'jian'xiu
容许,rong'xu
三角坑,san'jiao'keng
上岗,shang'gang
伤损,shang'sun
设备,she'bei
设备管理,she'bei'guan'li
设计图,she'ji'tu
设置,she'zhi
施工,shi'gong
实际,shi'ji
时间,shi'jian
实施,shi'shi
手续,shou'xu
双线,shuang'xian
水平,shui'ping
顺坡,shun'po
顺坡连挂,shun'po'lian'gua
顺向,shun'xiang
速度,su'du
锁定轨温,suo'ding'gui'wen
塔杆接地线,ta'gan'jie'di'xian
抬高量,tai'gao'liang
探出,tan'chu
提高,ti'gao
填满,tian'man
条件,tiao'jian
调整,tiao'zheng
调至,tiao'zhi
铁路,tie'lu
铁路公安,tie'lu'gong'an
铁路公司,tie'lu'gong'si
铁路局,tie'lu'ju
停车,ting'che
停车手信号,ting'che'shou'xin'hao
停车信号,ting'che'xin'hao
停车信号牌,ting'che'xin'hao'pai
停电,ting'dian
铜连接线,tong'lian'jie'xian
通信,tong'xin
通知,tong'zhi
突发性,tu'fa'xing
外单位作业,wai'dan'wei'zuo'ye
外股,wai'gu
完毕,wan'bi
弯头撬棍,wan'tou'qiao'gun
弯折刨切,wan'zhe'bao'qie
危及,wei'ji
未经,wei'jing
维修天窗,wei'xiu'tian'chuang
维修作业,wei'xiu'zuo'ye
位置,wei'zhi
