阿唎耶,a'li'ye
阿罗嘇,a'luo'can
阿穆佉耶,a'mu'qu'ye
阿婆卢醯,a'po'lu'xi
阿逝孕,a'shi'yun
阿悉陀夜,a'xi'tuo'ye
跋陀耶,ba'tuo'ye
波陀摩,bo'tuo'mo
波夜摩那,bo'ye'mo'na
怛侄他,da'zhi'ta
地唎尼,di'li'ni
地利瑟尼那,di'li'se'ni'na
豆输朋,dou'shu'peng
度卢度卢,du'lu'du'lu
哆罗夜,duo'luo'ye
罚闍耶帝,fa'du'ye'di
罚摩罗,fa'mo'luo
罚沙罚参,fa'sha'fa'can
佛罗舍利,fo'luo'she'li
佛罗舍耶,fo'luo'she'ye
喝罗怛那,he'luo'da'na
呼嚧呼嚧摩罗,hu'lu'hu'lu'mo'luo
呼嚧呼嚧醯利,hu'lu'hu'lu'xi'li
迦罗帝,jia'luo'di
羯蒙,jie'meng
羯悉陀夜,jie'xi'tuo'ye
唎驮孕俱卢俱卢,li'tuo'yun'ju'lu'ju'lu
卢迦帝,lu'jia'di
漫多罗,man'duo'luo
弥帝唎夜,mi'di'li'ye
摩罚特豆,mo'fa'te'dou
摩诃罚闍耶帝,mo'he'fa'du'ye'di
摩诃迦卢尼迦耶,mo'he'jia'lu'ni'jia'ye
摩诃菩提萨埵萨婆萨婆,mo'he'pu'ti'sa'duo'sa'po'sa'po
摩诃萨埵婆耶,mo'he'sa'duo'po'ye
摩诃悉陀夜,mo'he'xi'tuo'ye
摩罗摩罗摩醯摩醯,mo'luo'mo'luo'mo'xi'mo'xi
摩罗那罗,mo'luo'na'luo
摩麽,mo'mo
摩婆利,mo'po'li
穆帝隶,mu'di'li
那罗谨墀,na'luo'jin'chi
南无,na'mo
南无阿唎耶,na'mo'a'li'ye
南无喝罗怛那哆罗夜耶,na'mo'he'luo'da'na'duo'luo'ye'ye
那摩婆伽,na'mo'po'jia
那摩婆萨哆,na'mo'po'sa'duo
南无悉吉栗埵,na'mo'xi'ji'li'duo
皤伽罗耶,po'jia'luo'ye
婆卢吉帝,po'lu'ji'di
婆嚧吉帝,po'lu'ji'di
婆卢羯帝,po'lu'jie'di
菩提萨埵婆耶,pu'ti'sa'duo'po'ye
菩提夜,pu'ti'ye
菩驮夜,pu'tuo'ye
萨婆阿他,sa'po'a'ta
萨皤罗罚曳,sa'po'luo'fa'ye
萨婆萨哆,sa'po'sa'duo
胜羯罗夜,sheng'jie'luo'ye
室佛罗愣驮婆,shi'fo'luo'leng'tuo'po
室佛罗耶,shi'fo'luo'ye
室那室那,shi'na'shi'na
室皤罗耶,shi'po'luo'ye
数怛那怛写,shu'da'na'da'xie
烁钵罗耶,shuo'bo'luo'ye
烁皤罗夜,shuo'po'luo'ye
苏嚧苏嚧,su'lu'su'lu
娑罗娑罗,suo'luo'suo'luo
娑婆诃,suo'po'he
娑婆摩诃,suo'po'mo'he
陀罗陀罗,tuo'luo'tuo'luo
悉殿都,xi'dian'dou
醯利摩诃皤哆沙咩,xi'li'mo'he'po'duo'sha'mie
悉唎悉唎,xi'li'xi'li
悉罗僧,xi'luo'seng
悉陀夜,xi'tuo'ye
悉陀喻艺,xi'tuo'yu'yi
伊蒙阿唎耶,yi'meng'a'li'ye
夷醯唎,yi'xi'li
伊醯伊醯,yi'xi'yi'xi
者吉罗,zhe'ji'luo
遮罗遮罗,zhe'luo'zhe'luo
