办水卡,ban'shui'ka
北院,bei'yuan
避风塘,bi'feng'tang
博硕网吧,bo'shuo'wang'ba
操场门口打印店,cao'chang'men'kou'da'yin'dian
德福隆,de'fu'long
电阅,dian'yue
歌友汇,ge'you'hui
管科,guan'ke
汉科电脑,han'ke'dian'nao
河北地质学院,he'bei'di'zhi'xue'yuan
华北地质经济大学,hua'bei'di'zhi'jing'ji'da'xue
槐安路,huai'an'lu
惠丰园,hui'feng'yuan
惠五,hui'wu
惠馨园,hui'xin'yuan
惠馨园一楼,hui'xin'yuan'yi'lou
教二,jiao'er
教三,jiao'san
教一,jiao'yi
教一收发室,jiao'yi'shou'fa'shi
金剪,jin'jian
金融博物馆,jin'rong'bo'wu'guan
旧食堂,jiu'shi'tang
旧食堂二楼,jiu'shi'tang'er'lou
旧食堂清真二楼,jiu'shi'tang'qing'zhen'er'lou
旧食堂中门,jiu'shi'tang'zhong'men
眷八,juan'ba
眷二,juan'er
眷九,juan'jiu
眷六,juan'liu
眷七,juan'qi
眷三,juan'san
眷十,juan'shi
眷四,juan'si
眷五,juan'wu
眷一,juan'yi
开水房二楼,kai'shui'fang'er'lou
勘技,kan'ji
恐龙博物馆,kong'long'bo'wu'guan
孔子像,kong'zi'xiang
领航,ling'hang
旅管,lv'guan
马哲,ma'zhe
毛概,mao'gai
美人妆,mei'ren'zhuang
南院,nan'yuan
桥这边,qiao'zhe'bian
三元书店,san'yuan'shu'dian
圣安驾校,sheng'an'jia'xiao
石家庄经济学院,shi'jia'zhuang'jing'ji'xue'yuan
石经院,shi'jing'yuan
实验楼,shi'yan'lou
添翼教育,tian'yi'jiao'yu
文灯,wen'deng
文都,wen'du
湘雅,xiang'ya
小强电子,xiao'qiang'dian'zi
新食堂,xin'shi'tang
学八,xue'ba
学二,xue'er
学九,xue'jiu
学六,xue'liu
学六小超市,xue'liu'xiao'chao'shi
学七,xue'qi
学三,xue'san
学十,xue'shi
学十二,xue'shi'er
学十三,xue'shi'san
学十一,xue'shi'yi
学四,xue'si
学五,xue'wu
学一,xue'yi
燕赵驾校,yan'zhao'jia'xiao
营协,ying'xie
英雄天地,ying'xiong'tian'di
张三疯奶茶,zhang'san'feng'nai'cha
主楼,zhu'lou
主楼广场,zhu'lou'guang'chang
综合楼,zong'he'lou
