阿鼻地狱,a'bi'di'yu
阿娇金屋,a'jiao'jin'wu
阿毗地狱,a'pi'di'yu
阿平绝倒,a'ping'jue'dao
哀哀父母,ai'ai'fu'mu
哀哀欲绝,ai'ai'yu'jue
爱别离苦,ai'bie'li'ku
哀兵必胜,ai'bing'bi'sheng
爱不忍释,ai'bu'ren'shi
爱不释手,ai'bu'shi'shou
爱才如渴,ai'cai'ru'ke
爱才如命,ai'cai'ru'ming
爱财如命,ai'cai'ru'ming
爱才若渴,ai'cai'ruo'ke
挨冻受饿,ai'dong'shou'e
哀而不伤,ai'er'bu'shang
挨风缉缝,ai'feng'ji'feng
爱富嫌贫,ai'fu'xian'pin
哀感天地,ai'gan'tian'di
哀感顽艳,ai'gan'wan'yan
哀感中年,ai'gan'zhong'nian
哀告宾服,ai'gao'bin'fu
爱国如家,ai'guo'ru'jia
爱鹤失众,ai'he'shi'zhong
哀鸿遍地,ai'hong'bian'di
哀鸿遍野,ai'hong'bian'ye
哀毁骨立,ai'hui'gu'li
挨肩并足,ai'jian'bing'zu
挨肩擦膀,ai'jian'ca'bang
挨肩擦背,ai'jian'ca'bei
挨肩搭背,ai'jian'da'bei
挨肩叠背,ai'jian'die'bei
挨肩迭背,ai'jian'die'bei
哀梨蒸食,ai'li'zheng'shi
挨门逐户,ai'men'zhu'hu
騃女痴儿,ai'nv'chi'er
騃女痴男,ai'nv'chi'nan
蔼然可亲,ai'ran'ke'qin
蔼然仁者,ai'ran'ren'zhe
矮人观场,ai'ren'guan'chang
矮人看场,ai'ren'kan'chang
矮人看戏,ai'ren'kan'xi
挨三顶五,ai'san'ding'wu
唉声叹气,ai'sheng'tan'qi
嗳声叹气,ai'sheng'tan'qi
哀丝豪竹,ai'si'hao'zhu
哀思如潮,ai'si'ru'chao
哀天叫地,ai'tian'jiao'di
騃童钝夫,ai'tong'dun'fu
哀痛欲绝,ai'tong'yu'jue
矮子观场,ai'zi'guan'chang
矮子看戏,ai'zi'kan'xi
博古通今,bo'gu'tong'jin
博览古今,bo'lan'gu'jin
博览群书,bo'lan'qun'shu
博览五车,bo'lan'wu'che
博洽多闻,bo'qia'duo'wen
博识多通,bo'shi'duo'tong
博施济众,bo'shi'ji'zhong
博士买驴,bo'shi'mai'lv
博硕肥腯,bo'shuo'fei'tu
博通经籍,bo'tong'jing'ji
博闻辩言,bo'wen'bian'yan
博闻强记,bo'wen'qiang'ji
博闻强识,bo'wen'qiang'zhi
博文约礼,bo'wen'yue'li
城北徐公,cheng'bei'xu'gong
城狐社鼠,cheng'hu'she'shu
城门鱼殃,cheng'men'yu'yang
城下之盟,cheng'xia'zhi'meng
城下之辱,cheng'xia'zhi'ru
端本澄源,duan'ben'cheng'yuan
端本正源,duan'ben'zheng'yuan
断壁残垣,duan'bi'can'yuan
断壁颓垣,duan'bi'tui'yuan
断编残简,duan'bian'can'jian
短兵接战,duan'bing'jie'zhan
短兵相接,duan'bing'xiang'jie
断长补短,duan'chang'bu'duan
断长续短,duan'chang'xu'duan
短吃少穿,duan'chi'shao'chuan
短刀直入,duan'dao'zhi'ru
断脰决腹,duan'dou'jue'fu
断发文身,duan'fa'wen'shen
断发纹身,duan'fa'wen'shen
断根绝种,duan'gen'jue'zhong
断梗飞蓬,duan'geng'fei'peng
断梗浮萍,duan'geng'fu'ping
短绠汲深,duan'geng'ji'shen
断梗飘蓬,duan'geng'piao'peng
断梗飘萍,duan'geng'piao'ping
断管残沈,duan'guan'can'shen
断鬼除妖,duan'gui'chu'yao
断珪缺璧,duan'gui'que'bi
断圭碎璧,duan'gui'sui'bi
断褐不全,duan'he'bu'quan
短褐不完,duan'he'bu'wan
短褐穿结,duan'he'chuan'jie
断鹤续凫,duan'he'xu'fu
短见薄识,duan'jian'bo'shi
端倪可察,duan'ni'ke'cha
端人正士,duan'ren'zheng'shi
短寿促命,duan'shou'cu'ming
短叹长吁,duan'tan'chang'xu
短小精悍,duan'xiao'jing'han
短吁长叹,duan'xu'chang'tan
短衣匹马,duan'yi'pi'ma
短垣自逾,duan'yuan'zi'yu
短中取长,duan'zhong'qu'chang
伐冰之家,fa'bing'zhi'jia
罚不当罪,fa'bu'dang'zui
法不阿贵,fa'bu'e'gui
法不徇情,fa'bu'xun'qing
罚不责众,fa'bu'ze'zhong
发不治众,fa'bu'zhi'zhong
发财致富,fa'cai'zhi'fu
发策决科,fa'ce'jue'ke
法出多门,fa'chu'duo'men
法出一门,fa'chu'yi'men
发短心长,fa'duan'xin'chang
发凡起例,fa'fan'qi'li
发奋蹈厉,fa'fen'dao'li
发愤图强,fa'fen'tu'qiang
发愤忘食,fa'fen'wang'shi
发奋为雄,fa'fen'wei'xiong
发奋展布,fa'fen'zhan'bu
发愤自励,fa'fen'zi'li
发愤自雄,fa'fen'zi'xiong
伐功矜能,fa'gong'jin'neng
发瞽披聋,fa'gu'pi'long
