暗裂,an'lie
半明料,ban'ming'liao
边角料,bian'jiao'liao
扁条镯,bian'tiao'zhuo
冰豆种,bing'dou'zhong
冰糯种,bing'nuo'zhong
冰种,bing'zhong
玻璃种,bo'li'zhong
春带彩,chun'dai'cai
蛋面,dan'mian
底子干净,di'zi'gan'jing
豆种,dou'zhong
豆紫,dou'zi
肥料,fei'liao
粉紫,fen'zi
高冰种,gao'bing'zhong
贵妃镯,gui'fei'zhuo
戒面,jie'mian
金镶玉,jin'xiang'yu
蓝紫,lan'zi
裂纹,lie'wen
马鞍面,ma'an'mian
明料,ming'liao
明裂,ming'lie
糯种,nuo'zhong
起胶,qi'jiao
起荧,qi'ying
浅表裂,qian'biao'lie
茄紫,qie'zi
石纹,shi'wen
水头,shui'tou
纹裂,wen'lie
无纹裂,wu'wen'lie
细豆种,xi'dou'zhong
细糯种,xi'nuo'zhong
纤维变晶结构,xian'wei'bian'jing'jie'gou
纤维柱粒交织结构,xian'wei'zhu'li'jiao'zhi'jie'gou
纤维柱状交织结构,xian'wei'zhu'zhuang'jiao'zhi'jie'gou
絮状棉,xu'zhuang'mian
雪花棉,xue'hua'mian
艳紫,yan'zi
银镶挂件,yin'xiang'gua'jian
油青种,you'qing'zhong
圆条镯,yuan'tiao'zhuo
种地细腻,zhong'di'xi'ni
种水色,zhong'shui'se
种水色底工瑕,zhong'shui'se'di'gong'xia
镯臂,zhuo'bi
镯内外壁,zhuo'nei'wai'bi
镯芯料,zhuo'xin'liao
