暗井,an'jing
安全技术措施,an'quan'ji'shu'cuo'shi
保安煤柱,bao'an'mei'zhu
本科,ben'ke
避灾路线,bi'zai'lu'xian
变形,bian'xing
编制采掘工作面作业规程,bian'zhi'cai'jue'gong'zuo'mian'zuo'ye'gui'cheng
薄煤层,bo'mei'ceng
采出率,cai'chu'lv
采矿工程,cai'kuang'gong'cheng
采煤方法,cai'mei'fang'fa
采煤方法和回采工艺,cai'mei'fang'fa'he'hui'cai'gong'yi
采区车场设计,cai'qu'che'chang'she'ji
采区巷道布置,cai'qu'hang'dao'bu'zhi
车场,che'chang
车场设计,che'chang'she'ji
撤架,che'jia
冲积矿压,chong'ji'kuang'ya
第八章,di'ba'zhang
底板,di'ban
地表沉陷,di'biao'chen'xian
第二章,di'er'zhang
底臌,di'gu
第九章,di'jiu'zhang
地理位置,di'li'wei'zhi
第六章,di'liu'zhang
第七章,di'qi'zhang
第三章,di'san'zhang
第四章,di'si'zhang
第五章,di'wu'zhang
地形特征,di'xing'te'zheng
第一章,di'yi'zhang
地应力,di'ying'li
地质灾害,di'zhi'zai'hai
电导率成像系统,dian'dao'lv'cheng'xiang'xi'tong
电阻应变仪,dian'zu'ying'bian'yi
顶板,ding'ban
顶板事故,ding'ban'shi'gu
顶煤,ding'mei
硐室,dong'shi
动压,dong'ya
断层,duan'ceng
放采工作面,fang'cai'gong'zuo'mian
防砂煤柱,fang'sha'mei'zhu
防水煤柱,fang'shui'mei'zhu
复合顶板,fu'he'ding'ban
服务年限,fu'wu'nian'xian
概算矿井通风费用,gai'suan'kuang'jing'tong'feng'fei'yong
高产高效,gao'chan'gao'xiao
割煤机,ge'mei'ji
工农业发展,gong'nong'ye'fa'zhan
工人职业病,gong'ren'zhi'ye'bing
刮板机,gua'ban'ji
含水层,han'shui'ceng
巷道,hang'dao
合理性,he'li'xing
河流湖泊,he'liu'hu'po
厚冲积层,hou'chong'ji'ceng
厚煤层,hou'mei'ceng
回风巷,hui'feng'xiang
回收率,hui'shou'lv
火成岩,huo'cheng'yan
火灾的措施,huo'zai'de'cuo'shi
机采工作面,ji'cai'gong'zuo'mian
机电,ji'dian
机电事故,ji'dian'shi'gu
极限平衡区,ji'xian'ping'heng'qu
急斜煤层,ji'xie'mei'ceng
绞车房,jiao'che'fang
胶带输送机,jiao'dai'shu'song'ji
交通情况,jiao'tong'qing'kuang
解放层,jie'fang'ceng
井底车场,jing'di'che'chang
井田,jing'tian
井田地质特征,jing'tian'di'zhi'te'zheng
井田工业储量,jing'tian'gong'ye'chu'liang
井田境界,jing'tian'jing'jie
井田境界和储量,jing'tian'jing'jie'he'chu'liang
井田开拓,jing'tian'kai'tuo
井田可采储量,jing'tian'ke'cai'chu'liang
井筒,jing'tong
井下,jing'xia
开采沉陷,kai'cai'chen'xian
开拓,kai'tuo
勘探程度,kan'tan'cheng'du
可靠性,ke'kao'xing
可行性,ke'xing'xing
坑口电厂,keng'kou'dian'chang
垮落带,kua'luo'dai
矿井,kuang'jing
矿井风量计算与分配,kuang'jing'feng'liang'ji'suan'yu'fen'pei
矿井工作制度,kuang'jing'gong'zuo'zhi'du
矿井基本巷道,kuang'jing'ji'ben'hang'dao
矿井基本技术经济指标,kuang'jing'ji'ben'ji'shu'jing'ji'zhi'biao
矿井情况,kuang'jing'qing'kuang
矿井设计生产能力,kuang'jing'she'ji'sheng'chan'neng'li
矿井通风设计,kuang'jing'tong'feng'she'ji
矿井通风系统,kuang'jing'tong'feng'xi'tong
