癌基因,ai'ji'yin
氨基酸,an'ji'suan
胞嘧啶,bao'mi'ding
保守序列,bao'shou'xu'lie
病毒,bing'du
常染色体,chang'ran'se'ti
重组克隆,chong'zu'ke'long
串联重复序列,chuan'lian'chong'fu'xu'lie
大肠杆菌,da'chang'gan'jun
蛋白质,dan'bai'zhi
单倍体,dan'bei'ti
单基因病,dan'ji'yin'bing
等位基因,deng'wei'ji'yin
电泳技术,dian'yong'ji'shu
端粒,duan'li
多基因病,duo'ji'yin'bing
多聚酶,duo'ju'mei
多聚酶链式反应,duo'ju'mei'lian'shi'fan'ying
多态性,duo'tai'xing
翻译,fan'yi
分裂间期,fen'lie'jian'qi
核苷酸,he'gan'suan
核糖核酸,he'tang'he'suan
核糖体,he'tang'ti
互补序列,hu'bu'xu'lie
基因,ji'yin
基因表达,ji'yin'biao'da
基因产物,ji'yin'chan'wu
基因家族,ji'yin'jia'zu
基因图谱,ji'yin'tu'pu
基因治疗,ji'yin'zhi'liao
基因组,ji'yin'zu
基因组计划,ji'yin'zu'ji'hua
基因组文库,ji'yin'zu'wen'ku
碱基对,jian'ji'dui
碱基序列,jian'ji'xu'lie
碱基序列分析,jian'ji'xu'lie'fen'xi
减数分裂,jian'shu'fen'lie
结构域,jie'gou'yu
克隆,ke'long
克隆矩阵,ke'long'ju'zhen
克隆库,ke'long'ku
克隆载体,ke'long'zai'ti
扩增,kuo'zeng
厘摩,li'mo
连锁关系,lian'suo'guan'xi
连锁图谱,lian'suo'tu'pu
邻接片段,lin'jie'pian'duan
邻接图谱,lin'jie'tu'pu
流式细胞术,liu'shi'xi'bao'shu
酶切图谱,mei'qie'tu'pu
酶切位点,mei'qie'wei'dian
嘧啶,mi'ding
内含子,nei'han'zi
内切核酸酶,nei'qie'he'suan'mei
鸟嘌呤,niao'piao'ling
鸟枪法,niao'qiang'fa
配子,pei'zi
嘌呤,piao'ling
启动子,qi'dong'zi
染色体,ran'se'ti
染色体组型,ran'se'ti'zu'xing
人类基因组行动计划,ren'lei'ji'yin'zu'xing'dong'ji'hua
生物信息学,sheng'wu'xin'xi'xue
噬菌粒,shi'jun'li
噬菌体,shi'jun'ti
双倍体,shuang'bei'ti
双螺旋,shuang'luo'xuan
四分体时期,si'fen'ti'shi'qi
探针,tan'zhen
体细胞,ti'xi'bao
调控序列,tiao'kong'xu'lie
同源染色体,tong'yuan'ran'se'ti
同源性,tong'yuan'xing
突变,tu'bian
脱氧核糖核酸,tuo'yang'he'tang'he'suan
外切酶,wai'qie'mei
外显子,wai'xian'zi
文库,wen'ku
物理图谱,wu'li'tu'pu
细胞核,xi'bao'he
腺嘌呤,xian'piao'ling
限制性长度多态性,xian'zhi'xing'chang'du'duo'tai'xing
限制性内切酶,xian'zhi'xing'nei'qie'mei
性染色体,xing'ran'se'ti
序列位置标签,xu'lie'wei'zhi'biao'qian
遗传密码,yi'chuan'mi'ma
遗传学,yi'chuan'xue
引物,yin'wu
荧光原位杂交,ying'guang'yuan'wei'za'jiao
有丝分,you'si'fen
原核生物,yuan'he'sheng'wu
原位杂交,yuan'wei'za'jiao
杂和体,za'he'ti
真核生物,zhen'he'sheng'wu
质粒,zhi'li
转化,zhuan'hua
转录,zhuan'lu
着丝点,zhuo'si'dian
自显影技术,zi'xian'ying'ji'shu
