阿伊,a'yi
哀川润,ai'chuan'run
暗口崩子,an'kou'beng'zi
暗口凭衣,an'kou'ping'yi
暗口濡衣,an'kou'ru'yi
暗突,an'tu
班田玲,ban'tian'ling
病蜘蛛,bing'zhi'zhu
不协和音,bu'xie'he'yin
澄百合学院,cheng'bai'he'xue'yuan
赤色制裁,chi'se'zhi'cai
赤神奥黛特,chi'shen'ao'dai'te
赤神伊梨亚,chi'shen'yi'li'ya
春日井春日,chun'ri'jing'chun'ri
古枪头巾,gu'qiang'tou'jin
贵宫无伊实,gui'gong'wu'yi'shi
害恶细菌,hai'e'xi'jun
绘本园树,hui'ben'yuan'shu
姬菜诗鸣,ji'cai'shi'ming
姬菜真姬,ji'cai'zhen'ji
架城明乐,jia'cheng'ming'le
架空兵器,jia'kong'bing'qi
井伊橙百合,jing'yi'cheng'bai'he
玖渚友,jiu'zhu'you
玖渚直,jiu'zhu'zhi
葵井巫女子,kui'jing'wu'nv'zi
蓝川纯哉,lan'chuan'chun'zai
蓝色学者,lan'se'xue'zhe
澪标高海,ling'biao'gao'hai
澪标深空,ling'biao'shen'kong
绫南豹,ling'nan'bao
零崎曲识,ling'qi'qu'shi
零崎人识,ling'qi'ren'shi
零崎双识,ling'qi'shuang'shi
零崎轧识,ling'qi'ya'shi
零崎一贼,ling'qi'yi'zei
铃无音音,ling'wu'yin'yin
木贺峰约,mu'he'feng'yue
奇野赖知,qi'ye'lai'zhi
千贺彩,qian'he'cai
千贺光,qian'he'guang
千贺明子,qian'he'ming'zi
浅野美衣子,qian'ye'mei'yi'zi
琴弦师,qin'xian'shi
萩原子荻,qiu'yuan'zi'di
人类最恶,ren'lei'zui'e
人类最强的承包人,ren'lei'zui'qiang'de'cheng'bao'ren
人类最终,ren'lei'zui'zhong
日中凉,ri'zhong'liang
三好心视,san'hao'xin'shi
少女趣味,shao'nv'qu'wei
式岸轧骑,shi'an'ya'qi
时宫时刻,shi'gong'shi'ke
市井游马,shi'jing'you'ma
十三阶梯,shi'san'jie'ti
石丸小呗,shi'wan'xiao'bei
石凪萌太,shi'zhi'meng'tai
双重世界,shuang'chong'shi'jie
死色真红,si'se'zhen'hong
死线之蓝,si'xian'zhi'lan
汀目俊希,ting'mu'jun'xi
兔吊木垓辅,tu'diao'mu'gai'fu
危险信号,wei'xian'xin'hao
梧桐伊织,wu'tong'yi'zhi
吾友,wu'you
西东天,xi'dong'tian
西条玉藻,xi'tiao'yu'zao
西尾维新,xi'wei'wei'xin
戏言玩家,xi'yan'wan'jia
霞丘道儿,xia'qiu'dao'er
想影真心,xiang'ying'zhen'xin
小哥,xiao'ge
小姬,xiao'ji
幸村冬夏,xing'cun'dong'xia
行走逆鳞,xing'zou'ni'lin
匂宫出梦,xiong'gong'chu'meng
匂宫理澄,xiong'gong'li'cheng
悬梁高校,xuan'liang'gao'xiao
鸦濡羽,ya'ru'yu
宴九段,yan'jiu'duan
伊吹加奈美,yi'chui'jia'nai'mei
一里冢木实,yi'li'zhong'mu'shi
伊之助,yi'zhi'zhu
伊字诀,yi'zi'jue
愚神礼赞,yu'shen'li'zan
园山赤音,yuan'shan'chi'yin
圆朽叶,yuan'xiu'ye
早蕨弓矢,zao'jue'gong'shi
早蕨刃渡,zao'jue'ren'du
早蕨雉真,zao'jue'zhi'zhen
滋贺井统乃,zi'he'jing'tong'nai
紫木一姬,zi'mu'yi'ji
自杀志愿,zi'sha'zhi'yuan
佐佐沙咲,zuo'zuo'sha'xiao
