奥新,ao'xin
巴黎春天影楼,ba'li'chun'tian'ying'lou
百关加油站,bai'guan'jia'you'zhan
百货站,bai'huo'zhan
百屯,bai'tun
摆晏屯,bai'yan'tun
佰雁幼儿园,bai'yan'you'er'yuan
板桥,ban'qiao
板桥工商局,ban'qiao'gong'shang'ju
板桥古镇,ban'qiao'gu'zhen
板桥国土所,ban'qiao'guo'tu'suo
保山电大,bao'shan'dian'da
保山电视台,bao'shan'dian'shi'tai
保山福利驾校,bao'shan'fu'li'jia'xiao
保山供电局,bao'shan'gong'dian'ju
保山监狱,bao'shan'jian'yu
保山客运站,bao'shan'ke'yun'zhan
保山客运中心,bao'shan'ke'yun'zhong'xin
保山市实验中学,bao'shan'shi'shi'yan'zhong'xue
保山学院,bao'shan'xue'yuan
保山盐务局,bao'shan'yan'wu'ju
保岫广场,bao'xiu'guang'chang
保一中初中部,bao'yi'zhong'chu'zhong'bu
北城春天,bei'cheng'chun'tian
北大树屯,bei'da'shu'tun
北庙水库,bei'miao'shui'ku
北庙小学,bei'miao'xiao'xue
北五环路口,bei'wu'huan'lu'kou
博通宾馆,bo'tong'bin'guan
布兰奇洗衣店,bu'lan'qi'xi'yi'dian
岔河,cha'he
岔路,cha'lu
晨锋宾馆,chen'feng'bin'guan
陈官屯,chen'guan'tun
陈家屯,chen'jia'tun
大北门,da'bei'men
大堡子,da'bu'zi
大堡子小学,da'bu'zi'xiao'xue
大茨坪,da'ci'ping
大村,da'cun
大官庙,da'guan'miao
大河拍卖,da'he'pai'mai
大梨树,da'li'shu
大沙河,da'sha'he
大树屯小学,da'shu'tun'xiao'xue
打渔村,da'yu'cun
打渔小学,da'yu'xiao'xue
代官屯,dai'guan'tun
第二人民医院,di'er'ren'min'yi'yuan
地交通局,di'jiao'tong'ju
第六中学,di'liu'zhong'xue
第七小学,di'qi'xiao'xue
地震局,di'zhen'ju
电信大楼,dian'xin'da'lou
东方村,dong'fang'cun
董官小学,dong'guan'xiao'xue
杜家,du'jia
恩德医院,en'de'yi'yuan
飞机场,fei'ji'chang
冯家庄,feng'jia'zhuang
妇康医院,fu'kang'yi'yuan
复烤公司,fu'kao'gong'si
钢构厂,gang'gou'chang
高海村,gao'hai'cun
高桥,gao'qiao
工行分理处,gong'hang'fen'li'chu
公交汽车公司,gong'jiao'qi'che'gong'si
公路段,gong'lu'duan
工商银行,gong'shang'yin'hang
工商永昌分局,gong'shang'yong'chang'fen'ju
骨科医院,gu'ke'yi'yuan
拐角楼,guai'jiao'lou
官方九隆小区,guan'fang'jiu'long'xiao'qu
官方九隆小区对面,guan'fang'jiu'long'xiao'qu'dui'mian
官田村,guan'tian'cun
官田小学,guan'tian'xiao'xue
官屯,guan'tun
光丽双语幼儿园,guang'li'shuang'yu'you'er'yuan
国税局,guo'shui'ju
国土宾馆,guo'tu'bin'guan
海关,hai'guan
海青商贸公司,hai'qing'shang'mao'gong'si
汉营村,han'ying'cun
汉庄,han'zhuang
汉庄镇卫生院,han'zhuang'zhen'wei'sheng'yuan
汉庄中心小学,han'zhuang'zhong'xin'xiao'xue
好人家国际家居城,hao'ren'jia'guo'ji'jia'ju'cheng
河村,he'cun
何家庄,he'jia'zhuang
河上村,he'shang'cun
河图东海港湾农家园,he'tu'dong'hai'gang'wan'nong'jia'yuan
鸿宾酒店,hong'bin'jiu'dian
红茶馆,hong'cha'guan
红花村,hong'hua'cun
红叶超市,hong'ye'chao'shi
红叶超市四店,hong'ye'chao'shi'si'dian
红叶超市五店,hong'ye'chao'shi'wu'dian
胡家坝,hu'jia'ba
胡家中学,hu'jia'zhong'xue
花城宾馆,hua'cheng'bin'guan
化美村,hua'mei'cun
黄土坡,huang'tu'po
火车货运站,huo'che'huo'yun'zhan
火鸟摩托专卖,huo'niao'mo'tuo'zhuan'mai
火烧营,huo'shao'ying
济康医院,ji'kang'yi'yuan
疾控中心,ji'kong'zhong'xin
祭祀堂,ji'si'tang
贾官,jia'guan
佳河酒店,jia'he'jiu'dian
嘉顺大酒店,jia'shun'da'jiu'dian
佳新温泉,jia'xin'wen'quan
检测站,jian'ce'zhan
交通宾馆,jiao'tong'bin'guan
金鸡,jin'ji
金马中运,jin'ma'zhong'yun
金叶大厦,jin'ye'da'sha
九九名居,jiu'jiu'ming'ju
九龙超市,jiu'long'chao'shi
九隆名居鹏城,jiu'long'ming'ju'peng'cheng
九龙商场,jiu'long'shang'chang
军供站,jun'gong'zhan
看守所,kan'shou'suo
康浩公司,kang'hao'gong'si
科学技术局,ke'xue'ji'shu'ju
客运南站,ke'yun'nan'zhan
客运站,ke'yun'zhan
兰城路口,lan'cheng'lu'kou
兰都,lan'dou
兰花村,lan'hua'cun
兰鑫酒店,lan'xin'jiu'dian
郎义,lang'yi
老干活动中心,lao'gan'huo'dong'zhong'xin
梨花坞,li'hua'wu
梨园商场,li'yuan'shang'chang
灵隐寺,ling'yin'si
柳坝河,liu'ba'he
六环路口,liu'huan'lu'kou
刘家坡,liu'jia'po
柳上村,liu'shang'cun
龙马大药房,long'ma'da'yao'fang
