本草备要,ben'cao'bei'yao
本草从新,ben'cao'cong'xin
蔡小荪,cai'xiao'sun
查玉明,cha'yu'ming
晁恩祥,chao'en'xiang
巢元方,chao'yuan'fang
陈潮祖,chen'chao'zu
陈可冀,chen'ke'ji
陈崑山,chen'kun'shan
陈瑞春,chen'rui'chun
陈修园,chen'xiu'yuan
陈益昀,chen'yi'yun
成无己,cheng'wu'ji
程莘农,cheng'xin'nong
淳于意,chun'yu'yi
戴裕光,dai'yu'guang
邓铁涛,deng'tie'tao
邓亚平,deng'ya'ping
邓中甲,deng'zhong'jia
丁锷,ding'e
丁甘仁,ding'gan'ren
丁启后,ding'qi'hou
丁泽民,ding'ze'min
段富津,duan'fu'jin
樊粤光,fan'yue'guang
方和谦,fang'he'qian
方先之,fang'xian'zhi
傅青主,fu'qing'zhu
干祖望,gan'zu'wang
高桂林,gao'gui'lin
葛洪,ge'hong
葛琳仪,ge'lin'yi
龚庆宣,gong'qing'xuan
郭士魁,guo'shi'kui
郭维淮,guo'wei'huai
郭子光,guo'zi'guang
韩祗和,han'zhi'he
何任,he'ren
胡廷光,hu'ting'guang
黄煌,huang'huang
黄元御,huang'yuan'yu
济生方,ji'sheng'fang
焦树德,jiao'shu'de
金疮秘传禁方,jin'chuang'mi'chuan'jin'fang
靳瑞,jin'rui
靳三针,jin'san'zhen
孔伯华,kong'bo'hua
雷少逸,lei'shao'yi
李东垣,li'dong'yuan
李发枝,li'fa'zhi
李杲,li'gao
李介鸣,li'jie'ming
李可,li'ke
理瀹骈文,li'yue'pian'wen
李仲南,li'zhong'nan
梁勇才,liang'yong'cai
蔺道人,lin'dao'ren
林锦涛,lin'jin'tao
临证,lin'zheng
临证指南医案,lin'zheng'zhi'nan'yi'an
刘娟子鬼遗留方,liu'juan'zi'gui'yi'liu'fang
刘亚娴,liu'ya'xian
卢崇汉,lu'chong'han
陆九芝,lu'jiu'zhi
吕英,lv'ying
麻瑞亭,ma'rui'ting
孟景春,meng'jing'chun
名医别录,ming'yi'bie'lu
庞安时,pang'an'shi
蒲辅周,pu'fu'zhou
普济方,pu'ji'fang
钱秀昌,qian'xiu'chang
钱乙,qian'yi
任继学,ren'ji'xue
伤科补要,shang'ke'bu'yao
伤科汇纂,shang'ke'hui'zuan
尚天裕,shang'tian'yu
谌宁生,shen'ning'sheng
圣济总录,sheng'ji'zong'lu
施今墨,shi'jin'mo
世医得效方,shi'yi'de'xiao'fang
是斋百一选方,shi'zhai'bai'yi'xuan'fang
孙思邈,sun'si'miao
唐容川,tang'rong'chuan
唐宗海,tang'zong'hai
陶弘景,tao'hong'jing
外台秘要,wai'tai'mi'yao
王付,wang'fu
王肯堂,wang'ken'tang
王孟英,wang'meng'ying
王冕之,wang'mian'zhi
王清任,wang'qing'ren
王士雄,wang'shi'xiong
王焘,wang'tao
危亦林,wei'yi'lin
吴鞠通,wu'ju'tong
吴佩衡,wu'pei'heng
吴塘,wu'tang
吴又可,wu'you'ke
吴有性,wu'you'xing
洗冤集录,xi'yuan'ji'lu
仙授理伤续断秘方,xian'shou'li'shang'xu'duan'mi'fang
徐大椿,xu'da'chun
徐灵胎,xu'ling'tai
续名医类案,xu'ming'yi'lei'an
薛己,xue'ji
薛生白,xue'sheng'bai
薛雪,xue'xue
血证论,xue'zheng'lun
疡科心得集,yang'ke'xin'de'ji
叶桂,ye'gui
叶天士,ye'tian'shi
医案,yi'an
医话,yi'hua
医林改错,yi'lin'gai'cuo
医说,yi'shuo
医学启源,yi'xue'qi'yuan
岳美中,yue'mei'zhong
恽树珏,yun'shu'jue
恽铁樵,yun'tie'qiao
张景岳,zhang'jing'yue
张寿甫,zhang'shou'fu
张锡纯,zhang'xi'chun
张赞臣,zhang'zan'chen
赵开美,zhao'kai'mei
赵绍琴,zhao'shao'qin
郑钦安,zheng'qin'an
郑寿全,zheng'shou'quan
朱丹溪,zhu'dan'xi
朱沛文,zhu'pei'wen
朱少廉,zhu'shao'lian
祝谌予,zhu'shen'yu
祝味菊,zhu'wei'ju
朱小南,zhu'xiao'nan
