阿部道子,a'bu'dao'zi
阿澄佳奈,a'cheng'jia'nai
阿川恭子,a'chuan'gong'zi
爱河里花子,ai'he'li'hua'zi
岸博之,an'bo'zhi
安达忍,an'da'ren
安达直人,an'da'zhi'ren
安井邦彦,an'jing'bang'yan
安井絵里,an'jing'hui'li
安井绘里,an'jing'hui'li
安居升,an'ju'sheng
安藤麻吹,an'teng'ma'chui
安田美和,an'tian'mei'he
安田未央,an'tian'wei'yang
安田早希,an'tian'zao'xi
岸尾大辅,an'wei'da'fu
安西英美,an'xi'ying'mei
岸野幸正,an'ye'xing'zheng
岸野真一,an'ye'zhen'yi
岸祐二,an'you'er
安原丽子,an'yuan'li'zi
安元洋贵,an'yuan'yang'gui
奥井雅美,ao'jing'ya'mei
奥山弥生,ao'shan'mi'sheng
奥田民义,ao'tian'min'yi
奥沢菜穂子,ao'ze'cai'sui'zi
奥真纪子,ao'zhen'ji'zi
八户优,ba'hu'you
巴菁子,ba'jing'zi
八木光生,ba'mu'guang'sheng
八木田真树,ba'mu'tian'zhen'shu
八奈见乘儿,ba'nai'jian'cheng'er
八奈见乘児,ba'nai'jian'cheng'er
百百麻子,bai'bai'ma'zi
白坂道子,bai'ban'dao'zi
白仓麻,bai'cang'ma
白仓麻子,bai'cang'ma'zi
柏谷雄太,bai'gu'xiong'tai
白河真由,bai'he'zhen'you
百瀬圭,bai'lai'gui
柏木弘美,bai'mu'hong'mei
白木杏奈,bai'mu'xing'nai
白鸟由里,bai'niao'you'li
白鸟哲,bai'niao'zhe
白石冬美,bai'shi'dong'mei
白石凉子,bai'shi'liang'zi
白石涼子,bai'shi'liang'zi
白石稔,bai'shi'ren
白土麻子,bai'tu'ma'zi
白熊寛嗣,bai'xiong'kuan'si
坂本千夏,ban'ben'qian'xia
坂本真绫,ban'ben'zhen'ling
坂本梓马,ban'ben'zi'ma
板仓光隆,ban'cang'guang'long
坂场秀夫,ban'chang'xiu'fu
半场友惠,ban'chang'you'hui
板东爱,ban'dong'ai
坂诘贵之,ban'jie'gui'zhi
坂卷亮祐,ban'juan'liang'you
阪口大助,ban'kou'da'zhu
坂口候一,ban'kou'hou'yi
坂口哲夫,ban'kou'zhe'fu
阪口周平,ban'kou'zhou'ping
阪田佳代,ban'tian'jia'dai
半田雅和,ban'tian'ya'he
阪田伊都,ban'tian'yi'dou
坂田有希,ban'tian'you'xi
