八六拍,ba'liu'pai
巴洛克时期,ba'luo'ke'shi'qi
八三拍,ba'san'pai
八音,ba'yin
北狄乐,bei'di'le
倍减,bei'jian
倍增,bei'zeng
变宫,bian'gong
变徵,bian'zhi
标准音,biao'zhun'yin
成相,cheng'xiang
纯八度,chun'ba'du
纯四度,chun'si'du
纯一度,chun'yi'du
大二度,da'er'du
大六度,da'liu'du
大七度,da'qi'du
大三度,da'san'du
大三和弦,da'san'he'xian
大小七和弦,da'xiao'qi'he'xian
大字组,da'zi'zu
单符干,dan'fu'gan
单拍子,dan'pai'zi
但曲,dan'qu
导音,dao'yin
第三潮流音乐,di'san'chao'liu'yin'yue
二二拍,er'er'pai
二连音,er'lian'yin
房中乐,fang'zhong'yue
附点音符,fu'dian'yin'fu
符干,fu'gan
复拍子,fu'pai'zi
副三和弦,fu'san'he'xian
符头,fu'tou
符尾,fu'wei
副音级,fu'yin'ji
钢伴,gang'ban
歌剧,ge'ju
歌舞戏,ge'wu'xi
宫商角徵羽,gong'shang'jue'zhi'yu
鼓吹,gu'chui
古典主义时期,gu'dian'zhu'yi'shi'qi
固定调唱名法,gu'ding'tiao'chang'ming'fa
横吹,heng'chui
华尔兹,hua'er'zi
黄钟,huang'zhong
混合拍子,hun'he'pai'zi
基本音级,ji'ben'yin'ji
践耳,jian'er
减七和弦,jian'qi'he'xian
减三和弦,jian'san'he'xian
减三声,jian'san'sheng
减五度,jian'wu'du
减小七和弦,jian'xiao'qi'he'xian
简约音乐,jian'yue'yin'yue
教坊,jiao'fang
交响曲,jiao'xiang'qu
结束语,jie'shu'yu
京房十六律,jing'fang'shi'liu'lv
九歌,jiu'ge
九和弦,jiu'he'xian
浪漫主义时期,lang'man'zhu'yi'shi'qi
李重光,li'chong'guang
练耳,lian'er
临时变拍,lin'shi'bian'pai
六代乐舞,liu'dai'yue'wu
六连音,liu'lian'yin
流徵,liu'zheng
南吕,nan'lv
南音,nan'yin
偶然音乐,ou'ran'yin'yue
拼贴音乐,pin'tie'yin'yue
谱表,pu'biao
谱号,pu'hao
骑吹,qi'chui
七和弦,qi'he'xian
七连音,qi'lian'yin
七声调式,qi'sheng'diao'shi
切分音,qie'fen'yin
清唱剧,qing'chang'ju
清角,qing'jiao
清商曲,qing'shang'qu
三分损益法,san'fen'sun'yi'fa
三和弦,san'he'xian
上波音,shang'bo'yin
上滑音,shang'hua'yin
上主音,shang'zhu'yin
神剧,shen'ju
视唱,shi'chang
十二律吕,shi'er'lv'lv
世界音乐,shi'jie'yin'yue
十连音,shi'lian'yin
室内乐,shi'nei'yue
首调唱名法,shou'tiao'chang'ming'fa
属音,shu'yin
数字低音,shu'zi'di'yin
双符干,shuang'fu'gan
四二拍,si'er'pai
四六和弦,si'liu'he'xian
四四拍,si'si'pai
四夷之乐,si'yi'zhi'yue
颂乐,song'le
套曲,tao'qu
听音,ting'yin
同宫系统,tong'gong'xi'tong
同主音大小调,tong'zhu'yin'da'xiao'diao
通奏低音,tong'zou'di'yin
微分音音乐,wei'fen'yin'yin'yue
未来主义音乐,wei'lai'zhu'yi'yin'yue
唯音音乐,wei'yin'yin'yue
稳定音,wen'ding'yin
五连音,wu'lian'yin
五声调式,wu'sheng'diao'shi
吴声歌,wu'sheng'ge
西曲歌,xi'qu'ge
下波音,xia'bo'yin
下滑音,xia'hua'yin
下属音,xia'shu'yin
下中音,xia'zhong'yin
仙吕,xian'lv
相和歌,xiang'he'ge
相和三调,xiang'he'san'tiao
小二度,xiao'er'du
小六度,xiao'liu'du
小七度,xiao'qi'du
小七和弦,xiao'qi'he'xian
小三度,xiao'san'du
小三和弦,xiao'san'he'xian
小舞,xiao'wu
小字组,xiao'zi'zu
谐虐曲,xie'nue'qu
新调性音乐,xin'diao'xing'yin'yue
新古典主义音乐,xin'gu'dian'zhu'yi'yin'yue
新浪漫主义音乐,xin'lang'man'zhu'yi'yin'yue
序列音乐,xu'lie'yin'yue
旋宫,xuan'gong
宣叙调,xuan'xu'diao
雅乐,ya'yue
咽音,yan'yin
燕乐,yan'yue
夜曲,ye'qu
音级,yin'ji
印象主义时期,yin'xiang'zhu'yi'shi'qi
音乐剧,yin'yue'ju
咏叹调,yong'tan'diao
圆舞曲,yuan'wu'qu
增三和弦,zeng'san'he'xian
增四度,zeng'si'du
正宫,zheng'gong
正三和弦,zheng'san'he'xian
郑卫之音,zheng'wei'zhi'yin
正音级,zheng'yin'ji
中吕,zhong'lv
重属和弦,zhong'shu'he'xian
中音,zhong'yin
主音,zhu'yin
转调,zhuan'diao
转位,zhuan'wei
自由拍子,zi'you'pai'zi
组曲,zu'qu
