阿奎那,a'kui'na
奥古斯丁,ao'gu'si'ding
澳门特别行政区基本法,ao'men'te'bie'xing'zheng'qu'ji'ben'fa
奥斯丁,ao'si'ding
般规律,ban'gui'lv
保护工业产权巴黎公约,bao'hu'gong'ye'chan'quan'ba'li'gong'yue
保守主义,bao'shou'zhu'yi
保险,bao'xian
保险法,bao'xian'fa
保障措施条例,bao'zhang'cuo'shi'tiao'li
被告人,bei'gao'ren
本票,ben'piao
庇护,bi'hu
变更,bian'geng
辩护人,bian'hu'ren
辩护制度,bian'hu'zhi'du
卞建林,bian'jian'lin
边沁,bian'qin
标的额,biao'di'e
标的物,biao'di'wu
表决,biao'jue
博登海默,bo'deng'hai'mo
剥夺政治权利,bo'duo'zheng'zhi'quan'li
驳回,bo'hui
驳回起诉,bo'hui'qi'su
柏拉图,bo'la'tu
波普尔,bo'pu'er
波斯那,bo'si'na
不安抗辩权,bu'an'kang'bian'quan
不成文法,bu'cheng'wen'fa
不当得利,bu'dang'de'li
不动产,bu'dong'chan
布坎南,bu'kan'nan
不可分物,bu'ke'fen'wu
不可抗力,bu'ke'kang'li
不可消耗物,bu'ke'xiao'hao'wu
布莱克,bu'lai'ke
部门法,bu'men'fa
不要式行为,bu'yao'shi'xing'wei
不予受理,bu'yu'shou'li
财产保全,cai'chan'bao'quan
财产刑,cai'chan'xing
裁定,cai'ding
裁定书,cai'ding'shu
曹诗权,cao'shi'quan
曾代伟,ceng'dai'wei
产品质量法,chan'pin'zhi'liang'fa
常怡,chang'yi
撤诉,che'su
撤销,che'xiao
陈光中,chen'guang'zhong
陈桂明,chen'gui'ming
陈弘毅,chen'hong'yi
陈华彬,chen'hua'bin
陈瑞华,chen'rui'hua
陈炜恒,chen'wei'heng
陈新民,chen'xin'min
陈寅恪,chen'yin'que
陈忠林,chen'zhong'lin
城市房地产管理法,cheng'shi'fang'di'chan'guan'li'fa
诚实信用原则,cheng'shi'xin'yong'yuan'ze
成文法,cheng'wen'fa
程序,cheng'xu
程序法,cheng'xu'fa
程序正义,cheng'xu'zheng'yi
抽象行政行为,chou'xiang'xing'zheng'xing'wei
出版社,chu'ban'she
处分行为,chu'fen'xing'wei
从物,cong'wu
崔之元,cui'zhi'yuan
答辩,da'bian
大陆法系,da'lu'fa'xi
逮捕,dai'bu
贷款人,dai'kuan'ren
贷款通则,dai'kuan'tong'ze
代理,dai'li
担保法,dan'bao'fa
担保物权,dan'bao'wu'quan
单位犯罪,dan'wei'fan'zui
单位犯罪主体,dan'wei'fan'zui'zhu'ti
单行条例,dan'xing'tiao'li
当事人,dang'shi'ren
当事人适格,dang'shi'ren'shi'ge
道德,dao'de
盗窃罪,dao'qie'zui
德,de
德沃金,de'wo'jin
德主刑辅,de'zhu'xing'fu
邓,deng
邓晓芒,deng'xiao'mang
邓正来,deng'zheng'lai
第二审,di'er'shen
第二审程序,di'er'shen'cheng'xu
地方性法规,di'fang'xing'fa'gui
狄骥,di'ji
缔结条约程序法,di'jie'tiao'yue'cheng'xu'fa
抵押权,di'ya'quan
第一审,di'yi'shen
第一审程序,di'yi'shen'cheng'xu
典权,dian'quan
动产,dong'chan
冻结,dong'jie
董事会,dong'shi'hui
督促程序,du'cu'cheng'xu
杜钢建,du'gang'jian
渎职罪,du'zhi'zui
对外经济贸易部,dui'wai'jing'ji'mao'yi'bu
对外贸易法,dui'wai'mao'yi'fa
法的历史,fa'de'li'shi
法的实施,fa'de'shi'shi
法的实现,fa'de'shi'xian
法的运行,fa'de'yun'xing
法典编纂,fa'dian'bian'zuan
法定犯,fa'ding'fan
法定分类,fa'ding'fen'lei
法定继承,fa'ding'ji'cheng
法定孳息,fa'ding'zi'xi
法官,fa'guan
法官独立,fa'guan'du'li
法官法,fa'guan'fa
法官职业道德,fa'guan'zhi'ye'dao'de
法官职业道德基本准则,fa'guan'zhi'ye'dao'de'ji'ben'zhun'ze
法官职业化,fa'guan'zhi'ye'hua
法规汇编,fa'gui'hui'bian
罚金,fa'jin
法经济学,fa'jing'ji'xue
法理,fa'li
法理学,fa'li'xue
法律,fa'lv
法律本体,fa'lv'ben'ti
法律本质,fa'lv'ben'zhi
法律部门,fa'lv'bu'men
法律冲突,fa'lv'chong'tu
法律传统,fa'lv'chuan'tong
法律定义,fa'lv'ding'yi
法律法规,fa'lv'fa'gui
法律法规汇编,fa'lv'fa'gui'hui'bian
法律方法,fa'lv'fang'fa
法律概念,fa'lv'gai'nian
法律关系,fa'lv'guan'xi
法律关系客体,fa'lv'guan'xi'ke'ti
法律关系主体,fa'lv'guan'xi'zhu'ti
法律规避,fa'lv'gui'bi
法律规则,fa'lv'gui'ze
法律继承,fa'lv'ji'cheng
法律价值,fa'lv'jia'zhi
法律监督,fa'lv'jian'du
法律解释,fa'lv'jie'shi
法律经济学,fa'lv'jing'ji'xue
法律起源,fa'lv'qi'yuan
法律全球化,fa'lv'quan'qiu'hua
法律事件,fa'lv'shi'jian
法律事实,fa'lv'shi'shi
法律思维,fa'lv'si'wei
法律特征,fa'lv'te'zheng
法律体系,fa'lv'ti'xi
法律条文,fa'lv'tiao'wen
法律推理,fa'lv'tui'li
法律文化,fa'lv'wen'hua
法律文件,fa'lv'wen'jian
法律文书,fa'lv'wen'shu
法律现代化,fa'lv'xian'dai'hua
法律现象,fa'lv'xian'xiang
法律效力,fa'lv'xiao'li
法律行为,fa'lv'xing'wei
法律演进,fa'lv'yan'jin
法律议案,fa'lv'yi'an
法律意识,fa'lv'yi'shi
法律移植,fa'lv'yi'zhi
法律渊源,fa'lv'yuan'yuan
法律原则,fa'lv'yuan'ze
法律责任,fa'lv'ze'ren
法律制裁,fa'lv'zhi'cai
法律职业,fa'lv'zhi'ye
法律职业道德,fa'lv'zhi'ye'dao'de
法律作用,fa'lv'zuo'yong
法人,fa'ren
法条,fa'tiao
法条竞合,fa'tiao'jing'he
法庭,fa'ting
法系,fa'xi
法学院,fa'xue'yuan
发展权,fa'zhan'quan
法哲学,fa'zhe'xue
法制,fa'zhi
法治,fa'zhi
法治国家,fa'zhi'guo'jia
法治理论,fa'zhi'li'lun
法治社会,fa'zhi'she'hui
法制史,fa'zhi'shi
法制现代化,fa'zhi'xian'dai'hua
法治现代化,fa'zhi'xian'dai'hua
法治政治,fa'zhi'zheng'zhi
反补贴,fan'bu'tie
反补贴条例,fan'bu'tie'tiao'li
反不正当竞争法,fan'bu'zheng'dang'jing'zheng'fa
樊崇义,fan'chong'yi
樊纲,fan'gang
范健,fan'jian
范进学,fan'jin'xue
反倾销条例,fan'qing'xiao'tiao'li
反倾销行政案件,fan'qing'xiao'xing'zheng'an'jian
反诉,fan'su
反致,fan'zhi
范忠信,fan'zhong'xin
犯罪,fan'zui
犯罪构成,fan'zui'gou'cheng
犯罪故意,fan'zui'gu'yi
犯罪过失,fan'zui'guo'shi
犯罪客观要件,fan'zui'ke'guan'yao'jian
犯罪客体,fan'zui'ke'ti
犯罪未遂,fan'zui'wei'sui
犯罪嫌疑人,fan'zui'xian'yi'ren
犯罪预备,fan'zui'yu'bei
犯罪中止,fan'zui'zhong'zhi
犯罪主体,fan'zui'zhu'ti
方流芳,fang'liu'fang
非隔隙犯,fei'ge'xi'fan
非亲告罪,fei'qin'gao'zui
非身份犯,fei'shen'fen'fan
非诉程序,fei'su'cheng'xu
费孝通,fei'xiao'tong
分析法学,fen'xi'fa'xue
分析法学派,fen'xi'fa'xue'pai
封建社会,feng'jian'she'hui
冯象,feng'xiang
附带民事诉讼,fu'dai'min'shi'su'song
负担行为,fu'dan'xing'wei
附加刑,fu'jia'xing
弗兰克,fu'lan'ke
富勒,fu'le
妇女权益保障法,fu'nv'quan'yi'bao'zhang'fa
夫妻共同财产,fu'qi'gong'tong'cai'chan
附属义务,fu'shu'yi'wu
傅郁林,fu'yu'lin
改革,gai'ge
概念法学,gai'nian'fa'xue
高富平,gao'fu'ping
格,ge
各级人民代表大会和地方各级人民政府组织法,ge'ji'ren'min'dai'biao'da'hui'he'di'fang'ge'ji'ren'min'zheng'fu'zu'zhi'fa
格老秀斯,ge'lao'xiu'si
个人独资企业法,ge'ren'du'zi'qi'ye'fa
个人所得税法,ge'ren'suo'de'shui'fa
个体工商户,ge'ti'gong'shang'hu
隔隙犯,ge'xi'fan
根本法,gen'ben'fa
跟单信用证统一惯例,gen'dan'xin'yong'zheng'tong'yi'guan'li
公安部,gong'an'bu
公布,gong'bu
公法,gong'fa
公力救济,gong'li'jiu'ji
功利主义法学,gong'li'zhu'yi'fa'xue
功利主义法学派,gong'li'zhu'yi'fa'xue'pai
公平责任,gong'ping'ze'ren
公权力,gong'quan'li
公示催告程序,gong'shi'cui'gao'cheng'xu
公司登记管理条例,gong'si'deng'ji'guan'li'tiao'li
公司法,gong'si'fa
共同犯罪,gong'tong'fan'zui
共同海损,gong'tong'hai'sun
公序良俗,gong'xu'liang'su
公序良俗原则,gong'xu'liang'su'yuan'ze
古典自然法学派,gu'dian'zi'ran'fa'xue'pai
股东会,gu'dong'hui
股份,gu'fen
股份有限公司,gu'fen'you'xian'gong'si
古罗马,gu'luo'ma
股票,gu'piao
古希腊,gu'xi'la
关保英,guan'bao'ying
管制,guan'zhi
规范法学,gui'fan'fa'xue
归责原则,gui'ze'yuan'ze
过错责任,guo'cuo'ze'ren
国籍,guo'ji
国际法,guo'ji'fa
国籍法,guo'ji'fa
国际法院,guo'ji'fa'yuan
国际惯例,guo'ji'guan'li
国际海洋法法庭,guo'ji'hai'yang'fa'fa'ting
国际航空法,guo'ji'hang'kong'fa
国际货物保险,guo'ji'huo'wu'bao'xian
国际货物买卖,guo'ji'huo'wu'mai'mai
国际货物运输,guo'ji'huo'wu'yun'shu
国际金融法,guo'ji'jin'rong'fa
国际经济法,guo'ji'jing'ji'fa
国际贸易,guo'ji'mao'yi
国际贸易术语解释通则,guo'ji'mao'yi'shu'yu'jie'shi'tong'ze
国际贸易支付,guo'ji'mao'yi'zhi'fu
国际民事诉讼,guo'ji'min'shi'su'song
国际人权法,guo'ji'ren'quan'fa
国际融资担保,guo'ji'rong'zi'dan'bao
国际私法,guo'ji'si'fa
国际条约,guo'ji'tiao'yue
国际物权担保,guo'ji'wu'quan'dan'bao
国际信用担保,guo'ji'xin'yong'dan'bao
国际争端,guo'ji'zheng'duan
国际知识产权法,guo'ji'zhi'shi'chan'quan'fa
国家安全部,guo'jia'an'quan'bu
国家公务员,guo'jia'gong'wu'yuan
国家机构,guo'jia'ji'gou
国家赔偿,guo'jia'pei'chang
国家赔偿法,guo'jia'pei'chang'fa
国家司法考试,guo'jia'si'fa'kao'shi
国家统一司法考试,guo'jia'tong'yi'si'fa'kao'shi
国民待遇,guo'min'dai'yu
国民待遇原则,guo'min'dai'yu'yuan'ze
国内法,guo'nei'fa
国内立法,guo'nei'li'fa
国内判例,guo'nei'pan'li
国事犯罪,guo'shi'fan'zui
郭树理,guo'shu'li
国务院,guo'wu'yuan
国务院组织法,guo'wu'yuan'zu'zhi'fa
哈特,ha'te
哈耶克,ha'ye'ke
海商法,hai'shang'fa
海事诉讼特别程序法,hai'shi'su'song'te'bie'cheng'xu'fa
汉密尔顿,han'mi'er'dun
合法性,he'fa'xing
何怀宏,he'huai'hong
合伙企业,he'huo'qi'ye
合伙企业法,he'huo'qi'ye'fa
何家弘,he'jia'hong
和解程序,he'jie'cheng'xu
何勤华,he'qin'hua
合同法,he'tong'fa
贺卫方,he'wei'fang
合宪性,he'xian'xing
合议庭,he'yi'ting
黑格尔,hei'ge'er
黑社会性质组织犯罪,hei'she'hui'xing'zhi'zu'zhi'fan'zui
衡平法,heng'ping'fa
后现代法学,hou'xian'dai'fa'xue
环境保护法,huan'jing'bao'hu'fa
缓刑,huan'xing
回避,hui'bi
汇票,hui'piao
婚姻法,hun'yin'fa
霍布斯,huo'bu'si
霍尔,huo'er
霍菲尔德,huo'fei'er'de
豁免权,huo'mian'quan
霍姆斯,huo'mu'si
基本犯,ji'ben'fan
继承法,ji'cheng'fa
季卫东,ji'wei'dong
伽达默尔,jia'da'mo'er
加尔文,jia'er'wen
假释,jia'shi
假释制度,jia'shi'zhi'du
价值理性,jia'zhi'li'xing
价值判断,jia'zhi'pan'duan
加重犯,jia'zhong'fan
检察官,jian'cha'guan
检察官法,jian'cha'guan'fa
检察官职业道德规范,jian'cha'guan'zhi'ye'dao'de'gui'fan
检察权,jian'cha'quan
检察院,jian'cha'yuan
监督体系,jian'du'ti'xi
建构,jian'gou
监护,jian'hu
监护人,jian'hu'ren
间接反致,jian'jie'fan'zhi
减轻犯,jian'qing'fan
监视居住,jian'shi'ju'zhu
减刑,jian'xing
简易程序,jian'yi'cheng'xu
姜明安,jiang'ming'an
江平,jiang'ping
交通肇事,jiao'tong'zhao'shi
交通肇事罪,jiao'tong'zhao'shi'zui
解构主义法学,jie'gou'zhu'yi'fa'xue
借款人,jie'kuan'ren
杰裴逊,jie'pei'xun
进程,jin'cheng
近代哲理法学,jin'dai'zhe'li'fa'xue
近代哲理法学派,jin'dai'zhe'li'fa'xue'pai
紧急避险,jin'ji'bi'xian
竞合,jing'he
经济法,jing'ji'fa
经济分析,jing'ji'fen'xi
经济分析法学,jing'ji'fen'xi'fa'xue
经济解释,jing'ji'jie'shi
经济学,jing'ji'xue
经济学分析,jing'ji'xue'fen'xi
经验式,jing'yan'shi
拘传,ju'chuan
拘留,ju'liu
具体行政行为,ju'ti'xing'zheng'xing'wei
拘役,ju'yi
绝对权,jue'dui'quan
卡多佐,ka'duo'zuo
开庭,kai'ting
抗辩权,kang'bian'quan
康德,kang'de
柯,ke
可分物,ke'fen'wu
科斯,ke'si
科斯定理,ke'si'ding'li
科斯定律,ke'si'ding'lv
科学技术,ke'xue'ji'shu
柯英,ke'ying
空间效力,kong'jian'xiao'li
扣押,kou'ya
会计法,kuai'ji'fa
宽严相济,kuan'yan'xiang'ji
拉德,la'de
拉德里克,la'de'li'ke
拉德塔,la'de'ta
劳动法,lao'dong'fa
劳动争议,lao'dong'zheng'yi
立案,li'an
立案管辖,li'an'guan'xia
立案侦查,li'an'zhen'cha
李昌麒,li'chang'qi
立法,li'fa
立法程序,li'fa'cheng'xu
立法法,li'fa'fa
立法权限,li'fa'quan'xian
立法体制,li'fa'ti'zhi
立法原则,li'fa'yuan'ze
立功,li'gong
离婚判定,li'hun'pan'ding
离婚协议书,li'hun'xie'yi'shu
李林,li'lin
