常工院体育馆,chang'gong'yuan'ti'yu'guan
常州创意人才培训中心,chang'zhou'chuang'yi'ren'cai'pei'xun'zhong'xin
常州科技产业园,chang'zhou'ke'ji'chan'ye'yuan
常州理工大学,chang'zhou'li'gong'da'xue
常州研究中心,chang'zhou'yan'jiu'zhong'xin
陈志伟,chen'zhi'wei
大学生科技实践创新中心,da'xue'sheng'ke'ji'shi'jian'chuang'xin'zhong'xin
翻译研究所,fan'yi'yan'jiu'suo
高晓声研究中心,gao'xiao'sheng'yan'jiu'zhong'xin
工程中心,gong'cheng'zhong'xin
计算机软件开发公司,ji'suan'ji'ruan'jian'kai'fa'gong'si
建筑设计研究所,jian'zhu'she'ji'yan'jiu'suo
教会学成,jiao'hui'xue'cheng
李江蛟,li'jiang'jiao
李炜,li'wei
李文虎,li'wen'hu
林慧钦,lin'hui'qin
七二一工业大学,qi'er'yi'gong'ye'da'xue
秋白园,qiu'bai'yuan
瞿秋白研究中心,qu'qiu'bai'yan'jiu'zhong'xin
汤正华,tang'zheng'hua
通江南路号,tong'jiang'nan'lu'hao
巫山路号,wu'shan'lu'hao
西新桥二村,xi'xin'qiao'er'cun
延陵学院,yan'ling'xue'yuan
院士语林,yuan'shi'yu'lin
张红,zhang'hong
张力航,zhang'li'hang
赵元任先生雕塑,zhao'yuan'ren'xian'sheng'diao'su
中小企业研究院,zhong'xiao'qi'ye'yan'jiu'yuan
周兰珍,zhou'lan'zhen
