阿不都热依木尼扎里,a'bu'dou're'yi'mu'ni'zha'li
阿拉坦汗传,a'la'tan'han'chuan
阿兰豁阿,a'lan'huo'a
阿鲁浑萨里,a'lu'hun'sa'li
阿细的先基,a'xi'de'xian'ji
嗳哺,ai'bu
安藏,an'cang
遨尔其朗,ao'er'qi'lang
遨格套日贵,ao'ge'tao'ri'gui
奥色密色,ao'se'mi'se
八角,ba'jiao
跋山涉水,ba'shan'she'shui
八思巴,ba'si'ba
巴塔麻戛捧尚罗,ba'ta'ma'jia'peng'shang'luo
白教,bai'jiao
白史,bai'shi
班禅,ban'chan
保巴,bao'ba
笨波教,ben'bo'jiao
本教,ben'jiao
本义必用经,ben'yi'bi'yong'jing
毕摩,bi'mo
查干图和,cha'gan'tu'he
查姆,cha'mu
长春真人西游记,chang'chun'zhen'ren'xi'you'ji
长生天,chang'sheng'tian
成吉思汗,cheng'ji'si'han
崇搬图,chong'ban'tu
爨文丛刻,cuan'wen'cong'ke
达古达楞格莱标,da'gu'da'leng'ge'lai'biao
大黄册,da'huang'ce
达赖喇嘛,da'lai'la'ma
达浦生,da'pu'sheng
大元盛世青史演义,da'yuan'sheng'shi'qing'shi'yan'yi
大札撒,da'zha'sa
傣族小乘佛教,dai'zu'xiao'cheng'fo'jiao
地无二罕,di'wu'er'han
滇系,dian'xi
定量论,ding'liang'lun
东巴经,dong'ba'jing
顿悟派,dun'wu'pai
呃,e
尔比尔吉,er'bi'er'ji
反正,fan'zheng
奉天命应运而生,feng'tian'ming'ying'yun'er'sheng
福乐智慧,fu'le'zhi'hui
嘎百福歌,ga'bai'fu'ge
噶当派,ga'dang'pai
噶举派,ga'ju'pai
感光生子,gan'guang'sheng'zi
高奣映,gao'weng'ying
格鲁派,ge'lu'pai
公史篇,gong'shi'pian
古候,gu'hou
古拉兰萨,gu'la'lan'sa
归真总义,gui'zhen'zong'yi
哈巴曲吉森格,ha'ba'qu'ji'sen'ge
海瑞,hai'rui
汗权天授,han'quan'tian'shou
合剌哈纳海子陈凿穿战,he'la'ha'na'hai'zi'chen'zao'chuan'zhan
贺升格巴图,he'sheng'ge'ba'tu
黑鞑事略,hei'da'shi'lue
红教,hong'jiao
祜巴勐,hu'ba'meng
忽必烈,hu'bi'lie
胡登洲,hu'deng'zhou
葫芦的传说,hu'lu'de'chuan'shuo
虎嵩山,hu'song'shan
花教,hua'jiao
化铁熔山,hua'tie'rong'shan
华阳国志南中志,hua'yang'guo'zhi'nan'zhong'zhi
黄教,huang'jiao
黄金史纲,huang'jin'shi'gang
皇天后土说,huang'tian'hou'tu'shuo
祭纛,ji'dao
吉尔,ji'er
佳,jia
迦鲁纳答思,jia'lu'na'da'si
佳气,jia'qi
迦萨甘创业,jia'sa'gan'chuang'ye
佳音,jia'yin
践其言成其事,jian'qi'yan'cheng'qi'shi
渐悟派,jian'wu'pai
江格尔,jiang'ge'er
姜央,jiang'yang
教育经典,jiao'yu'jing'dian
金轮千辐,jin'lun'qian'fu
精威五样,jing'wei'wu'yang
克珠杰格雷贝桑,ke'zhu'jie'ge'lei'bei'sang
库达德库比利克,ku'da'de'ku'bi'li'ke
库西特依,ku'xi'te'yi
喇嘛教,la'ma'jiao
赖天地之赞力,lai'tian'di'zhi'zan'li
勒俄特依,le'e'te'yi
理藏,li'cang
理词,li'ci
李元阳,li'yuan'yang
量论摄义,liang'lun'she'yi
六形,liu'xing
刘智,liu'zhi
六祖分支,liu'zu'fen'zhi
龙鸟支离,long'niao'zhi'li
论傣族诗歌,lun'dai'zu'shi'ge
罗布桑却丹,luo'bu'sang'que'dan
罗黄金史,luo'huang'jin'shi
马德新,ma'de'xin
马复初,ma'fu'chu
马赫木德喀什噶尔,ma'he'mu'de'ka'shi'ga'er
马坚,ma'jian
马联元,ma'lian'yuan
马明心,ma'ming'xin
玛木特依,ma'mu'te'yi
马注,ma'zhu
蛮书,man'shu
妹榜妹留,mei'bang'mei'liu
梅葛,mei'ge
蒙鞑备录,meng'da'bei'lu
蒙古风俗鉴,meng'gu'feng'su'jian
