阿昌塔,a'chang'ta
阿隆斯,a'long'si
阿佩依伦,a'pei'yi'lun
爱博,ai'bo
埃洛瓦,ai'luo'wa
爱蔷,ai'qiang
岸川圣也,an'chuan'sheng'ye
安哲英,an'zhe'ying
奥夫查洛夫,ao'fu'cha'luo'fu
奥恰洛夫,ao'qia'luo'fu
巴蒂斯库,ba'di'si'ku
巴纳,ba'na
摆短,bai'duan
白石,bai'shi
白杨,bai'yang
坂本龙介,ban'ben'long'jie
半长胶,ban'chang'jiao
半高抛,ban'gao'pao
爆冲,bao'chong
报分,bao'fen
鲍罗斯,bao'luo'si
鲍姆,bao'mu
暴挑,bao'tiao
鲍维奇,bao'wei'qi
奔球,ben'qiu
本特森,ben'te'sen
边线,bian'xian
并步,bing'bu
波尔,bo'er
伯格曼,bo'ge'man
波普杯,bo'pu'bei
搏杀,bo'sha
波塔,bo'ta
步法,bu'fa
布拉什奇克,bu'la'shen'qi'ke
布拉什奇克,bu'la'shi'qi'ke
不转,bu'zhuan
擦边,ca'bian
擦网,ca'wang
蔡猛,cai'meng
裁判员,cai'pan'yuan
蔡赛,cai'sai
蔡晓黎,cai'xiao'li
蔡振华,cai'zhen'hua
曹幸妮,cao'xing'ni
曹燕华,cao'yan'hua
曹臻,cao'zhen
侧拧,ce'ning
侧上,ce'shang
侧上下,ce'shang'xia
侧身步,ce'shen'bu
侧下,ce'xia
侧旋,ce'xuan
常晨晨,chang'chen'chen
长胶,chang'jiao
长球,chang'qiu
陈剑,chen'jian
陈江华,chen'jiang'hua
陈静,chen'jing
陈龙灿,chen'long'can
陈佩芬,chen'pei'fen
陈玘,chen'qi
陈晴,chen'qing
陈卫星,chen'wei'xing
陈新华,chen'xin'hua
陈智明,chen'zhi'ming
陈子荷,chen'zi'he
池旼亨,chi'min'heng
迟洋,chi'yang
抽球,chou'qiu
崔贤珍,cui'xian'zhen
搓长,cuo'chang
搓球,cuo'qiu
大郭,da'guo
大侯,da'hou
大力抽杀,da'li'chou'sha
大帕夫洛维奇,da'pa'fu'luo'wei'qi
大塞弗,da'sai'fu
戴丽丽,dai'li'li
单步,dan'bu
单打,dan'da
单桧,dan'gui
单明杰,dan'ming'jie
弹网,dan'wang
单晓娜,dan'xiao'na
挡球,dang'qiu
倒板,dao'ban
德佩特里索娃,de'pei'te'li'suo'wa
德系,de'xi
