百货大楼,bai'huo'da'lou
白水塘,bai'shui'tang
白水塘村,bai'shui'tang'cun
办证中心,ban'zheng'zhong'xin
报社,bao'she
抱石公园,bao'shi'gong'yuan
北村菜场,bei'cun'cai'chang
北湖宾馆,bei'hu'bin'guan
北湖公园,bei'hu'gong'yuan
北湖花苑,bei'hu'hua'yuan
北湖星城,bei'hu'xing'cheng
长红,chang'hong
长林,chang'lin
长林路口,chang'lin'lu'kou
长青互通桥,chang'qing'hu'tong'qiao
车管所,che'guan'suo
城北广场,cheng'bei'guang'chang
城东汽车站,cheng'dong'qi'che'zhan
春江佳苑小区,chun'jiang'jia'yuan'xiao'qu
春龙大酒店,chun'long'da'jiu'dian
春龙湖畔豪园,chun'long'hu'pan'hao'yuan
春龙集团,chun'long'ji'tuan
大盛科技园,da'sheng'ke'ji'yuan
第二医院,di'er'yi'yuan
第七医院,di'qi'yi'yuan
第三水厂,di'san'shui'chang
第四加油站,di'si'jia'you'zhan
第四医院,di'si'yi'yuan
第四医院东,di'si'yi'yuan'dong
电厂,dian'chang
电厂生活区,dian'chang'sheng'huo'qu
电工厂,dian'gong'chang
电信大楼,dian'xin'da'lou
电信局,dian'xin'ju
东方花城,dong'fang'hua'cheng
东风工业园,dong'feng'gong'ye'yuan
东华学院,dong'hua'xue'yuan
东家边,dong'jia'bian
二化,er'hua
二十五公司,er'shi'wu'gong'si
妇幼保健院,fu'you'bao'jian'yuan
赣西供电楼,gan'xi'gong'dian'lou
赣西宿舍,gan'xi'su'she
刚城家俱广场,gang'cheng'jia'ju'guang'chang
钢丝厂,gang'si'chang
高速路口,gao'su'lu'kou
高专新校区,gao'zhuan'xin'xiao'qu
公交停车场,gong'jiao'ting'che'chang
公交总公司,gong'jiao'zong'gong'si
公园北村,gong'yuan'bei'cun
公园南村,gong'yuan'nan'cun
公园南村路口,gong'yuan'nan'cun'lu'kou
观下村,guan'xia'cun
国际明星城,guo'ji'ming'xing'cheng
海通证券,hai'tong'zheng'quan
河下行政中心,he'xia'xing'zheng'zhong'xin
糊涂山庄,hu'tu'shan'zhuang
华晨钢材市场,hua'chen'gang'cai'shi'chang
华瑞宾馆,hua'rui'bin'guan
环山,huan'shan
黄金海岸酒店,huang'jin'hai'an'jiu'dian
火车站,huo'che'zhan
暨阳玫瑰城,ji'yang'mei'gui'cheng
暨阳世纪城,ji'yang'shi'ji'cheng
暨阳学校,ji'yang'xue'xiao
建和混泥土公司,jian'he'hun'ni'tu'gong'si
江口电厂,jiang'kou'dian'chang
江南理工学院,jiang'nan'li'gong'xue'yuan
江厦医院,jiang'xia'yi'yuan
金爵大酒店,jin'jue'da'jiu'dian
金爵酒店,jin'jue'jiu'dian
金三角,jin'san'jiao
锦秀花园,jin'xiu'hua'yuan
经济开发区,jing'ji'kai'fa'qu
九鼎大市场,jiu'ding'da'shi'chang
聚安路口,ju'an'lu'kou
康居路口,kang'ju'lu'kou
康盛花园,kang'sheng'hua'yuan
肯德基,ken'de'ji
魁星阁,kui'xing'ge
老粮站,lao'liang'zhan
老屋场,lao'wu'chang
李家村,li'jia'cun
里木塘,li'mu'tang
李山村庄,li'shan'cun'zhuang
联通公司,lian'tong'gong'si
廖家村,liao'jia'cun
柳新工业园,liu'xin'gong'ye'yuan
绿景水岸,lv'jing'shui'an
毛家村,mao'jia'cun
毛家小学,mao'jia'xiao'xue
煤气公司,mei'qi'gong'si
明珠大酒店,ming'zhu'da'jiu'dian
南湖公园,nan'hu'gong'yuan
南湖公园西,nan'hu'gong'yuan'xi
诺贝尔花园,nuo'bei'er'hua'yuan
诺贝尔花园北,nuo'bei'er'hua'yuan'bei
诺贝尔花园西,nuo'bei'er'hua'yuan'xi
汽车站,qi'che'zhan
前卫,qian'wei
桥北,qiao'bei
桥背村,qiao'bei'cun
庆丰花园,qing'feng'hua'yuan
青泉花园,qing'quan'hua'yuan
青泉花园西,qing'quan'hua'yuan'xi
区财政局,qu'cai'zheng'ju
区林业局,qu'lin'ye'ju
区政府,qu'zheng'fu
人力资源市场,ren'li'zi'yuan'shi'chang
人民医院,ren'min'yi'yuan
人民银行,ren'min'yin'hang
赛维,sai'wei
三叠园,san'die'yuan
三粮库,san'liang'ku
沙新路口,sha'xin'lu'kou
商业中心,shang'ye'zhong'xin
审计大楼,shen'ji'da'lou
市城管局,shi'cheng'guan'ju
湿地公园,shi'di'gong'yuan
湿地公园二期,shi'di'gong'yuan'er'qi
湿地公园二站,shi'di'gong'yuan'er'zhan
湿地公园三站,shi'di'gong'yuan'san'zhan
市法院,shi'fa'yuan
市工商局,shi'gong'shang'ju
市工商银行,shi'gong'shang'yin'hang
市广电中心,shi'guang'dian'zhong'xin
市建设局,shi'jian'she'ju
市九中,shi'jiu'zhong
市农行,shi'nong'hang
市三中,shi'san'zhong
市十六中,shi'shi'liu'zhong
市四中,shi'si'zhong
市四中东门,shi'si'zhong'dong'men
市土管局,shi'tu'guan'ju
市委,shi'wei
市委二大院,shi'wei'er'da'yuan
市五中,shi'wu'zhong
市信访局,shi'xin'fang'ju
市一中,shi'yi'zhong
市总公会,shi'zong'gong'hui
市总工会,shi'zong'gong'hui
水西,shui'xi
水西集贸市场,shui'xi'ji'mao'shi'chang
水西加油站,shui'xi'jia'you'zhan
水西卫生院,shui'xi'wei'sheng'yuan
水西逸夫小学,shui'xi'yi'fu'xiao'xue
水西镇政府,shui'xi'zhen'zheng'fu
松陂,song'bei
送桥集贸市场,song'qiao'ji'mao'shi'chang
泰安驾校,tai'an'jia'xiao
太平人寿,tai'ping'ren'shou
太阳能学院,tai'yang'neng'xue'yuan
体育中心,ti'yu'zhong'xin
天恒国际,tian'heng'guo'ji
天恒国际广场,tian'heng'guo'ji'guang'chang
天润物流,tian'run'wu'liu
甜甜幼儿园,tian'tian'you'er'yuan
铁路立交桥,tie'lu'li'jiao'qiao
铁山,tie'shan
通济桥,tong'ji'qiao
文化区,wen'hua'qu
温馨家园,wen'xin'jia'yuan
五金市场,wu'jin'shi'chang
五一路口,wu'yi'lu'kou
西家边,xi'jia'bian
仙来公园,xian'lai'gong'yuan
仙女湖,xian'nv'hu
仙女湖饭庄,xian'nv'hu'fan'zhuang
小路口,xiao'lu'kou
鞋帽厂,xie'mao'chang
信诚集团,xin'cheng'ji'tuan
新纺,xin'fang
新钢菜市场,xin'gang'cai'shi'chang
新钢小车修理厂,xin'gang'xiao'che'xiu'li'chang
新钢一小,xin'gang'yi'xiao
新钢医院,xin'gang'yi'yuan
新钢中学,xin'gang'zhong'xue
新和药业,xin'he'yao'ye
新华书店,xin'hua'shu'dian
新王龙,xin'wang'long
新鑫驾场,xin'xin'jia'chang
新鑫驾校,xin'xin'jia'xiao
新星线业,xin'xing'xian'ye
新亚新,xin'ya'xin
新余报社,xin'yu'bao'she
新余大桥,xin'yu'da'qiao
新余海关,xin'yu'hai'guan
星加坡小区,xing'jia'po'xiao'qu
阳光,yang'guang
杨家村,yang'jia'cun
姚家边,yao'jia'bian
冶金技校,ye'jin'ji'xiao
一机修,yi'ji'xiu
迎嘉新村,ying'jia'xin'cun
优惠区,you'hui'qu
渝工三校南门,yu'gong'san'xiao'nan'men
渝工三校园,yu'gong'san'xiao'yuan
渝工学院,yu'gong'xue'yuan
裕江花园,yu'jiang'hua'yuan
渝水教堂,yu'shui'jiao'tang
渝水一中,yu'shui'yi'zhong
渝州大桥,yu'zhou'da'qiao
袁河工业平台,yuan'he'gong'ye'ping'tai
袁河街道办事处,yuan'he'jie'dao'ban'shi'chu
袁河小区,yuan'he'xiao'qu
月亮湾小区,yue'liang'wan'xiao'qu
粤新建材市场,yue'xin'jian'cai'shi'chang
站前东路,zhan'qian'dong'lu
章村,zhang'cun
圳上村,zhen'shang'cun
郑家村庄,zheng'jia'cun'zhuang
中山学院,zhong'shan'xue'yuan
中医院,zhong'yi'yuan
珠珊村,zhu'shan'cun
竹山路口,zhu'shan'lu'kou
紫燕路口,zi'yan'lu'kou
