阿魏,a'wei
矮地茶,ai'di'cha
艾叶,ai'ye
艾叶油,ai'ye'you
安息香,an'xi'xiang
桉油,an'you
巴豆,ba'dou
巴豆霜,ba'dou'shuang
巴戟天,ba'ji'tian
八角枫,ba'jiao'feng
八角茴香,ba'jiao'hui'xiang
八角茴香油,ba'jiao'hui'xiang'you
八厘麻,ba'li'ma
八珍汤,ba'zhen'tang
白扁豆,bai'bian'dou
百部,bai'bu
百草霜,bai'cao'shuang
白矾,bai'fan
白附子,bai'fu'zi
白果,bai'guo
百合,bai'he
白花蛇舌草,bai'hua'she'she'cao
白芨,bai'ji
败酱草,bai'jiang'cao
白降丹,bai'jiang'dan
白芥子,bai'jie'zi
白蔹,bai'lian
白茅根,bai'mao'gen
白前,bai'qian
白屈菜,bai'qu'cai
百蕊草,bai'rui'cao
白芍,bai'shao
白首乌,bai'shou'wu
白苏,bai'su
白头翁,bai'tou'weng
白鲜皮,bai'xian'pi
白药子,bai'yao'zi
白英,bai'ying
白云花根,bai'yun'hua'gen
白芷,bai'zhi
白术,bai'zhu
柏子仁,bai'zi'ren
斑鳌,ban'ao
半边莲,ban'bian'lian
板蓝根,ban'lan'gen
斑蝥,ban'mao
半夏,ban'xia
半支莲,ban'zhi'lian
豹骨,bao'gu
暴马子,bao'ma'zi
北豆根,bei'dou'gen
贝母花,bei'mu'hua
北沙参,bei'sha'shen
荜茇,bi'ba
荜澄茄,bi'cheng'qie
蓖麻油,bi'ma'you
蓖麻子,bi'ma'zi
扁豆花,bian'dou'hua
扁蓄,bian'xu
鳖甲,bie'jia
槟榔,bing'lang
冰凉花,bing'liang'hua
冰片,bing'pian
驳骨丹,bo'gu'dan
薄荷,bo'he
薄荷脑,bo'he'nao
薄荷油,bo'he'you
补骨脂,bu'gu'zhi
布渣叶,bu'zha'ye
苍耳子,cang'er'zi
苍术,cang'zhu
草豆蔻,cao'dou'kou
草果,cao'guo
草红藤,cao'hong'teng
草乌,cao'wu
草血竭,cao'xue'jie
侧柏叶,ce'bai'ye
茶油,cha'you
柴胡,chai'hu
蟾酥,chan'su
燀桃仁,chan'tao'ren
蝉蜕,chan'tui
长春花,chang'chun'hua
常山,chang'shan
朝天罐,chao'tian'guan
车前草,che'qian'cao
车前子,che'qian'zi
陈皮,chen'pi
沉香,chen'xiang
称钩风,cheng'gou'feng
赤芍,chi'shao
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
虫白蜡,chong'bai'la
重楼,chong'lou
茺蔚子,chong'wei'zi
臭灵丹草,chou'ling'dan'cao
楮实子,chu'shi'zi
川贝母,chuan'bei'mu
川楝子,chuan'lian'zi
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿破石茄根,chuan'po'shi'qie'gen
穿山甲,chuan'shan'jia
穿山龙,chuan'shan'long
川乌,chuan'wu
穿心莲,chuan'xin'lian
川芎,chuan'xiong
垂盆草,chui'pen'cao
椿皮,chun'pi
磁石,ci'shi
刺猬皮,ci'wei'pi
刺五加,ci'wu'jia
葱白,cong'bai
大豆黄卷,da'dou'huang'juan
大飞扬草,da'fei'yang'cao
大风子,da'feng'zi
大腹皮,da'fu'pi
大红袍,da'hong'pao
大黄,da'huang
大戟,da'ji
大蓟,da'ji
大青叶,da'qing'ye
大蒜,da'suan
大头陈,da'tou'chen
大血藤,da'xue'teng
大枣,da'zao
代代花,dai'dai'hua
玳瑁,dai'mao
淡豆豉,dan'dou'chi
胆矾,dan'fan
胆木,dan'mu
胆南星,dan'nan'xing
丹参,dan'shen
胆汁,dan'zhi
淡竹叶,dan'zhu'ye
当归,dang'gui
党参,dang'shen
当药,dang'yao
刀豆,dao'dou
倒扣草,dao'kou'cao
稻芽,dao'ya
灯台细辛,deng'tai'xi'xin
灯台叶,deng'tai'ye
灯心草,deng'xin'cao
地不容,di'bu'rong
地胆草,di'dan'cao
地耳草,di'er'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
地骨皮,di'gu'pi
地黄,di'huang
地椒,di'jiao
地锦草,di'jin'cao
地龙,di'long
地榆,di'yu
颠茄草,dian'qie'cao
丁公藤,ding'gong'teng
丁癸草,ding'gui'cao
丁香,ding'xiang
丢了棒,diu'le'bang
冬虫夏草,dong'chong'xia'cao
冬瓜皮,dong'gua'pi
冬瓜子,dong'gua'zi
冬葵果,dong'kui'guo
冬凌草,dong'ling'cao
豆蔻,dou'kou
杜衡,du'heng
独活,du'huo
杜鹃花叶,du'juan'hua'ye
杜仲,du'zhong
断血流,duan'xue'liu
鹅不食草,e'bu'shi'cao
阿胶,e'jiao
莪术,e'zhu
莪术油,e'zhu'you
儿茶,er'cha
番红花,fan'hong'hua
番泻叶,fan'xie'ye
防风,fang'feng
防已,fang'yi
飞廉草,fei'lian'cao
肺形草,fei'xing'cao
飞杨草,fei'yang'cao
榧子,fei'zi
粉萆薢,fen'bi'xie
粉条儿菜,fen'tiao'er'cai
蜂房,feng'fang
凤凰衣,feng'huang'yi
蜂蜡,feng'la
风栗壳,feng'li'ke
蜂蜜,feng'mi
凤尾草,feng'wei'cao
凤仙花,feng'xian'hua
佛甲草,fo'jia'cao
佛手,fo'shou
茯苓,fu'ling
茯苓皮,fu'ling'pi
伏龙肝,fu'long'gan
复盆子,fu'pen'zi
浮萍,fu'ping
芙蓉叶,fu'rong'ye
茯神,fu'shen
浮石,fu'shi
