坝地,ba'di
坝系,ba'xi
暴雨径流,bao'yu'jing'liu
陂塘,bei'tang
崩岗,beng'gang
标准小区,biao'zhun'xiao'qu
冰川侵蚀,bing'chuan'qin'shi
波浪侵蚀,bo'lang'qin'shi
残茬,can'cha
槽床,cao'chuang
草田轮作,cao'tian'lun'zuo
沉沙池,chen'sha'chi
沉沙凼,chen'sha'dang
冲积平原区,chong'ji'ping'yuan'qu
垂直侵蚀,chui'zhi'qin'shi
锉磨,cuo'mo
带状间作,dai'zhuang'jian'zuo
挡护,dang'hu
挡土墙,dang'tu'qiang
挡渣墙,dang'zha'qiang
等高耕作,deng'gao'geng'zuo
等高植物篱,deng'gao'zhi'wu'li
地质侵蚀,di'zhi'qin'shi
冻融侵蚀,dong'rong'qin'shi
陡坡,dou'po
反压填土,fan'ya'tian'tu
分水线,fen'shui'xian
分选作用,fen'xuan'zuo'yong
风力侵蚀,feng'li'qin'shi
风沙流,feng'sha'liu
复垦率,fu'ken'lv
干砌石,gan'qi'shi
干燥草原及风沙区,gan'zao'cao'yuan'ji'feng'sha'qu
隔坡梯田,ge'po'ti'tian
格状框条,ge'zhuang'kuang'tiao
工程措施,gong'cheng'cuo'shi
沟边埂,gou'bian'geng
沟道密度,gou'dao'mi'du
沟壑密度,gou'he'mi'du
沟垄耕作,gou'long'geng'zuo
沟蚀,gou'shi
谷坊,gu'fang
固坡,gu'po
固体径流,gu'ti'jing'liu
挂网喷草,gua'wang'pen'cao
害风,hai'feng
旱风,han'feng
旱井,han'jing
洪流,hong'liu
护坡,hu'po
壶穴,hu'xue
滑动带,hua'dong'dai
化学侵蚀,hua'xue'qin'shi
荒漠化,huang'mo'hua
黄土高原沟壑区,huang'tu'gao'yuan'gou'he'qu
黄土阶地区,huang'tu'jie'di'qu
黄土丘陵沟壑区,huang'tu'qiu'ling'gou'he'qu
黄土丘陵林区,huang'tu'qiu'ling'lin'qu
混合侵蚀,hun'he'qin'shi
加速侵蚀,jia'su'qin'shi
剪切力,jian'qie'li
溅蚀,jian'shi
浆砌石,jiang'qi'shi
降雨侵蚀指数,jiang'yu'qin'shi'zhi'shu
截流,jie'liu
开发建设项目,kai'fa'jian'she'xiang'mu
开析度,kai'xi'du
抗滑桩,kang'hua'zhuang
拦沙坝,lan'sha'ba
拦渣坝,lan'zha'ba
拦渣率,lan'zha'lv
撩壕,liao'hao
林草植被覆盖率,lin'cao'zhi'bei'fu'gai'lv
临界风速,lin'jie'feng'su
临界流速,lin'jie'liu'su
