鲍野,bao'ye
长信侯,chang'xin'hou
成蟜,cheng'qiao
丹顶门,dan'ding'men
迪丽热巴,di'li're'ba
都奕,dou'yi
毒针妖王,du'zhen'yao'wang
盖兰,gai'lan
盖聂,gai'nie
公孙丽,gong'sun'li
公孙羽,gong'sun'yu
韩申,han'shen
鹄落剑法,hu'luo'jian'fa
黄骞,huang'qian
剑痴,jian'chi
皎皎如明月,jiao'jiao'ru'ming'yue
荆轲,jing'ke
景良人,jing'liang'ren
嫪毐,lao'ai
丽儿,li'er
丽姬,li'ji
丽姬传,li'ji'chuan
李斯,li'si
李泰,li'tai
林鉴东,lin'jian'dong
刘畅,liu'chang
鲁勾践,lu'gou'jian
吕不韦,lv'bu'wei
蒙武,meng'wu
蒙玉立,meng'yu'li
你从来就不是我的王,ni'cong'lai'jiu'bu'shi'wo'de'wang
濮阳,pu'yang
强秦,qiang'qin
秦时明月之丽姬传,qin'shi'ming'yue'zhi'li'ji'chuan
秦时有丽人,qin'shi'you'li'ren
清君侧,qing'jun'ce
邱意浓,qiu'yi'nong
田光,tian'guang
王汀,wang'ting
相国,xiang'guo
嬴政,ying'zheng
雍城,yong'cheng
张彬彬,zhang'bin'bin
张璇,zhang'xuan
政儿,zheng'er
灼灼入我心,zhuo'zhuo'ru'wo'xin
