阿尔伯特龙,a'er'bo'te'long
阿根廷龙,a'gen'ting'long
阿拉莫龙,a'la'mo'long
阿拉沙吉龙,a'la'sha'ji'long
阿拉善龙,a'la'shan'long
阿里奥拉龙,a'li'ao'la'long
阿马加龙,a'ma'jia'long
阿普吐龙,a'pu'tu'long
阿斯龙,a'si'long
阿特拉斯科布科龙,a'te'la'si'ke'bu'ke'long
埃德蒙顿甲龙,ai'de'meng'dun'jia'long
埃德蒙顿龙,ai'de'meng'dun'long
矮角龙,ai'jiao'long
爱玛龙,ai'ma'long
爱氏角龙,ai'shi'jiao'long
安第斯龙,an'di'si'long
安佛龙,an'fo'long
安佩洛龙,an'pei'luo'long
安琪龙,an'qi'long
奥布利索龙,ao'bu'li'suo'long
奥斯尼尔龙,ao'si'ni'er'long
巴巴龙,ba'ba'long
巴基布莱罗龙,ba'ji'bu'lai'luo'long
巴克龙,ba'ke'long
巴克斯龙,ba'ke'si'long
巴塔哥短指龙,ba'ta'ge'duan'zhi'long
巴塔哥龙,ba'ta'ge'long
巴塔哥猛龙,ba'ta'ge'meng'long
霸王龙,ba'wang'long
白垩纪,bai'e'ji
白山龙,bai'shan'long
班比鸟,ban'bi'niao
板齿类,ban'chi'lei
板肩龙,ban'jian'long
板龙,ban'long
半鸟,ban'niao
棒齿龙,bang'chi'long
暴龙类,bao'long'lei
薄片龙,bao'pian'long
背帆形龙,bei'fan'xing'long
北谷龙,bei'gu'long
贝罗莱龙,bei'luo'lai'long
北票龙,bei'piao'long
杯椎龙,bei'zhui'long
奔山龙,ben'shan'long
比萨罗龙,bi'sa'luo'long
冰脊龙,bing'ji'long
布莱罗龙,bu'lai'luo'long
哺乳类爬行动物,bu'ru'lei'pa'xing'dong'wu
沧龙,cang'long
槽齿龙,cao'chi'long
查干诺儿龙,cha'gan'nuo'er'long
叉龙,cha'long
长颈龙,chang'jing'long
长头龙,chang'tou'long
长爪龙,chang'zhao'long
超龙,chao'long
驰龙,chi'long
重庆龙,chong'qing'long
慈母龙,ci'mu'long
大岚龙,da'lan'long
大鸭龙,da'ya'long
大眼鱼龙,da'yan'yu'long
大足龙,da'zu'long
单脊龙,dan'ji'long
岛龙,dao'long
地震龙,di'zhen'long
钉肩龙,ding'jian'long
钉龙,ding'long
独角龙,du'jiao'long
短冠龙,duan'guan'long
短颌鱼龙,duan'he'yu'long
短角龙,duan'jiao'long
盾齿龙,dun'chi'long
多棘龙,duo'ji'long
恶霸龙,e'ba'long
峨眉龙,e'mei'long
方鼻角龙,fang'bi'jiao'long
非洲猎龙,fei'zhou'lie'long
凤龙,feng'long
佛安哥龙,fo'an'ge'long
副棘龙,fu'ji'long
福井龙,fu'jing'long
高鼻龙,gao'bi'long
高顶龙,gao'ding'long
高贵龙,gao'gui'long
高脊龙,gao'ji'long
高龙,gao'long
拱头龙,gong'tou'long
古龟,gu'gui
古角龙,gu'jiao'long
古生代,gu'sheng'dai
怪龙,guai'long
广野龙,guang'ye'long
哈布罗肯特龙,ha'bu'luo'ken'te'long
海生蜥蜴类,hai'sheng'xi'yi'lei
合裸龙,he'luo'long
黑龙,hei'long
黑瑞龙,hei'rui'long
厚板龙,hou'ban'long
后鳄龙,hou'e'long
滑齿龙,hua'chi'long
化石层,hua'shi'ceng
化石清理,hua'shi'qing'li
华阳龙,hua'yang'long
喙嘴龙,hui'zui'long
混鱼龙,hun'yu'long
火山齿龙,huo'shan'chi'long
棘背龙,ji'bei'long
棘齿龙,ji'chi'long
戟龙,ji'long
极龙,ji'long
棘龙,ji'long
基洛斯泰罗,ji'luo'si'tai'luo
加哥罗龙,jia'ge'luo'long
加贺龙,jia'he'long
嘉陵龙,jia'ling'long
甲龙,jia'long
甲龙类,jia'long'lei
加斯顿龙,jia'si'dun'long
加斯帕尼里龙,jia'si'pa'ni'li'long
腱龙,jian'long
剑龙,jian'long
剑龙类,jian'long'lei
剑尾龙,jian'wei'long
角齿龙,jiao'chi'long
角冠龙,jiao'guan'long
角冠龙类,jiao'guan'long'lei
脚龙,jiao'long
角龙,jiao'long
角龙类,jiao'long'lei
