鞍背,an'bei
鞍状关节,an'zhuang'guan'jie
半月板,ban'yue'ban
背侧,bei'ce
鼻骨,bi'gu
鼻骨中隔,bi'gu'zhong'ge
鼻后孔,bi'hou'kong
鼻甲嵴,bi'jia'ji
闭孔,bi'kong
闭孔膜,bi'kong'mo
鼻泪管,bi'lei'guan
闭膜管,bi'mo'guan
比目鱼肌线,bi'mu'yu'ji'xian
鼻旁窦,bi'pang'dou
鼻前棘,bi'qian'ji
鼻切迹,bi'qie'ji
扁骨,bian'gu
变异,bian'yi
标准姿势,biao'zhun'zi'shi
髌骨,bin'gu
髌韧带,bin'ren'dai
髌上囊,bin'shang'nang
髌下脂体,bin'xia'zhi'ti
不规则骨,bu'gui'ze'gu
侧块,ce'kuai
长骨,chang'gu
长肌,chang'ji
车轴关节,che'zhou'guan'jie
尺侧,chi'ce
尺侧副韧带,chi'ce'fu'ren'dai
耻骨,chi'gu
尺骨粗隆,chi'gu'cu'long
耻骨嵴,chi'gu'ji
耻骨肌线,chi'gu'ji'xian
耻骨间盘,chi'gu'jian'pan
尺骨茎突,chi'gu'jing'tu
耻骨联合,chi'gu'lian'he
耻骨上支,chi'gu'shang'zhi
耻骨梳,chi'gu'shu
耻骨体,chi'gu'ti
尺骨体,chi'gu'ti
尺骨头,chi'gu'tou
耻骨下角,chi'gu'xia'jiao
耻骨下支,chi'gu'xia'zhi
尺切迹,chi'qie'ji
尺神经沟,chi'shen'jing'gou
齿突,chi'tu
杵臼关节,chu'jiu'guan'jie
垂体窝,chui'ti'wo
垂直板,chui'zhi'ban
垂直轴,chui'zhi'zhou
粗线,cu'xian
大多角骨,da'duo'jiao'gu
大骨盆,da'gu'pen
大角,da'jiao
大结节,da'jie'jie
大结节嵴,da'jie'jie'ji
大转子,da'zhuan'zi
单羽状肌,dan'yu'zhuang'ji
单轴关节,dan'zhou'guan'jie
骶粗隆,di'cu'long
骶骨,di'gu
骶管裂孔,di'guan'lie'kong
骶后孔,di'hou'kong
骶棘韧带,di'ji'ren'dai
骶岬,di'jia
骶角,di'jiao
骶结节韧带,di'jie'jie'ren'dai
骶髂骨间韧带,di'qia'gu'jian'ren'dai
骶髂关节,di'qia'guan'jie
骶前孔,di'qian'kong
骶外侧嵴,di'wai'ce'ji
第五跖骨粗隆,di'wu'zhi'gu'cu'long
骶正中嵴,di'zheng'zhong'ji
骶正中孔,di'zheng'zhong'kong
骶椎,di'zhui
蝶鞍,die'an
蝶窦,die'dou
蝶腭切迹,die'e'qie'ji
蝶骨,die'gu
蝶骨大翼,die'gu'da'yi
蝶骨小翼,die'gu'xiao'yi
蝶筛隐窝,die'shai'yin'wo
蝶突,die'tu
蝶囟,die'xin
顶骨,ding'gu
顶枕缝,ding'zhen'feng
短骨,duan'gu
短肌,duan'ji
多轴关节,duo'zhou'guan'jie
腭大孔,e'da'kong
额窦,e'dou
腭骨,e'gu
额骨,e'gu
腭突,e'tu
额突,e'tu
耳状面,er'zhuang'mian
腓侧,fei'ce
腓侧副韧带,fei'ce'fu'ren'dai
腓骨,fei'gu
腓骨颈,fei'gu'jing
腓骨头,fei'gu'tou
腓骨头骨间缘,fei'gu'tou'gu'jian'yuan
分裂韧带,fen'lie'ren'dai
分歧韧带,fen'qi'ren'dai
跗骨,fu'gu
跗骨间关节,fu'gu'jian'guan'jie
浮肋,fu'lei
复羽状肌,fu'yu'zhuang'ji
跗跖关节,fu'zhi'guan'jie
干骺端,gan'hou'duan
冈上窝,gang'shang'wo
冈下窝,gang'xia'wo
跟腓韧带,gen'fei'ren'dai
跟骨,gen'gu
跟结节,gen'jie'jie
跟骰背侧韧带,gen'tou'bei'ce'ren'dai
跟骰关节附横关节,gen'tou'guan'jie'fu'heng'guan'jie
跟骰足底韧带,gen'tou'zu'di'ren'dai
跟舟足底韧带,gen'zhou'zu'di'ren'dai
肱尺关节,gong'chi'guan'jie
肱骨,gong'gu
肱骨滑车,gong'gu'hua'che
肱骨髁,gong'gu'ke
肱骨头,gong'gu'tou
肱骨小头,gong'gu'xiao'tou
肱桡关节,gong'rao'guan'jie
弓状线,gong'zhuang'xian
钩骨,gou'gu
鼓部,gu'bu
固定肌,gu'ding'ji
骨腭,gu'e
骨干,gu'gan
骨骼肌,gu'ge'ji
股骨,gu'gu
股骨颈,gu'gu'jing
股骨头,gu'gu'tou
股骨头韧带,gu'gu'tou'ren'dai
骨骺,gu'hou
骨间嵴,gu'jian'ji
骨间膜,gu'jian'mo
骨密质,gu'mi'zhi
骨膜,gu'mo
骨内膜,gu'nei'mo
骨盆,gu'pen
骨盆骶岬,gu'pen'di'jia
骨盆轴,gu'pen'zhou
骨松质,gu'song'zhi
骨髓,gu'sui
骨外膜,gu'wai'mo
骨小梁,gu'xiao'liang
骨质,gu'zhi
关节唇,guan'jie'chun
关节面,guan'jie'mian
关节囊,guan'jie'nang
关节盘,guan'jie'pan
关节腔,guan'jie'qiang
关节突,guan'jie'tu
关节突关节,guan'jie'tu'guan'jie
关节盂,guan'jie'yu
冠突,guan'tu
冠突窝,guan'tu'wo
冠状缝,guan'zhuang'feng
冠状面,guan'zhuang'mian
冠状轴,guan'zhuang'zhou
腘面,guo'mian
腘斜韧带,guo'xie'ren'dai
含气骨,han'qi'gu
横突,heng'tu
横突间韧带,heng'tu'jian'ren'dai
横突孔,heng'tu'kong
横突肋凹,heng'tu'lei'ao
红骨髓,hong'gu'sui
骺板,hou'ban
后弓,hou'gong
后交叉韧带,hou'jiao'cha'ren'dai
后结节,hou'jie'jie
骺软骨,hou'ruan'gu
后外侧囟,hou'wai'ce'xin
骺线,hou'xian
后囟,hou'xin
后正中线,hou'zheng'zhong'xian
后纵韧带,hou'zong'ren'dai
滑车切迹,hua'che'qie'ji
滑膜襞,hua'mo'bi
滑膜层,hua'mo'ceng
滑膜囊,hua'mo'nang
滑膜脂垫,hua'mo'zhi'dian
踝关节,huai'guan'jie
寰枢关节,huan'shu'guan'jie
寰枕关节,huan'zhen'guan'jie
环转,huan'zhuan
环状关节面,huan'zhuang'guan'jie'mian
寰椎,huan'zhui
黄骨髓,huang'gu'sui
黄韧带,huang'ren'dai
喙肱韧带,hui'gong'ren'dai
喙肩弓,hui'jian'gong
喙肩韧带,hui'jian'ren'dai
喙突,hui'tu
肌腹,ji'fu
鸡冠,ji'guan
肌腱,ji'jian
肌间隔,ji'jian'ge
棘间韧带,ji'jian'ren'dai
棘孔,ji'kong
棘上韧带,ji'shang'ren'dai
棘突,ji'tu
畸形,ji'xing
脊柱旁线,ji'zhu'pang'xian
假肋,jia'lei
肩峰,jian'feng
肩峰端,jian'feng'duan
肩关节,jian'guan'jie
肩胛骨,jian'jia'gu
肩胛切迹,jian'jia'qie'ji
肩胛下窝,jian'jia'xia'wo
肩胛线,jian'jia'xian
腱膜,jian'mo
腱鞘,jian'qiao
肩锁关节,jian'suo'guan'jie
剑突,jian'tu
尖牙窝,jian'ya'wo
结节间沟,jie'jie'jian'gou
拮抗肌,jie'kang'ji
解剖颈,jie'pou'jing
