北门,bei'men
博文楼,bo'wen'lou
操场,cao'chang
超市,chao'shi
初中部,chu'zhong'bu
二食堂,er'shi'tang
方泽亭,fang'ze'ting
汉推中心,han'tui'zhong'xin
红卫场,hong'wei'chang
花溪河,hua'xi'he
经始亭,jing'shi'ting
科技楼,ke'ji'lou
南北楼,nan'bei'lou
南门,nan'men
女生寝室,nv'sheng'qin'shi
三食堂,san'shi'tang
四食堂,si'shi'tang
外教楼,wai'jiao'lou
外语校男生寝室,wai'yu'xiao'nan'sheng'qin'shi
吴天胜,wu'tian'sheng
西门,xi'men
小炒部,xiao'chao'bu
行政楼,xing'zheng'lou
一食堂,yi'shi'tang
引资楼,yin'zi'lou
引资楼男生公寓,yin'zi'lou'nan'sheng'gong'yu
游泳馆,you'yong'guan
愚公池,yu'gong'chi
