阿巴多纳多,a'ba'duo'na'duo
科瓦奇,ke'wa'qi
肯尼迪,ken'ni'di
孔卡,kong'ka
孔帕尼,kong'pa'ni
库尔多夫,ku'er'duo'fu
库基尔卡,ku'ji'er'ka
库兰伊,ku'lan'yi
库纳特,ku'na'te
库切拉,ku'qie'la
拉德利奇,la'de'li'qi
拉杜,la'du
拉恩,la'en
拉尔森,la'er'sen
拉斐尔,la'fei'er
拉菲尼亚,la'fei'ni'ya
拉夫里奇,la'fu'li'qi
拉基蒂奇,la'ji'di'qi
拉拉,la'la
拉马,la'ma
拉迈,la'mai
拉梅洛,la'mei'luo
拉姆,la'mu
拉什图夫卡,la'shi'tu'fu'ka
拉斯,la'si
拉特格布,la'te'ge'bu
莱尔,lai'er
莱尔希尔,lai'er'xi'er
赖歇,lai'xie
赖因哈德,lai'yin'ha'de
赖因哈特,lai'yin'ha'te
兰格洛夫,lan'ge'luo'fu
朗根,lang'gen
朗坎普,lang'kan'pu
劳特,lao'te
勒宁,le'ning
勒文克兰斯,le'wen'ke'lan'si
里贝里,li'bei'li
里卡多,li'ka'duo
里默,li'mo
里塞,li'sai
里特,li'te
里维奇,li'wei'qi
柳比契奇,liu'bi'qi'qi
柳博亚,liu'bo'ya
卢金亚,lu'jin'ya
鲁卡维纳,lu'ka'wei'na
鲁斯,lu'si
卢斯滕贝格尔,lu'si'teng'bei'ge'er
卢西奥,lu'xi'ao
略宁,lue'ning
伦茨,lun'ci
伦诺,lun'nuo
伦辛,lun'xin
伦泽,lun'ze
罗伯托,luo'bo'tuo
罗登贝格,luo'deng'bei'ge
罗尔费斯,luo'er'fei'si
罗森贝里,luo'sen'bei'li
罗森塔尔,luo'sen'ta'er
罗斯特,luo'si'te
吕德勒维奇,lv'de'le'wei'qi
马达维基亚,ma'da'wei'ji'ya
马德伦,ma'de'lun
马尔特里茨,ma'er'te'li'ci
马夫拉伊,ma'fu'la'yi
马海内克,ma'hai'nei'ke
马基亚迪,ma'ji'ya'di
马克思,ma'ke'si
马里卡,ma'li'ka
马尼安,ma'ni'an
马塞利尼奥,ma'sai'li'ni'ao
马泰森,ma'tai'sen
迈尔,mai'er
迈孔,mai'kong
迈斯纳,mai'si'na
迈歇尔贝克,mai'xie'er'bei'ke
曼齐奥斯,man'qi'ao'si
梅拉,mei'la
梅切尔,mei'qie'er
门加,men'jia
门内尔,men'nei'er
蒙塔贝尔,meng'ta'bei'er
米勒,mi'le
米内罗,mi'nei'luo
米特雷斯基,mi'te'lei'si'ji
米西莫维奇,mi'xi'mo'wei'qi
米亚托维奇,mi'ya'tuo'wei'qi
明塔尔,ming'ta'er
莫尔,mo'er
默尔德斯,mo'er'de'si
莫赖斯,mo'lai'si
默特萨克,mo'te'sa'ke
穆策尔,mu'ce'er
穆隆戈蒂,mu'long'ge'di
姆纳里,mu'na'li
纳尔多,na'er'duo
讷特,ne'te
尼昂,ni'ang
尼古列斯库,ni'gu'lie'si'ku
尼科洛夫,ni'ke'luo'fu
尼迈尔,ni'mai'er
诺伊尔,nuo'yi'er
诺伊迈尔,nuo'yi'mai'er
帕尔多,pa'er'duo
帕帕多普洛斯,pa'pa'duo'pu'luo'si
帕萨宁,pa'sa'ning
潘德尔,pan'de'er
潘特利奇,pan'te'li'qi
佩尔希托尔德,pei'er'xi'tuo'er'de
佩拉茨,pei'la'ci
皮尔斯,pi'er'si
皮诺拉,pi'nuo'la
皮普利察,pi'pu'li'cha
皮什切克,pi'shen'qie'ke
皮雄,pi'xiong
平托,ping'tuo
普费尔策尔,pu'fei'er'ce'er
普季洛,pu'ji'luo
普勒尔,pu'le'er
普罗伊斯,pu'luo'yi'si
齐比希,qi'bi'xi
齐丹,qi'dan
齐格勒,qi'ge'le
齐默曼,qi'mo'man
切伦多洛,qie'lun'duo'luo
切洛济,qie'luo'ji
切特科维奇,qie'te'ke'wei'qi
琼斯,qiong'si
丘布克丘,qiu'bu'ke'qiu
茹拉夫,ru'la'fu
若苏埃,ruo'su'ai
萨巴,sa'ba
萨尔佩,sa'er'pei
萨姆,sa'mu
萨尼奥尔,sa'ni'ao'er
萨诺格,sa'nuo'ge
萨延科,sa'yan'ke
塞巴斯蒂安,sai'ba'si'di'an
塞内西,sai'nei'xi
桑布拉诺,sang'bu'la'nuo
桑德,sang'de
桑切斯,sang'qie'si
桑塔纳,sang'ta'na
桑托斯,sang'tuo'si
瑟伦森,se'lun'sen
沙夫塔,sha'fu'ta
沙赫德,sha'he'de
沙普尔扎代,sha'pu'er'zha'dai
邵佳一,shao'jia'yi
舍费尔,she'fei'er
申德勒,shen'de'le
施劳德拉夫,shi'lao'de'la'fu
施勒特,shi'le'te
施利克,shi'li'ke
施罗德,shi'luo'de
施密特,shi'mi'te
施密特加尔,shi'mi'te'jia'er
施奈德,shi'nai'de
施皮歇,shi'pi'xie
施塔德尔,shi'ta'de'er
施塔费尔特,shi'ta'fei'er'te
施塔克,shi'ta'ke
施泰纳,shi'tai'na
施泰因,shi'tai'yin
施泰因瓦特,shi'tai'yin'wa'te
施特赖特,shi'te'lai'te
施廷德尔,shi'ting'de'er
施托尔,shi'tuo'er
施托尔茨,shi'tuo'er'ci
施韦格勒,shi'wei'ge'le
施魏因斯泰格,shi'wei'yin'si'tai'ge
舒波莫廷,shu'bo'mo'ting
舒尔茨,shu'er'ci
舒勒,shu'le
舒潘,shu'pan
舒斯特,shu'si'te
朔伯,shuo'bo
斯卡采尔,si'ka'cai'er
斯凯拉,si'kai'la
斯皮拉诺维奇,si'pi'la'nuo'wei'qi
