阿笠博士,a'li'bo'shi
白马探,bai'ma'tan
白鸟任三郎,bai'niao'ren'san'lang
贝尔摩德,bei'er'mo'de
赤井秀一,chi'jing'xiu'yi
冲野洋子,chong'ye'yang'zi
妃英理,fei'ying'li
服部静华,fu'bu'jing'hua
服部平藏,fu'bu'ping'cang
服部平次,fu'bu'ping'ci
伏特加,fu'te'jia
高木涉,gao'mu'she
工藤新一,gong'teng'xin'yi
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫野明美,gong'ye'ming'mei
怪盗基德,guai'dao'ji'de
黑羽盗一,hei'yu'dao'yi
黑羽快斗,hei'yu'kuai'dou
灰原哀,hui'yuan'ai
吉田步美,ji'tian'bu'mei
江户川柯南,jiang'hu'chuan'ke'nan
京极真,jing'ji'zhen
苦艾酒,ku'ai'jiu
铃木朋子,ling'mu'peng'zi
铃木园子,ling'mu'yuan'zi
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
目暮十三,mu'mu'shi'san
琴酒,qin'jiu
世良纯真,shi'liang'chun'zhen
小岛元太,xiao'dao'yuan'tai
小泉红子,xiao'quan'hong'zi
新出智明,xin'chu'zhi'ming
圆谷光彦,yuan'gu'guang'yan
远山和叶,yuan'shan'he'ye
中森青子,zhong'sen'qing'zi
中森银三,zhong'sen'yin'san
佐藤美和子,zuo'teng'mei'he'zi
