安居,an'ju
邮电局,you'dian'ju
章贡路,zhang'gong'lu
张家围,zhang'jia'wei
章江,zhang'jiang
中山路,zhong'shan'lu
中山脑,zhong'shan'nao
中医院,zhong'yi'yuan
贮木厂,zhu'mu'chang
自来水二厂,zi'lai'shui'er'chang
自立站,zi'li'zhan
