宝蓝,bao'lan
冰雪蓝,bing'xue'lan
茶绿,cha'lv
橙色,cheng'se
葱绿,cong'lv
淡蓝,dan'lan
淡绿,dan'lv
稻草黄,dao'cao'huang
靛青,dian'qing
豆绿,dou'lv
粉红色,fen'hong'se
橄榄黄,gan'lan'huang
橄榄绿,gan'lan'lv
红色,hong'se
湖蓝,hu'lan
黄色,huang'se
芥末黄,jie'mo'huang
桔红色,ju'hong'se
孔雀蓝,kong'que'lan
蓝色,lan'se
玫瑰红,mei'gui'hong
玫瑰紫,mei'gui'zi
梅红,mei'hong
墨蓝,mo'lan
柠檬黄,ning'meng'huang
苹果绿,ping'guo'lv
葡萄紫,pu'tao'zi
浅桔黄,qian'ju'huang
浅绿,qian'lv
茄皮紫,qie'pi'zi
森林绿,sen'lin'lv
深桔黄,shen'ju'huang
石榴红,shi'liu'hong
苔藓绿,tai'xian'lv
桃红,tao'hong
天蓝,tian'lan
蔚蓝,wei'lan
杏黄,xing'huang
樱桃红,ying'tao'hong
玉米黄,yu'mi'huang
枣红色,zao'hong'se
朱红,zhu'hong
紫罗兰色,zi'luo'lan'se
紫色,zi'se
紫水晶色,zi'shui'jing'se
