白刃格斗,bai'ren'ge'dou
暴露翼侧,bao'lu'yi'ce
保守地方,bao'shou'di'fang
保卫战,bao'wei'zhan
被动,bei'dong
背水作战,bei'shui'zuo'zhan
逼近,bi'jin
避实击虚,bi'shi'ji'xu
边防,bian'fang
边防部署,bian'fang'bu'shu
边防斗争,bian'fang'dou'zheng
边防会哨,bian'fang'hui'shao
边防会谈,bian'fang'hui'tan
边防会晤,bian'fang'hui'wu
边防建设,bian'fang'jian'she
边防哨所,bian'fang'shao'suo
边防巡逻,bian'fang'xun'luo
边防一线,bian'fang'yi'xian
边防政策,bian'fang'zheng'ce
边界冲突,bian'jie'chong'tu
边界河流,bian'jie'he'liu
边界联合检查,bian'jie'lian'he'jian'cha
边界事件,bian'jie'shi'jian
边界踏查,bian'jie'ta'cha
边界线,bian'jie'xian
边界现状,bian'jie'xian'zhuang
边境地区,bian'jing'di'qu
边境观察,bian'jing'guan'cha
边境管理,bian'jing'guan'li
边境潜伏,bian'jing'qian'fu
边境涉外事务,bian'jing'she'wai'shi'wu
边境市,bian'jing'shi
边境县,bian'jing'xian
兵法,bing'fa
兵力,bing'li
兵力机动,bing'li'ji'dong
兵种战术,bing'zhong'zhan'shu
步炮协同,bu'pao'xie'tong
步坦协同,bu'tan'xie'tong
残敌,can'di
蚕食,can'shi
侧敌前进,ce'di'qian'jin
侧后,ce'hou
侧射火力,ce'she'huo'li
策应,ce'ying
常规战争,chang'gui'zhan'zheng
超越,chao'yue
超越作战,chao'yue'zuo'zhan
撤出,che'chu
撤离战场,che'li'zhan'chang
乘敌之隙,cheng'di'zhi'xi
城市防御工程,cheng'shi'fang'yu'gong'cheng
持久战,chi'jiu'zhan
持重待机,chi'zhong'dai'ji
重建,chong'jian
出敌不意,chu'di'bu'yi
出发线,chu'fa'xian
初战,chu'zhan
传统战法,chuan'tong'zhan'fa
次要作战方向,ci'yao'zuo'zhan'fang'xiang
摧毁,cui'hui
村自为战,cun'zi'wei'zhan
大部歼灭,da'bu'jian'mie
打击,da'ji
打扫战场,da'sao'zhan'chang
待机,dai'ji
待机歼敌,dai'ji'jian'di
待命,dai'ming
导弹基地,dao'dan'ji'di
捣毁,dao'hui
得手,de'shou
灯火管制,deng'huo'guan'zhi
地带,di'dai
地道网,di'dao'wang
地道战,di'dao'zhan
地段,di'duan
第二梯队,di'er'ti'dui
地幅,di'fu
帝国主义战争,di'guo'zhu'yi'zhan'zheng
敌后,di'hou
