案卷,an'juan
诉讼客体,su'song'ke'ti
诉讼能力,su'song'neng'li
诉讼权利,su'song'quan'li
诉讼文书,su'song'wen'shu
诉讼形式,su'song'xing'shi
诉讼行为,su'song'xing'wei
诉讼义务,su'song'yi'wu
诉讼主体,su'song'zhu'ti
诉状,su'zhuang
弹劾式诉讼,tan'he'shi'su'song
特殊程序,te'shu'cheng'xu
提起公诉,ti'qi'gong'su
提起刑事诉讼,ti'qi'xing'shi'su'song
提请复核,ti'qing'fu'he
同案被告人,tong'an'bei'gao'ren
通缉,tong'ji
通缉令,tong'ji'ling
通知书,tong'zhi'shu
退回补充侦查,tui'hui'bu'chong'zhen'cha
违反诉讼程序,wei'fan'su'song'cheng'xu
未决犯,wei'jue'fan
委托辩护,wei'tuo'bian'hu
委托辩护人,wei'tuo'bian'hu'ren
委托代理人,wei'tuo'dai'li'ren
无罪释放,wu'zui'shi'fang
狭义的刑事诉讼法,xia'yi'de'xing'shi'su'song'fa
现场勘验,xian'chang'kan'yan
刑事案件,xing'shi'an'jian
刑事被告人,xing'shi'bei'gao'ren
刑事附带民事诉讼,xing'shi'fu'dai'min'shi'su'song
刑事管辖,xing'shi'guan'xia
刑事鉴定,xing'shi'jian'ding
刑事拘留,xing'shi'ju'liu
刑事诉讼,xing'shi'su'song
刑事诉讼参与人,xing'shi'su'song'can'yu'ren
刑事诉讼程序,xing'shi'su'song'cheng'xu
刑事诉讼法,xing'shi'su'song'fa
刑事诉讼法典,xing'shi'su'song'fa'dian
刑事诉讼法学,xing'shi'su'song'fa'xue
刑事诉讼阶段,xing'shi'su'song'jie'duan
刑事诉讼客体,xing'shi'su'song'ke'ti
刑事诉讼职能,xing'shi'su'song'zhi'neng
刑事诉讼主体,xing'shi'su'song'zhu'ti
行政拘留,xing'zheng'ju'liu
讯问,xun'wen
讯问笔录,xun'wen'bi'lu
言词原则,yan'ci'yuan'ze
以拘代捕,yi'ju'dai'bu
以拘代侦,yi'ju'dai'zhen
已决犯,yi'jue'fan
一事不再理,yi'shi'bu'zai'li
以事实为根据以法律为准绳,yi'shi'shi'wei'gen'ju'yi'fa'lv'wei'zhun'sheng
移送管辖,yi'song'guan'xia
阴私案件,yin'si'an'jian
用本民族语言进行诉讼,yong'ben'min'zu'yu'yan'jin'xing'su'song
有利被告,you'li'bei'gao
预审,yu'shen
阅卷笔录,yue'juan'bi'lu
责付,ze'fu
折衷式诉讼,zhe'zhong'shi'su'song
侦查程序,zhen'cha'cheng'xu
侦查措施,zhen'cha'cuo'shi
侦查实验,zhen'cha'shi'yan
侦查终结,zhen'cha'zhong'jie
证人,zheng'ren
证人权利,zheng'ren'quan'li
证人义务,zheng'ren'yi'wu
支持公诉,zhi'chi'gong'su
指定辩护,zhi'ding'bian'hu
指定辩护人,zhi'ding'bian'hu'ren
指定代理人,zhi'ding'dai'li'ren
指定管辖,zhi'ding'guan'xia
直接原则,zhi'jie'yuan'ze
职能管辖,zhi'neng'guan'xia
指派鉴定,zhi'pai'jian'ding
知情不举,zhi'qing'bu'ju
职权原则,zhi'quan'yuan'ze
治外法权,zhi'wai'fa'quan
执行拘传,zhi'xing'ju'chuan
重大嫌疑人,zhong'da'xian'yi'ren
助法,zhu'fa
住所搜查,zhu'suo'sou'cha
专门管辖,zhuan'men'guan'xia
追缉措施,zhui'ji'cuo'shi
追诉,zhui'su
自诉,zi'su
自诉案件,zi'su'an'jian
自诉人,zi'su'ren
自行回避,zi'xing'hui'bi
