阿礼,a'li
阿乌村,a'wu'cun
安坡,an'po
白鹭村,bai'lu'cun
半份子,ban'fen'zi
草埔村,cao'pu'cun
昌隆村,chang'long'cun
厂舍,chang'she
长治,chang'zhi
潮州镇,chao'zhou'zhen
车城,che'cheng
成德村,cheng'de'cun
赤山村,chi'shan'cun
春日,chun'ri
大公路,da'gong'lu
大后村,da'hou'cun
大鹏里,da'peng'li
大丘园,da'qiu'yuan
大社村,da'she'cun
打铁村,da'tie'cun
大武,da'wu
大庄,da'zhuang
德和村,de'he'cun
顶寮,ding'liao
东港镇,dong'gang'zhen
东海村,dong'hai'cun
东源村,dong'yuan'cun
鹅銮鼻,e'luan'bi
枋寮,fang'liao
枋山,fang'shan
枫林村,feng'lin'cun
丰田村,feng'tian'cun
福德路,fu'de'lu
甘棠村,gan'tang'cun
港东村,gang'dong'cun
港西村,gang'xi'cun
高朗村,gao'lang'cun
高屏溪,gao'ping'xi
高士村,gao'shi'cun
高树,gao'shu
古华村,gu'hua'cun
古楼村,gu'lou'cun
广安村,guang'an'cun
海口村,hai'kou'cun
恒春镇,heng'chun'zhen
红柴,hong'chai
后湾里,hou'wan'li
佳冬,jia'dong
佳平村,jia'ping'cun
佳佐,jia'zuo
建功村,jian'gong'cun
建兴村,jian'xing'cun
旧公路,jiu'gong'lu
旧寮,jiu'liao
九如,jiu'ru
崁顶,kan'ding
垦丁,ken'ding
口社,kou'she
来义,lai'yi
里港,li'gang
力里村,li'li'cun
力社,li'she
林边,lin'bian
龙华里,long'hua'li
龙泉,long'quan
仑上,lun'shang
罗峰寺,luo'feng'si
玛家,ma'jia
满州,man'zhou
美园,mei'yuan
牡丹村,mu'dan'cun
南和,nan'he
南和村,nan'he'cun
南华村,nan'hua'cun
南平里,nan'ping'li
南山路,nan'shan'lu
南州,nan'zhou
内埔,nei'pu
屏东县,ping'dong'xian
平埔,ping'pu
平山路,ping'shan'lu
崎峰村,qi'feng'cun
前进里,qian'jin'li
三地,san'di
沙漠村,sha'mo'cun
山脚里,shan'jiao'li
山下,shan'xia
上村,shang'cun
上大新,shang'da'xin
社口村,she'kou'cun
石门村,shi'men'cun
狮头,shi'tou
水利村,shui'li'cun
四重溪,si'chong'xi
泰山村,tai'shan'cun
泰武,tai'wu
太源村,tai'yuan'cun
田厝村,tian'cuo'cun
同安村,tong'an'cun
万安,wan'an
万丹,wan'dan
万得路,wan'de'lu
万隆,wan'long
万隆村,wan'long'cun
万峦,wan'luan
万兴路,wan'xing'lu
望嘉,wang'jia
网沙,wang'sha
尾寮,wei'liao
文乐村,wen'le'cun
五里亭,wu'li'ting
乌龙,wu'long
雾台,wu'tai
西势,xi'shi
下林子,xia'lin'zi
仙公庙,xian'gong'miao
新厝村,xin'cuo'cun
新二村,xin'er'cun
新开村,xin'kai'cun
新路村,xin'lu'cun
新南村,xin'nan'cun
新埤,xin'pi
新生里,xin'sheng'li
信义新村,xin'yi'xin'cun
新园,xin'yuan
新置,xin'zhi
新庄,xin'zhuang
兴村,xing'cun
盐埔,yan'pu
伊屯,yi'tun
玉光村,yu'guang'cun
玉环新村,yu'huan'xin'cun
玉泉村,yu'quan'cun
玉水村,yu'shui'cun
源泉村,yuan'quan'cun
镇安村,zhen'an'cun
中林,zhong'lin
忠信里,zhong'xin'li
中兴村,zhong'xing'cun
中庄,zhong'zhuang
洲仔村,zhou'zai'cun
竹林村,zhu'lin'cun
竹田,zhu'tian
