按钮,an'niu
按钮形式,an'niu'xing'shi
按下图片,an'xia'tu'pian
白色,bai'se
帮助标志值,bang'zhu'biao'zhi'zhi
帮助命令,bang'zhu'ming'ling
帮助文件名,bang'zhu'wen'jian'ming
保持标题条激活,bao'chi'biao'ti'tiao'ji'huo
保存更改,bao'cun'geng'gai
被单击,bei'dan'ji
被激活,bei'ji'huo
背景颜色,bei'jing'yan'se
背景音乐,bei'jing'yin'yue
被取消激活,bei'qu'xiao'ji'huo
被显示,bei'xian'shi
被选择,bei'xuan'ze
被选择文本,bei'xuan'ze'wen'ben
被选择文件,bei'xuan'ze'wen'jian
被选择字符数,bei'xuan'ze'zi'fu'shu
被隐藏,bei'yin'cang
备注型,bei'zhu'xing
本地机器,ben'di'ji'qi
笔记,bi'ji
编辑,bian'ji
编辑框,bian'ji'kuang
编辑内容被改变,bian'ji'nei'rong'bei'gai'bian
边框,bian'kuang
变量操作,bian'liang'cao'zuo
变量循环首,bian'liang'xun'huan'shou
变体类型,bian'ti'lei'xing
变体型,bian'ti'xing
变体型数组,bian'ti'xing'shu'zu
表格,biao'ge
表格线颜色,biao'ge'xian'yan'se
标签,biao'qian
标签跳转,biao'qian'tiao'zhuan
标题,biao'ti
标题背景颜色,biao'ti'bei'jing'yan'se
标题居左,biao'ti'ju'zuo
标题颜色,biao'ti'yan'se
表头方向,biao'tou'fang'xiang
标准错误设备,biao'zhun'cuo'wu'she'bei
标准输出,biao'zhun'shu'chu
标准输出设备,biao'zhun'shu'chu'she'bei
标准输入,biao'zhun'shu'ru
并且,bing'qie
播放,bo'fang
播放次数,bo'fang'ci'shu
播放动画,bo'fang'dong'hua
播放音乐,bo'fang'yin'yue
波特率,bo'te'lv
不等于,bu'deng'yu
部分重画,bu'fen'chong'hua
不改变目录,bu'gai'bian'mu'lu
不区分大小写,bu'qu'fen'da'xiao'xie
不圈注今天,bu'quan'zhu'jin'tian
不显示今天,bu'xian'shi'jin'tian
菜单,cai'dan
查看,cha'kan
插入成员,cha'ru'cheng'yuan
插入行,cha'ru'hang
插入列,cha'ru'lie
插入文本,cha'ru'wen'ben
插入文本行,cha'ru'wen'ben'xing
插入项目,cha'ru'xiang'mu
插入字节集,cha'ru'zi'jie'ji
查询,cha'xun
查找,cha'zhao
常量,chang'liang
长整数型,chang'zheng'shu'xing
超级链接框,chao'ji'lian'jie'kuang
彻底删除,che'di'shan'chu
橙黄,cheng'huang
程序等待,cheng'xu'deng'dai
程序调试,cheng'xu'tiao'shi
尺寸被改变,chi'cun'bei'gai'bian
尺寸被扩展,chi'cun'bei'kuo'zhan
重定义数组,chong'ding'yi'shu'zu
重画,chong'hua
重试钮,chong'shi'niu
重试取消钮,chong'shi'qu'xiao'niu
重写,chong'xie
重新查询,chong'xin'cha'xun
除号键,chu'hao'jian
处理事件,chu'li'shi'jian
初始尺寸,chu'shi'chi'cun
初始过滤器,chu'shi'guo'lv'qi
初始列数,chu'shi'lie'shu
初始目录,chu'shi'mu'lu
初始行数,chu'shi'xing'shu
创建,chuang'jian
创建目录,chuang'jian'mu'lu
创建时提示,chuang'jian'shi'ti'shi
创建数组,chuang'jian'shu'zu
创建图片对象,chuang'jian'tu'pian'dui'xiang
创建完毕,chuang'jian'wan'bi
创建字体对象,chuang'jian'zi'ti'dui'xiang
窗口,chuang'kou
窗口类名,chuang'kou'lei'ming
垂直线,chui'zhi'xian
次高层,ci'gao'ceng
磁盘操作,ci'pan'cao'zuo
从上到下,cong'shang'dao'xia
从文件读,cong'wen'jian'du
从下到上,cong'xia'dao'shang
从右到左,cong'you'dao'zuo
从右上到左下,cong'you'shang'dao'zuo'xia
从右下到左上,cong'you'xia'dao'zuo'shang
从字节集读,cong'zi'jie'ji'du
从左到右,cong'zuo'dao'you
从左上到右下,cong'zuo'shang'dao'you'xia
从左下到右上,cong'zuo'xia'dao'you'shang
粗体,cu'ti
存档,cun'dang
存档文件,cun'dang'wen'jian
存到文件,cun'dao'wen'jian
存到字节集,cun'dao'zi'jie'ji
错误图标,cuo'wu'tu'biao
错误值型,cuo'wu'zhi'xing
错误值型数组,cuo'wu'zhi'xing'shu'zu
打开,da'kai
打开加密文件,da'kai'jia'mi'wen'jian
打开内存文件,da'kai'nei'cun'wen'jian
打开文件,da'kai'wen'jian
打印,da'yin
打印被中止,da'yin'bei'zhong'zhi
打印范围方式,da'yin'fan'wei'fang'shi
打印份数,da'yin'fen'shu
打印机,da'yin'ji
打印区高度,da'yin'qu'gao'du
打印区宽度,da'yin'qu'kuan'du
打印设置,da'yin'she'zhi
打印设置信息,da'yin'she'zhi'xin'xi
打印缩放比,da'yin'suo'fang'bi
打印文件名,da'yin'wen'jian'ming
打印选择区,da'yin'xuan'ze'qu
打印预览,da'yin'yu'lan
打印作业名,da'yin'zuo'ye'ming
大于,da'yu
大于或等于,da'yu'huo'deng'yu
单击右键,dan'ji'you'jian
单击左键,dan'ji'zuo'jian
单位刻度值,dan'wei'ke'du'zhi
单位转换,dan'wei'zhuan'huan
单斜线,dan'xie'xian
单选,dan'xuan
单选框,dan'xuan'kuang
单引号键,dan'yin'hao'jian
单元格到文件,dan'yuan'ge'dao'wen'jian
单元格到字节集,dan'yuan'ge'dao'zi'jie'ji
当前记录改变,dang'qian'ji'lu'gai'bian
当前页号,dang'qian'ye'hao
到半角,dao'ban'jiao
到长整数,dao'chang'zheng'shu
到大写,dao'da'xie
到短整数,dao'duan'zheng'shu
到后一记录,dao'hou'yi'ji'lu
到前一记录,dao'qian'yi'ji'lu
到全角,dao'quan'jiao
到时间,dao'shi'jian
到首记录,dao'shou'ji'lu
到数值,dao'shu'zhi
到尾记录,dao'wei'ji'lu
到文本,dao'wen'ben
到小数,dao'xiao'shu
到小写,dao'xiao'xie
到循环尾,dao'xun'huan'wei
倒找文本,dao'zhao'wen'ben
倒找字节集,dao'zhao'zi'jie'ji
到整数,dao'zheng'shu
到字节,dao'zi'jie
到字节集,dao'zi'jie'ji
等待时间,deng'dai'shi'jian
等号键,deng'hao'jian
等宽缩放,deng'kuan'suo'fang
等于,deng'yu
底边空,di'bian'kong
底层,di'ceng
底色,di'se
底图,di'tu
底图方式,di'tu'fang'shi
地址,di'zhi
点燃图片,dian'ran'tu'pian
电子信箱地址,dian'zi'xin'xiang'di'zhi
调用反馈事件,diao'yong'fan'kui'shi'jian
顶边空,ding'bian'kong
顶层,ding'ceng
定位写出,ding'wei'xie'chu
逗号键,dou'hao'jian
读对象型属性,du'dui'xiang'xing'shu'xing
读环境变量,du'huan'jing'bian'liang
读逻辑属性,du'luo'ji'shu'xing
读配置项,du'pei'zhi'xiang
读日期属性,du'ri'qi'shu'xing
读入,du'ru
读入数据,du'ru'shu'ju
读入文本,du'ru'wen'ben
读入文件,du'ru'wen'jian
读入一行,du'ru'yi'xing
读入字节集,du'ru'zi'jie'ji
读属性,du'shu'xing
读数值属性,du'shu'zhi'shu'xing
读文本属性,du'wen'ben'shu'xing
读写,du'xie
读音索引,du'yin'suo'yin
读字段,du'zi'duan
断开客户,duan'kai'ke'hu
断开连接,duan'kai'lian'jie
端口,duan'kou
端口号,duan'kou'hao
短整数型,duan'zheng'shu'xing
对开纸,dui'kai'zhi
对齐方式,dui'qi'fang'shi
对象,dui'xiang
对象型,dui'xiang'xing
对象型方法,dui'xiang'xing'fang'fa
对象型数组,dui'xiang'xing'shu'zu
多份打印方式,duo'fen'da'yin'fang'shi
多列,duo'lie
多文件对话框,duo'wen'jian'dui'hua'kuang
多项选择,duo'xiang'xuan'ze
法律用纸,fa'lv'yong'zhi
发送或置位,fa'song'huo'zhi'wei
发送数据,fa'song'shu'ju
发送信息,fa'song'xin'xi
发音比较,fa'yin'bi'jiao
返回,fan'hui
反馈事件,fan'kui'shi'jian
反撇号键,fan'pie'hao'jian
翻转矩形区,fan'zhuan'ju'xing'qu
翻转拷贝,fan'zhuan'kao'bei
方法,fang'fa
放弃重试忽略钮,fang'qi'chong'shi'hu'lue'niu
放弃钮,fang'qi'niu
访问后的颜色,fang'wen'hou'de'yan'se
方向,fang'xiang
非本月颜色,fei'ben'yue'yan'se
分割文本,fen'ge'wen'ben
分割字节集,fen'ge'zi'jie'ji
分号键,fen'hao'jian
粉红,fen'hong
分解,fen'jie
分类计算,fen'lei'ji'suan
分钟,fen'zhong
分组框,fen'zu'kuang
否钮,fou'niu
芙红,fu'hong
附加备注,fu'jia'bei'zhu
附加字节集,fu'jia'zi'jie'ji
附件类型,fu'jian'lei'xing
服务器,fu'wu'qi
赋值,fu'zhi
复制,fu'zhi
复制窗口组件,fu'zhi'chuang'kou'zu'jian
复制记录,fu'zhi'ji'lu
复制结构,fu'zhi'jie'gou
复制密码,fu'zhi'mi'ma
复制数组,fu'zhi'shu'zu
复制文件,fu'zhi'wen'jian
改变目录,gai'bian'mu'lu
改变驱动器,gai'bian'qu'dong'qi
改读,gai'du
改写,gai'xie
改字段名,gai'zi'duan'ming
根类,gen'lei
更新索引,geng'xin'suo'yin
关闭,guan'bi
关闭记录集,guan'bi'ji'lu'ji
关闭所有文件,guan'bi'suo'you'wen'jian
关闭文件,guan'bi'wen'jian
光标位置改变,guang'biao'wei'zhi'gai'bian
滚动条,gun'dong'tiao
滚动写行,gun'dong'xie'hang
滚动月数,gun'dong'yue'shu
过滤器,guo'lv'qi
行高被改变,hang'gao'bei'gai'bian
行间距,hang'jian'ju
合并,he'bing
合并短整数,he'bing'duan'zheng'shu
合并整数,he'bing'zheng'shu
褐绿,he'lv
黑色,hei'se
横向,heng'xiang
横向对齐方式,heng'xiang'dui'qi'fang'shi
横向滚动条,heng'xiang'gun'dong'tiao
横向绘画单位,heng'xiang'hui'hua'dan'wei
横向像素单位,heng'xiang'xiang'su'dan'wei
红褐,hong'he
红色,hong'se
