爱国路,ai'guo'lu
八角石,ba'jiao'shi
八角石联盛超市,ba'jiao'shi'lian'sheng'chao'shi
八里湖,ba'li'hu
八一宾馆,ba'yi'bin'guan
百岁坊,bai'sui'fang
碧绿茶厂,bi'lv'cha'chang
卜船山,bu'chuan'shan
步红广场,bu'hong'guang'chang
步虹花园,bu'hong'hua'yuan
财兴公司,cai'xing'gong'si
柴桑大市场,chai'sang'da'shi'chang
长城路口,chang'cheng'lu'kou
昌河汽车制造公司,chang'he'qi'che'zhi'zao'gong'si
长虹家园,chang'hong'jia'yuan
长虹立交桥,chang'hong'li'jiao'qiao
长虹小区,chang'hong'xiao'qu
长江路派出所,chang'jiang'lu'pai'chu'suo
昌九路口,chang'jiu'lu'kou
长岭村,chang'ling'cun
长岭林场,chang'ling'lin'chang
长岭商店,chang'ling'shang'dian
长途汽车站,chang'tu'qi'che'zhan
车队,che'dui
车管所,che'guan'suo
城西港区安置小区,cheng'xi'gang'qu'an'zhi'xiao'qu
大桥局船泊分公司,da'qiao'ju'chuan'bo'fen'gong'si
大桥南,da'qiao'nan
大桥五处,da'qiao'wu'chu
大树下,da'shu'xia
地商车队,di'shang'che'dui
第十二中学,di'shi'er'zhong'xue
地税局,di'shui'ju
第四加油站,di'si'jia'you'zhan
东方花园,dong'fang'hua'yuan
东林寺,dong'lin'si
东盟城中城,dong'meng'cheng'zhong'cheng
东太物资公司,dong'tai'wu'zi'gong'si
二电厂,er'dian'chang
二亩地,er'mu'di
冯家村,feng'jia'cun
甘棠公园,gan'tang'gong'yuan
干休所,gan'xiu'suo
高垅,gao'long
供电局,gong'dian'ju
公交修理厂,gong'jiao'xiu'li'chang
公交总站,gong'jiao'zong'zhan
牯牛岭,gu'niu'ling
光华,guang'hua
规划局,gui'hua'ju
国棉二厂,guo'mian'er'chang
国棉三厂,guo'mian'san'chang
国棉四厂,guo'mian'si'chang
国税局,guo'shui'ju
海后,hai'hou
海扬公司职工专用站,hai'yang'gong'si'zhi'gong'zhuan'yong'zhan
航空宾馆,hang'kong'bin'guan
航修站,hang'xiu'zhan
荷花垅,he'hua'long
鸿丰花园,hong'feng'hua'yuan
鸿丰小区,hong'feng'xiao'qu
弘雅花园,hong'ya'hua'yuan
湖滨农贸市场,hu'bin'nong'mao'shi'chang
湖滨小区,hu'bin'xiao'qu
华东市场三期,hua'dong'shi'chang'san'qi
化工厂南门,hua'gong'chang'nan'men
化纤厂,hua'xian'chang
黄泥塘,huang'ni'tang
火车站,huo'che'zhan
基督教堂,ji'du'jiao'tang
姬公庵,ji'gong'an
建材厂,jian'cai'chang
检测大楼,jian'ce'da'lou
建设局,jian'she'ju
建设银行,jian'she'yin'hang
江边水厂,jiang'bian'shui'chang
江虹宾馆,jiang'hong'bin'guan
江西财校,jiang'xi'cai'xiao
江西德丰公司,jiang'xi'de'feng'gong'si
江西轻机,jiang'xi'qing'ji
江西制氧机厂,jiang'xi'zhi'yang'ji'chang
交警支队,jiao'jing'zhi'dui
金鸡坡,jin'ji'po
京九市场,jing'jiu'shi'chang
九玻厂,jiu'bo'chang
九航商场,jiu'hang'shang'chang
九江宾馆,jiu'jiang'bin'guan
九江昌河电器厂,jiu'jiang'chang'he'dian'qi'chang
九江电大,jiu'jiang'dian'da
九江五金城,jiu'jiang'wu'jin'cheng
九江学院,jiu'jiang'xue'yuan
九九商城,jiu'jiu'shang'cheng
九棉一厂,jiu'mian'yi'chang
九星村,jiu'xing'cun
开发区管委会,kai'fa'qu'guan'wei'hui
看守所,kan'shou'suo
空后,kong'hou
匡庐宾馆,kuang'lu'bin'guan
老干部活动中心,lao'gan'bu'huo'dong'zhong'xin
老火车站,lao'huo'che'zhan
老马渡,lao'ma'du
莲花乡,lian'hua'xiang
磷肥厂,lin'fei'chang
垄埂,long'geng
龙山小学,long'shan'xiao'xue
聋哑学校,long'ya'xue'xiao
庐峰小区,lu'feng'xiao'qu
庐山区人民医院,lu'shan'qu'ren'min'yi'yuan
庐山区政府,lu'shan'qu'zheng'fu
庐山区中学,lu'shan'qu'zhong'xue
马狮商厦,ma'shi'shang'sha
马宿岭,ma'su'ling
码头,ma'tou
毛纺厂,mao'fang'chang
美庐乳业,mei'lu'ru'ye
木器厂,mu'qi'chang
南湖花园,nan'hu'hua'yuan
南湖新村,nan'hu'xin'cun
南门口,nan'men'kou
内衣总厂,nei'yi'zong'chang
农工商超市,nong'gong'shang'chao'shi
彭家河,peng'jia'he
琵琶亭,pi'pa'ting
七里湖街道办,qi'li'hu'jie'dao'ban
其土大酒店,qi'tu'da'jiu'dian
气象局,qi'xiang'ju
七研究所,qi'yan'jiu'suo
七一三厂,qi'yi'san'chang
汽运公司,qi'yun'gong'si
青年路口,qing'nian'lu'kou
青山湖,qing'shan'hu
清源集团,qing'yuan'ji'tuan
人民路立交桥,ren'min'lu'li'jiao'qiao
人民银行,ren'min'yin'hang
赛城湖垦殖场,sai'cheng'hu'ken'zhi'chang
赛城湖医院,sai'cheng'hu'yi'yuan
赛阳,sai'yang
三马路,san'ma'lu
三星玻纤厂,san'xing'bo'xian'chang
沙子墩,sha'zi'dun
沙子滩,sha'zi'tan
商检大楼,shang'jian'da'lou
商业银行,shang'ye'yin'hang
蛇头岭,she'tou'ling
省建加工厂,sheng'jian'jia'gong'chang
生态工业园,sheng'tai'gong'ye'yuan
市工商局,shi'gong'shang'ju
石化总厂,shi'hua'zong'chang
市建设局,shi'jian'she'ju
市教委,shi'jiao'wei
十里大楼,shi'li'da'lou
十里街口,shi'li'jie'kou
十里铺,shi'li'pu
十里转盘,shi'li'zhuan'pan
石门涧,shi'men'jian
市图书馆,shi'tu'shu'guan
十一中,shi'yi'zhong
市政府,shi'zheng'fu
市中级法院,shi'zhong'ji'fa'yuan
数码公司,shu'ma'gong'si
水产批发市场,shui'chan'pi'fa'shi'chang
水果批发市场,shui'guo'pi'fa'shi'chang
水泥厂,shui'ni'chang
水泥船厂,shui'ni'chuan'chang
税务干校,shui'wu'gan'xiao
四码头联盛购物广场,si'ma'tou'lian'sheng'gou'wu'guang'chang
锁江楼,suo'jiang'lou
太平桥,tai'ping'qiao
桃花,tao'hua
天花宫,tian'hua'gong
天龙公司,tian'long'gong'si
天马建材家俱城,tian'ma'jian'cai'jia'ju'cheng
天缘小区,tian'yuan'xiao'qu
通畔垅,tong'pan'long
外国语学校,wai'guo'yu'xue'xiao
威家,wei'jia
沃尔玛,wo'er'ma
沃尔玛超市,wo'er'ma'chao'shi
武警支队,wu'jing'zhi'dui
五里村,wu'li'cun
五里村小学,wu'li'cun'xiao'xue
五七二七厂,wu'qi'er'qi'chang
五医院,wu'yi'yuan
夏桥,xia'qiao
向阳六分场,xiang'yang'liu'fen'chang
向阳闸,xiang'yang'zha
向阳闸转盘,xiang'yang'zha'zhuan'pan
肖家墩,xiao'jia'dun
新港,xin'gang
新港中学,xin'gang'zhong'xue
新华村,xin'hua'cun
新纪元小区,xin'ji'yuan'xiao'qu
新桥头,xin'qiao'tou
新桥头龙翔国贸大厦,xin'qiao'tou'long'xiang'guo'mao'da'sha
兴业大厦,xing'ye'da'sha
熊家楼村,xiong'jia'lou'cun
畜产厂,xu'chan'chang
浔海花园,xun'hai'hua'yuan
浔南大道,xun'nan'da'dao
浔阳河鲜城,xun'yang'he'xian'cheng
浔阳楼,xun'yang'lou
浔阳区检察院,xun'yang'qu'jian'cha'yuan
浔阳区劳动力市场,xun'yang'qu'lao'dong'li'shi'chang
浔阳区征费所,xun'yang'qu'zheng'fei'suo
阎家渡,yan'jia'du
烟水亭,yan'shui'ting
姚家洼,yao'jia'wa
仪表厂,yi'biao'chang
移动公司,yi'dong'gong'si
怡康苑,yi'kang'yuan
一马路,yi'ma'lu
一七一医院,yi'qi'yi'yi'yuan
油泵厂,you'beng'chang
油化厂,you'hua'chang
远洲国际广场,yuan'zhou'guo'ji'guang'chang
月亮湾,yue'liang'wan
招呼站,zhao'hu'zhan
柘电公司,zhe'dian'gong'si
征费局,zheng'fei'ju
职大,zhi'da
职业技术学院,zhi'ye'ji'shu'xue'yuan
中铁九桥,zhong'tie'jiu'qiao
中医院,zhong'yi'yuan
周岭,zhou'ling
株桥,zhu'qiao
状元楼,zhuang'yuan'lou
邹家湾,zou'jia'wan
