白花蜡,bai'hua'la
百花蜜,bai'hua'mi
饼子料,bing'zi'liao
侧开窗,ce'kai'chuang
挂坠料,gua'zhui'liao
火山灰,huo'shan'hui
绞蜜,jiao'mi
金包蜜,jin'bao'mi
金绞白花,jin'jiao'bai'hua
金珀,jin'po
克重,ke'zhong
满蜜,man'mi
牌子料,pai'zi'liao
皮裂纹,pi'lie'wen
皮润,pi'run
平安扣料,ping'an'kou'liao
全皮料,quan'pi'liao
三围,san'wei
手撵钻,shou'nian'zuan
损料少,sun'liao'shao
微开窗,wei'kai'chuang
微矿物杂质残留,wei'kuang'wu'za'zhi'can'liu
无杂裂,wu'za'lie
原石,yuan'shi
藏式饼子,zang'shi'bing'zi
植物残留,zhi'wu'can'liu
做水滴吊坠,zuo'shui'di'diao'zhui
