阿赖耶识,a'lai'ye'shi
百会,bai'hui
白净识,bai'jing'shi
悲心普运,bei'xin'pu'yun
辟谷,bi'gu
步功,bu'gong
不拟,bu'ni
不生不灭,bu'sheng'bu'mie
察知,cha'zhi
长功,chang'gong
成佛作祖,cheng'fo'zuo'zu
持咒,chi'zhou
充养,chong'yang
重置,chong'zhi
出偏,chu'pian
道心惟微,dao'xin'wei'wei
淀积,dian'ji
定慧,ding'hui
定式,ding'shi
动功,dong'gong
督脉,du'mai
断惑证真,duan'huo'zheng'zhen
返本,fan'ben
返先天,fan'xian'tian
符箓,fu'lu
功法,gong'fa
公积,gong'ji
功理,gong'li
功友,gong'you
购建价,gou'jian'jia
关窍,guan'qiao
归一,gui'yi
幻听,huan'ting
黄帝内经,huang'di'nei'jing
慧而不用,hui'er'bu'yong
汇一丰,hui'yi'feng
浑化,hun'hua
混化,hun'hua
混元,hun'yuan
混元气,hun'yuan'qi
混元态,hun'yuan'tai
混元子,hun'yuan'zi
集附,ji'fu
基砖,ji'zhuan
渐悟,jian'wu
教功,jiao'gong
尽然,jin'ran
静功,jing'gong
精气神,jing'qi'shen
聚成,ju'cheng
聚津生精,ju'jin'sheng'jing
聚则成形,ju'ze'cheng'xing
叩齿,kou'chi
拉气,la'qi
立掌分指,li'zhang'fen'zhi
炼精化气,lian'jing'hua'qi
炼气化神,lian'qi'hua'shen
炼神还虚,lian'shen'hai'xu
练至,lian'zhi
灵枢,ling'shu
冒气,mao'qi
密宗,mi'zong
妙契,miao'qi
命功,ming'gong
明心见性,ming'xin'jian'xing
膜络,mo'luo
内化,nei'hua
内聚,nei'ju
内求,nei'qiu
内视,nei'shi
内守,nei'shou
念咒,nian'zhou
培益,pei'yi
偏执,pian'zhi
歧伯,qi'bo
气场,qi'chang
气功家,qi'gong'jia
气功界,qi'gong'jie
气机,qi'ji
奇经八脉,qi'jing'ba'mai
气血,qi'xue
气穴,qi'xue
掐诀,qia'jue
全息性,quan'xi'xing
任脉,ren'mai
人心惟危,ren'xin'wei'wei
三部九候,san'bu'jiu'hou
三心并,san'xin'bing
上腭,shang'e
尚有,shang'you
摄入,she'ru
神慧,shen'hui
神机窍,shen'ji'qiao
神验,shen'yan
施功,shi'gong
时空,shi'kong
时空复合子,shi'kong'fu'he'zi
识神,shi'shen
施术,shi'shu
实象思维,shi'xiang'si'wei
始于,shi'yu
施作用,shi'zuo'yong
授功,shou'gong
收功,shou'gong
收视返听,shou'shi'fan'ting
书符,shu'fu
树突,shu'tu
素问,su'wen
调身,tiao'shen
调息,tiao'xi
调心,tiao'xin
通臂拳,tong'bi'quan
吐纳,tu'na
外物,wai'wu
万法归一,wan'fa'gui'yi
顽空,wan'kong
王昱璇,wang'yu'xuan
卫气,wei'qi
唯识,wei'shi
我执,wo'zhi
武当,wu'dang
无明,wu'ming
无始无终,wu'shi'wu'zhong
无形无象,wu'xing'wu'xiang
无欲,wu'yu
膝跪足面,xi'gui'zu'mian
形传,xing'chuan
性功,xing'gong
性命双修,xing'ming'shuang'xiu
形神庄,xing'shen'zhuang
形松意充,xing'song'yi'chong
形意拳,xing'yi'quan
修持,xiu'chi
眼耳鼻舌身,yan'er'bi'she'shen
遥视,yao'shi
遥听,yao'ting
一法一术,yi'fa'yi'shu
一门,yi'men
意念致动,yi'nian'zhi'dong
以气引形,yi'qi'yin'xing
意识力,yi'shi'li
意识致动,yi'shi'zhi'dong
意守,yi'shou
以形引气,yi'xing'yin'qi
以意引气,yi'yi'yin'qi
意元体,yi'yuan'ti
引气,yin'qi
营气,ying'qi
映象,ying'xiang
有形有象,you'xing'you'xiang
有志之士,you'zhi'zhi'shi
瑜珈,yu'jia
元精,yuan'jing
元神,yuan'shen
允执厥中,yun'zhi'jue'zhong
脏真,zang'zhen
造旨,zao'zhi
站功,zhan'gong
占位,zhan'wei
站庄,zhan'zhuang
真妄相攻,zhen'wang'xiang'gong
正心,zheng'xin
征诸,zheng'zhu
止观,zhi'guan
智能功,zhi'neng'gong
智能气功,zhi'neng'qi'gong
智照层面,zhi'zhao'ceng'mian
重道,zhong'dao
中宫,zhong'gong
中脉,zhong'mai
转腰涮胯,zhuan'yao'shuan'kua
综言之,zong'yan'zhi
组场,zu'chang
祖炁,zu'qi
