白石藏之介,bai'shi'cang'zhi'jie
不二周助,bu'er'zhou'zhu
财前光,cai'qian'guang
大石秀一郎,da'shi'xiu'yi'lang
凤长太郎,feng'chang'tai'lang
海堂薰,hai'tang'xun
河村隆,he'cun'long
胡狼桑原,hu'lang'sang'yuan
桦地崇弘,hua'di'chong'hong
迹部景吾,ji'bu'jing'wu
芥川慈郎,jie'chuan'ci'lang
金色小春,jin'se'xiao'chun
橘桔平,ju'ju'ping
菊丸英二,ju'wan'ying'er
柳莲二,liu'lian'er
柳生比吕士,liu'sheng'bi'lv'shi
泷荻之介,long'di'zhi'jie
内村京介,nei'cun'jing'jie
千岁千里,qian'sui'qian'li
乾贞治,qian'zhen'zhi
切原赤也,qie'yuan'chi'ye
仁王雅治,ren'wang'ya'zhi
忍足谦也,ren'zu'qian'ye
忍足侑士,ren'zu'you'shi
日吉若,ri'ji'ruo
宍户亮,rou'hu'liang
森辰德,sen'chen'de
神尾明,shen'wei'ming
石田铁,shi'tian'tie
石田银,shi'tian'yin
手冢国光,shou'zhong'guo'guang
桃城武,tao'cheng'wu
丸井文太,wan'jing'wen'tai
向日岳人,xiang'ri'yue'ren
小石川健二郎,xiao'shi'chuan'jian'er'lang
幸村精市,xing'cun'jing'shi
一氏裕次,yi'shi'yu'ci
伊武深司,yi'wu'shen'si
樱井雅也,ying'jing'ya'ye
远山金太郎,yuan'shan'jin'tai'lang
越前龙马,yue'qian'long'ma
真田弦一郎,zhen'tian'xian'yi'lang
