昂船洲,ang'chuan'zhou
昂坪,ang'ping
柏架山,bai'jia'shan
薄扶林,bao'fu'lin
贝澳,bei'ao
北果洲,bei'guo'zhou
北角新村,bei'jiao'xin'cun
北郎,bei'lang
北围,bei'wei
槟榔,bing'lang
槟榔湾,bing'lang'wan
布袋澳,bu'dai'ao
曾咀,ceng'ju
茶果洲,cha'guo'zhou
钗湾,chai'wan
长康村,chang'kang'cun
长洲湾,chang'zhou'wan
扯旗山,che'qi'shan
陈方安生,chen'fang'an'sheng
成门水塘,cheng'men'shui'tang
赤门,chi'men
赤洲,chi'zhou
赤洲口,chi'zhou'kou
川龙,chuan'long
船湾淡水湖,chuan'wan'dan'shui'hu
大澳,da'ao
大白湾,da'bai'wan
大埔,da'bu
大浪咀,da'lang'ju
大磨刀,da'mo'dao
大石磨,da'shi'mo
大滩海,da'tan'hai
大潭水塘,da'tan'shui'tang
大湾,da'wan
大窝,da'wo
大小磨刀,da'xiao'mo'dao
大鸦洲,da'ya'zhou
东澳,dong'ao
东澳湾,dong'ao'wan
东博寮海峡,dong'bo'liao'hai'xia
东湾尾,dong'wan'wei
东涌湾,dong'yong'wan
短咀,duan'ju
峨眉洲,e'mei'zhou
二澳,er'ao
范徐丽泰,fan'xu'li'tai
粉岭,fen'ling
高塘,gao'tang
狗岭角,gou'ling'jiao
狗伸地,gou'shen'di
谷埔,gu'pu
果洲群岛,guo'zhou'qun'dao
海下,hai'xia
河背,he'bei
鹤咀,he'ju
横澜岛,heng'lan'dao
横台山,heng'tai'shan
洪圣爷,hong'sheng'ye
虎地中村,hu'di'zhong'cun
华富,hua'fu
黄岭,huang'ling
黄麻角,huang'ma'jiao
黄屋,huang'wu
黄竹角咀,huang'zhu'jiao'ju
黄竹湾,huang'zhu'wan
火石洲,huo'shi'zhou
火头坟洲,huo'tou'fen'zhou
鸡公岭,ji'gong'ling
鲫鱼湖,ji'yu'hu
鸡洲,ji'zhou
尖鼻咀,jian'bi'ju
尖沙咀,jian'sha'ju
交椅洲,jiao'yi'zhou
金钱围,jin'qian'wei
井栏树,jing'lan'shu
烂角咀,lan'jiao'ju
蓝塘海峡,lan'tang'hai'xia
榄涌水塘,lan'yong'shui'tang
浪茄,lang'jia
立和村,li'he'cun
林屋围,lin'wu'wei
龙鼓水道,long'gu'shui'dao
龙鼓滩,long'gu'tan
龙鼓洲,long'gu'zhou
鹿颈,lu'jing
鲁平,lu'ping
洛洲,luo'zhou
马湾海峡,ma'wan'hai'xia
模范乡,mo'fan'xiang
南果洲,nan'guo'zhou
南坑村,nan'keng'cun
南堂,nan'tang
南堂尾,nan'tang'wei
牛过田,niu'guo'tian
牛尾海,niu'wei'hai
平面洲,ping'mian'zhou
坪洲,ping'zhou
蒲台群岛,pu'tai'qun'dao
青洲,qing'zhou
稔湾,ren'wan
榕树凹,rong'shu'ao
三抱石,san'bao'shi
扫管军营,sao'guan'jun'ying
沙桥村,sha'qiao'cun
上白泥,shang'bai'ni
深屈,shen'qu
深涌,shen'yong
石澳,shi'ao
石岗,shi'gang
石鼓洲,shi'gu'zhou
石牛洲,shi'niu'zhou
匙洲,shi'zhou
宋岗,song'gang
索罟群岛,suo'gu'qun'dao
田夫仔,tian'fu'zi
调景岭,tiao'jing'ling
汀角,ting'jiao
头颅洲,tou'lu'zhou
万屋边,wan'wu'bian
万宜水库,wan'yi'shui'ku
望东坑,wang'dong'keng
望后石,wang'hou'shi
往湾洲,wang'wan'zhou
王晓鹏,wang'xiao'peng
围头村,wei'tou'cun
围仔,wei'zi
乌蛟腾,wu'jiao'teng
西博寮海峡,xi'bo'liao'hai'xia
喜灵洲,xi'ling'zhou
下尾咀,xia'wei'ju
显径村,xian'jing'cun
小鸦洲,xiao'ya'zhou
新庆村,xin'qing'cun
秀茂坪,xiu'mao'ping
胥家湾,xu'jia'wan
牙鹿角,ya'lu'jiao
印洲塘,yin'zhou'tang
油柑头,you'gan'tou
榆景湾,yu'jing'wan
元岗,yuan'gang
元岭,yuan'ling
元洲仔,yuan'zhou'zi
熨波洲,yun'bo'zhou
张保仔洞,zhang'bao'zi'dong
枕头洲,zhen'tou'zhou
芝麻湾,zhi'ma'wan
芝麻湾半岛,zhi'ma'wan'ban'dao
