艾镇镇,ai'zhen'zhen
安亭镇,an'ting'zhen
八滧镇,ba'yao'zhen
白鹤镇,bai'he'zhen
白玉路街道,bai'yu'lu'jie'dao
半淞园路街道,ban'song'yuan'lu'jie'dao
浜镇镇,bang'zhen'zhen
保安镇,bao'an'zhen
堡镇镇,bao'zhen'zhen
北蔡镇,bei'cai'zhen
北川沙镇,bei'chuan'sha'zhen
北桥镇,bei'qiao'zhen
北新泾街道,bei'xin'jing'jie'dao
北新泾镇,bei'xin'jing'zhen
北新桥镇,bei'xin'qiao'zhen
北闸镇,bei'zha'zhen
蕃瓜弄镇,bo'gua'nong'zhen
蔡路镇,cai'lu'zhen
仓桥镇,cang'qiao'zhen
漕河泾镇,cao'he'jing'zhen
曹家渡街道,cao'jia'du'jie'dao
漕泾镇,cao'jing'zhen
曹路镇,cao'lu'zhen
草棚镇,cao'peng'zhen
曹王镇,cao'wang'zhen
曹行镇,cao'xing'zhen
曹杨新村街道,cao'yang'xin'cun'jie'dao
草镇镇,cao'zhen'zhen
长白新村街道,chang'bai'xin'cun'jie'dao
长浜镇,chang'bang'zhen
长风新村街道,chang'feng'xin'cun'jie'dao
长桥街道,chang'qiao'jie'dao
长兴乡,chang'xing'xiang
长兴镇,chang'xing'zhen
长征镇,chang'zheng'zhen
朝阳镇,chao'yang'zhen
车墩镇,che'dun'zhen
陈坊桥镇,chen'fang'qiao'zhen
陈家行镇,chen'jia'xing'zhen
陈家镇,chen'jia'zhen
辰山镇,chen'shan'zhen
陈行镇,chen'xing'zhen
城北镇,cheng'bei'zhen
程家桥街道,cheng'jia'qiao'jie'dao
城桥镇,cheng'qiao'zhen
澄桥镇,cheng'qiao'zhen
储店镇,chu'dian'zhen
川沙镇,chuan'sha'zhen
大场镇,da'chang'zhen
大椿镇,da'chun'zhen
大港镇,da'gang'zhen
大宁路街道,da'ning'lu'jie'dao
大桥街道,da'qiao'jie'dao
大团镇,da'tuan'zhen
大新镇,da'xin'zhen
大盈镇,da'ying'zhen
邓镇镇,deng'zhen'zhen
定海路街道,ding'hai'lu'jie'dao
丁棚镇,ding'peng'zhen
东沟镇,dong'gou'zhen
东海镇,dong'hai'zhen
董家渡街道,dong'jia'du'jie'dao
洞泾镇,dong'jing'zhen
东新路街道,dong'xin'lu'jie'dao
东新镇,dong'xin'zhen
杜坊镇,du'fang'zhen
杜行镇,du'xing'zhen
二堡镇,er'bao'zhen
二条竖河镇,er'tiao'shu'he'zhen
方家窑镇,fang'jia'yao'zhen
方泰镇,fang'tai'zhen
封浜镇,feng'bang'zhen
奉城镇,feng'cheng'zhen
凤凰镇,feng'huang'zhen
枫泾镇,feng'jing'zhen
丰乐镇,feng'le'zhen
凤溪镇,feng'xi'zhen
奉贤镇,feng'xian'zhen
奉新镇,feng'xin'zhen
富民镇,fu'min'zhen
干巷镇,gan'xiang'zhen
港东乡,gang'dong'xiang
港口镇,gang'kou'zhen
港西镇,gang'xi'zhen
港沿镇,gang'yan'zhen
高东镇,gao'dong'zhen
高桥镇,gao'qiao'zhen
高行镇,gao'xing'zhen
葛隆镇,ge'long'zhen
共和新路街道,gong'he'xin'lu'jie'dao
龚路镇,gong'lu'zhen
顾村镇,gu'cun'zhen
顾路镇,gu'lu'zhen
关港镇,guan'gang'zhen
广富林镇,guang'fu'lin'zhen
广福镇,guang'fu'zhen
光明镇,guang'ming'zhen
广中路街道,guang'zhong'lu'jie'dao
海滨新村街道,hai'bin'xin'cun'jie'dao
海桥乡,hai'qiao'xiang
海桥镇,hai'qiao'zhen
航头镇,hang'tou'zhen
合庆镇,he'qing'zhen
合兴乡,he'xing'xiang
合兴镇,he'xing'zhen
合作镇,he'zuo'zhen
横沔镇,heng'mian'zhen
横沙乡,heng'sha'xiang
洪庙镇,hong'miao'zhen
虹桥街道,hong'qiao'jie'dao
虹桥镇,hong'qiao'zhen
红卫镇,hong'wei'zhen
红星镇,hong'xing'zhen
后岗镇,hou'gang'zhen
侯家镇,hou'jia'zhen
胡桥镇,hu'qiao'zhen
华漕镇,hua'cao'zhen
华泾镇,hua'jing'zhen
华路镇,hua'lu'zhen
花木镇,hua'mu'zhen
华亭镇,hua'ting'zhen
华新镇,hua'xin'zhen
华阳桥镇,hua'yang'qiao'zhen
华阳镇,hua'yang'zhen
欢庵镇,huan'an'zhen
黄渡镇,huang'du'zhen
黄楼镇,huang'lou'zhen
黄路镇,huang'lu'zhen
惠南镇,hui'nan'zhen
汲浜镇,ji'bang'zhen
纪王镇,ji'wang'zhen
机杨镇,ji'yang'zhen
嘉定工业区,jia'ding'gong'ye'qu
嘉定镇,jia'ding'zhen
戬浜桥镇,jian'bang'qiao'zhen
戬浜镇,jian'bang'zhen
建设镇,jian'she'zhen
江海镇,jiang'hai'zhen
江口镇,jiang'kou'zhen
江浦路街道,jiang'pu'lu'jie'dao
江桥镇,jiang'qiao'zhen
江湾镇,jiang'wan'zhen
江镇镇,jiang'zhen'zhen
蒋庄镇,jiang'zhuang'zhen
界排镇,jie'pai'zhen
金汇镇,jin'hui'zhen
金桥镇,jin'qiao'zhen
金山卫镇,jin'shan'wei'zhen
金山嘴镇,jin'shan'zui'zhen
金泽镇,jin'ze'zhen
九亭镇,jiu'ting'zhen
康桥镇,kang'qiao'zhen
控江路街道,kong'jiang'lu'jie'dao
廊下镇,lang'xia'zhen
老港镇,lao'gang'zhen
老西门街道,lao'xi'men'jie'dao
