表现说,biao'xian'shuo
创造性,chuang'zao'xing
打破偶像,da'po'ou'xiang
放达,fang'da
更有理由,geng'you'li'you
和谐,he'xie
荒诞,huang'dan
净化,jing'hua
美学,mei'xue
绵延,mian'yan
偶像崇拜,ou'xiang'chong'bai
审美超脱,shen'mei'chao'tuo
审美价值,shen'mei'jia'zhi
审美教育,shen'mei'jiao'yu
审美距离,shen'mei'ju'li
审美判断,shen'mei'pan'duan
审美态度,shen'mei'tai'du
审美特性,shen'mei'te'xing
审美想象,shen'mei'xiang'xiang
审美愉悦,shen'mei'yu'yue
审美自律性,shen'mei'zi'lv'xing
唯美主义,wei'mei'zhu'yi
为艺术而艺术,wei'yi'shu'er'yi'shu
文化,wen'hua
形式,xing'shi
形式主义,xing'shi'zhu'yi
赝品,yan'pin
艺术,yi'shu
艺术的消亡,yi'shu'de'xiao'wang
艺术的终结,yi'shu'de'zhong'jie
艺术世界,yi'shu'shi'jie
幽默,you'mo
语法,yu'fa
