暗能,an'neng
奥尔特星云,ao'er'te'xing'yun
白洞,bai'dong
白羊座,bai'yang'zuo
半人马座,ban'ren'ma'zuo
宝瓶座,bao'ping'zuo
北辰,bei'chen
北斗七星,bei'dou'qi'xing
北极星,bei'ji'xing
北冕座,bei'mian'zuo
本星系群,ben'xing'xi'qun
波江座,bo'jiang'zuo
不规则星系,bu'gui'ze'xing'xi
苍蝇座,cang'ying'zuo
豺狼座,chai'lang'zuo
长蛇座,chang'she'zuo
超新星,chao'xin'xing
虫洞,chong'dong
船底座,chuan'di'zuo
船底座星云,chuan'di'zuo'xing'yun
船帆座,chuan'fan'zuo
船尾座,chuan'wei'zuo
大犬座,da'quan'zuo
大熊座,da'xiong'zuo
地球,di'qiu
第五宇宙速度,di'wu'yu'zhou'su'du
第一宇宙速度,di'yi'yu'zhou'su'du
雕具座,diao'ju'zuo
杜鹃座,du'juan'zuo
盾牌座,dun'pai'zuo
飞马座,fei'ma'zuo
飞鱼座,fei'yu'zuo
凤凰座,feng'huang'zuo
伽玛暴,ga'ma'bao
光年,guang'nian
鬼星团,gui'xing'tuan
海豚座,hai'tun'zuo
海王星,hai'wang'xing
航天飞机,hang'tian'fei'ji
荷包蛋星系,he'bao'dan'xing'xi
黑洞,hei'dong
恒星,heng'xing
恒星风,heng'xing'feng
恒星年,heng'xing'nian
红巨星,hong'ju'xing
后发座,hou'fa'zuo
狐狸座,hu'li'zuo
黄道光,huang'dao'guang
绘架座,hui'jia'zuo
彗尾,hui'wei
彗星,hui'xing
活动星系,huo'dong'xing'xi
火星,huo'xing
激扰星系,ji'rao'xing'xi
唧筒座,ji'tong'zuo
箭鱼座,jian'yu'zuo
金牛座,jin'niu'zuo
金星,jin'xing
精神场,jing'shen'chang
鲸鱼座,jing'yu'zuo
矩尺座,ju'chi'zuo
巨爵座,ju'jue'zuo
巨蛇座,ju'she'zuo
巨蟹座,ju'xie'zuo
绝对星等,jue'dui'xing'deng
柯伊伯带,ke'yi'bo'dai
孔雀座,kong'que'zuo
喇叭宇宙,la'ba'yu'zhou
类星体,lei'xing'ti
猎户座,lie'hu'zuo
猎犬座,lie'quan'zuo
六分仪座,liu'fen'yi'zuo
流星,liu'xing
流星雨,liu'xing'yu
鹿豹座,lu'bao'zuo
罗盘座,luo'pan'zuo
马卡良链,ma'ka'liang'lian
马卡良星系,ma'ka'liang'xing'xi
马头星云,ma'tou'xing'yun
猫眼星云,mao'yan'xing'yun
冥王星,ming'wang'xing
摩羯座,mo'jie'zuo
牧夫座,mu'fu'zuo
木星,mu'xing
木星大红斑,mu'xing'da'hong'ban
南极座,nan'ji'zuo
南冕座,nan'mian'zuo
南三角座,nan'san'jiao'zuo
南十字座,nan'shi'zi'zuo
南鱼座,nan'yu'zuo
气环,qi'huan
麒麟座,qi'lin'zuo
人马座,ren'ma'zuo
塞佛特星系,sai'fo'te'xing'xi
三角座,san'jiao'zuo
山案座,shan'an'zuo
上弦月,shang'xian'yue
射电星系,she'dian'xing'xi
蛇夫座,she'fu'zuo
时光之门,shi'guang'zhi'men
室女座,shi'nv'zuo
时钟座,shi'zhong'zuo
狮子座,shi'zi'zuo
双重星系,shuang'chong'xing'xi
双鱼座,shuang'yu'zuo
双子座,shuang'zi'zuo
水蛇座,shui'she'zuo
水星,shui'xing
锁眼星云,suo'yan'xing'yun
太阳,tai'yang
太阳系,tai'yang'xi
太阳耀斑,tai'yang'yao'ban
碳星,tan'xing
天秤座,tian'cheng'zuo
天鹅星云,tian'e'xing'yun
天鹅座,tian'e'zuo
天鸽座,tian'ge'zuo
天鹤座,tian'he'zuo
天箭座,tian'jian'zuo
天龙座,tian'long'zuo
天炉座,tian'lu'zuo
天猫座,tian'mao'zuo
天琴座,tian'qin'zuo
天上巨钹,tian'shang'ju'bo
天坛座,tian'tan'zuo
天兔座,tian'tu'zuo
天王星,tian'wang'xing
天蝎座,tian'xie'zuo
天燕座,tian'yan'zuo
天鹰座,tian'ying'zuo
土星,tu'xing
外星文明,wai'xing'wen'ming
网罟座,wang'gu'zuo
望远镜座,wang'yuan'jing'zuo
维多利亚坑,wei'duo'li'ya'keng
卫星,wei'xing
武仙座,wu'xian'zuo
乌鸦座,wu'ya'zuo
仙后座,xian'hou'zuo
仙女座,xian'nv'zuo
仙王座,xian'wang'zuo
显微镜座,xian'wei'jing'zuo
小马座,xiao'ma'zuo
小犬座,xiao'quan'zuo
小狮座,xiao'shi'zuo
小行星,xiao'xing'xing
小熊座,xiao'xiong'zuo
蝎虎座,xie'hu'zuo
星爆星系,xing'bao'xing'xi
星团,xing'tuan
星系群,xing'xi'qun
行星,xing'xing
星宿,xing'xiu
星云,xing'yun
星座,xing'zuo
蝘蜓座,yan'ting'zuo
夜半球,ye'ban'qiu
夜天光,ye'tian'guang
印地安座,yin'di'an'zuo
银河系,yin'he'xi
银河系旋臂,yin'he'xi'xuan'bi
引力收缩,yin'li'shou'suo
婴儿宇宙,ying'er'yu'zhou
英仙星座,ying'xian'xing'zuo
英仙座,ying'xian'zuo
御夫座,yu'fu'zuo
玉夫座,yu'fu'zuo
宇宙大爆炸,yu'zhou'da'bao'zha
宇宙简史,yu'zhou'jian'shi
宇宙射线,yu'zhou'she'xian
圆规座,yuan'gui'zuo
月亮,yue'liang
陨石,yun'shi
再发新星,zai'fa'xin'xing
正电子,zheng'dian'zi
致密星系,zhi'mi'xing'xi
中子星,zhong'zi'xing
