阿波罗动我心,a'bo'luo'dong'wo'xin
爱到,ai'dao
爱情来得狂,ai'qing'lai'de'kuang
爱情来的狂,ai'qing'lai'de'kuang
爱情奏鸣曲,ai'qing'zou'ming'qu
爱人向后跑,ai'ren'xiang'hou'pao
爱上夜佳人,ai'shang'ye'jia'ren
爱意乱飞,ai'yi'luan'fei
霸主倾心,ba'zhu'qing'xin
伴我豪情,ban'wo'hao'qing
标准情妇,biao'zhun'qing'fu
不是猛龙不过江,bu'shi'meng'long'bu'guo'jiang
不要情,bu'yao'qing
不追你也难,bu'zhui'ni'ye'nan
错情危火,cuo'qing'wei'huo
大清格格纵情记,da'qing'ge'ge'zong'qing'ji
当灰姑娘碰到情,dang'hui'gu'niang'peng'dao'qing
等待爱来,deng'dai'ai'lai
等你再爱我,deng'ni'zai'ai'wo
地狱来的情人,di'yu'lai'de'qing'ren
靛星,dian'xing
雕琢猎物,diao'zhuo'lie'wu
恶棍敢夺爱,e'gun'gan'duo'ai
恶阳征爱,e'yang'zheng'ai
焚情以火,fen'qing'yi'huo
风骚领爱,feng'sao'ling'ai
古都公主,gu'du'gong'zhu
悍将情人,han'jiang'qing'ren
赫的新娘,he'de'xin'niang
黑道接班人,hei'dao'jie'ban'ren
红妆折龙,hong'zhuang'zhe'long
虎的新娘,hu'de'xin'niang
琥珀不要闹,hu'po'bu'yao'nao
护情野火,hu'qing'ye'huo
简璎言情小说集名,jian'ying'yan'qing'xiao'shuo'ji'ming
降爱密令,jiang'ai'mi'ling
搅和小蛮妻,jiao'huo'xiao'man'qi
金粉间谍,jin'fen'jian'die
峻男传说,jun'nan'chuan'shuo
狂徒霸四方,kuang'tu'ba'si'fang
冷情惹火,leng'qing're'huo
恋君,lian'jun
凛焰掠爱,lin'yan'lue'ai
琉璃不要哭,liu'li'bu'yao'ku
龙的新娘,long'de'xin'niang
梦里相思,meng'li'xiang'si
梦外,meng'wai
南湾罗曼史一,nan'wan'luo'man'shi'yi
佞情煞火,ning'qing'sha'huo
牛郎动我心,niu'lang'dong'wo'xin
怒汉勇出击,nu'han'yong'chu'ji
偏要爱,pian'yao'ai
千金咬狂徒,qian'jin'yao'kuang'tu
亲爱的公主殿下,qin'ai'de'gong'zhu'dian'xia
情定飞鹰男,qing'ding'fei'ying'nan
情定功夫男,qing'ding'gong'fu'nan
情定管家男,qing'ding'guan'jia'nan
情定狂野男,qing'ding'kuang'ye'nan
情来,qing'lai
情人向前走,qing'ren'xiang'qian'zou
情悠悠,qing'you'you
情钟飞鹞女,qing'zhong'fei'yao'nv
山城公主,shan'cheng'gong'zhu
赏金猎男,shang'jin'lie'nan
狮的新娘,shi'de'xin'niang
手到情来,shou'dao'qing'lai
水晶动我心,shui'jing'dong'wo'xin
谈恋爱,tan'lian'ai
天神的爱意,tian'shen'de'ai'yi
同心弄,tong'xin'nong
偷心正传,tou'xin'zheng'zhuan
唯爱独尊,wei'ai'du'zun
为卿狂,wei'qing'kuang
温柔战神,wen'rou'zhan'shen
我的半糖爱人,wo'de'ban'tang'ai'ren
我的窈窕情人,wo'de'yao'tiao'qing'ren
舞龙舞狮,wu'long'wu'shi
无情不火,wu'qing'bu'huo
舞情浓火,wu'qing'nong'huo
喜红妆,xi'hong'zhuang
喜欢飞鸢女,xi'huan'fei'yuan'nv
相思扣尊王,xiang'si'kou'zun'wang
香柚传我意,xiang'you'chuan'wo'yi
小生护驾,xiao'sheng'hu'jia
邪魔登徒子,xie'mo'deng'tu'zi
雅典娜对我笑,ya'dian'na'dui'wo'xiao
一吻定真心,yi'wen'ding'zhen'xin
银翼守护神,yin'yi'shou'hu'shen
鹰的新娘,ying'de'xin'niang
悠游公主,you'you'gong'zhu
愿嫁有情郎,yuan'jia'you'qing'lang
原来竟是你,yuan'lai'jing'shi'ni
愿娶有情娘,yuan'qu'you'qing'niang
月儿落我心,yue'er'luo'wo'xin
暂且留情,zan'qie'liu'qing
真假公主,zhen'jia'gong'zhu
织女对我笑,zhi'nv'dui'wo'xiao
专宠冽夫,zhuan'chong'lie'fu
尊王本无敌,zun'wang'ben'wu'di
尊王缠恋,zun'wang'chan'lian
